,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal excitatory postsynaptic currents:-log(OR_p),abnormal excitatory postsynaptic currents:log_OR,abnormal excitatory postsynaptic currents:num_genes,abnormal excitatory postsynaptic currents:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,abnormal synaptic vesicle recycling:-log(OR_p),abnormal synaptic vesicle recycling:log_OR,abnormal synaptic vesicle recycling:num_genes,abnormal synaptic vesicle recycling:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,increased synaptic depression:-log(OR_p),increased synaptic depression:log_OR,increased synaptic depression:num_genes,increased synaptic depression:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C250,9.021623496757595,1.9670365034926824,11,DNM1 GRIA1 LRRTM2 SCAMP5 SH3GL2 SLC9A9 SNAP25 SNCA TSPAN7 UNC13A VAMP2,8.264480560189492,0.9533776519030166,48,ANXA11 AP4B1 ATG7 ATL1 ATP1A3 ATP2B1 ATRX ATXN7 CAMSAP2 CERS2 CHCHD10 CLEC16A DGKB DNM1 ELAVL4 FIG4 GDI1 GLRB GRIA1 GRIA2 HERC1 KIF1A KLC1 MACF1 NSF NTRK1 OFD1 SEZ6 SH3GL2 SLC12A2 SLC12A6 SLC12A7 SLC33A1 SLC44A2 SLC4A7 SLC9A5 SNCA SOD1 SPG11 SPTAN1 SQSTM1 STUB1 STXBP1 SYN1 TSPAN7 UNC13A VAMP2 WDR45,7.157524817013479,1.8044151039933194,10,GDI1 GRIA2 GRIK5 LRRTM2 RAB3D RAB3GAP1 SCAMP5 SEZ6 SH3GL2 UNC13A,7.099977409412833,1.0347640352274219,32,ATP1A3 ATRX ATXN7 CCSAP DGKB DNM1 GDI1 GRIA1 GRIA2 GRIK5 KCNIP3 LRRTM2 NSF RAB3A RAB3D RAB3GAP1 RAB6B SCAMP5 SEZ6 SH3GL2 SLC12A6 SLC9A4 SLC9A9 SNAP25 SNCA SYN1 SYP TBCK TSPAN7 UNC13A VAMP2 WBP1L,6.582079251902413,0.9789123029648223,33,ATP1A3 ATRX ATXN7 CCSAP DGKB DNM1 GDI1 GRIA1 GRIA2 GRIK5 KCNIP3 LRRTM2 NSF RAB3A RAB3D RAB3GAP1 RAB6B SCAMP5 SEZ6 SH3GL2 SLC12A6 SLC9A4 SLC9A9 SNAP25 SNCA STXBP1 SYN1 SYP TBCK TSPAN7 UNC13A VAMP2 WBP1L,6.4976113943777385,0.9718683650392919,33,ATP1A3 ATRX ATXN7 CCSAP DGKB DNM1 GDI1 GRIA1 GRIA2 GRIK5 KCNIP3 LRRTM2 NSF RAB3A RAB3D RAB3GAP1 RAB6B SCAMP5 SEZ6 SH3GL2 SLC12A6 SLC9A4 SLC9A9 SNAP25 SNCA STXBP1 SYN1 SYP TBCK TSPAN7 UNC13A VAMP2 WBP1L,6.392209018415869,2.8068414611269388,4,DNM1 SH3GL2 SYN1 UNC13A,6.0479616314379445,1.3392816132749807,15,ANXA11 ATG7 ATP1A3 ATP2B1 ATXN7 CERS6 FIG4 GRIA2 PRRC2A SLC20A2 SLC33A1 SNCA SOD1 SPG11 WDR45,5.642162631549786,1.2124353070319653,17,ANXA11 ATG7 ATXN7 CLEC16A FIG4 GRIA2 HERC1 KIF1A MACF1 SLC12A6 SLC12A7 SLC33A1 SLC4A7 SOD1 SPG11 STUB1 STXBP1,5.3432703669617485,2.9748404456992503,3,RAB3A SH3GL2 SYN1,CD_4_notcateg-ALS systems map,6,5,0.025,0.020833333333333332,0.008333333333333333,0.9458333333333333
C256,0.8263373706027862,1.4701865672939256,1,SLC9A9,1.7538115973567092,1.0124360475618612,7,ATP1A3 SLC12A2 SLC12A6 SLC12A7 SLC33A1 SLC4A7 SLC9A5,-0.0,0.0,0,,1.0475531351545686,0.9070129887293596,4,ATP1A3 SLC12A6 SLC9A4 SLC9A9,0.8987997627400257,0.8169803597273138,4,ATP1A3 SLC12A6 SLC9A4 SLC9A9,0.8878922000249696,0.8101184447806933,4,ATP1A3 SLC12A6 SLC9A4 SLC9A9,-0.0,0.0,0,,2.326788594364757,1.718441331482481,3,ATP1A3 SLC20A2 SLC33A1,3.0651217978853293,1.7849479529126455,4,SLC12A6 SLC12A7 SLC33A1 SLC4A7,-0.0,0.0,0,,Transport of inorganic cations/anions and amino acids/oligopeptides,1,1,0.030303030303030304,0.030303030303030304,0.0,0.9393939393939394
C261,-0.0,0.0,0,,1.4681707127026133,1.2250373941410508,4,ATG7 MACF1 SQSTM1 WDR45,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.204885099234337,2.0729662330625303,2,ATG7 WDR45,1.7823612989606903,1.816160999411487,2,ATG7 MACF1,-0.0,0.0,0,,C261,0,0,0.0,0.0,0.0625,0.9375
C283,-0.0,0.0,0,,0.20519836781428574,0.5304531657076126,1,ATXN7,-0.0,0.0,0,,0.5070697616795914,1.0945239068427846,1,ATXN7,0.4528857605849056,1.004743870422507,1,ATXN7,0.4488530827411688,0.997900340158365,1,ATXN7,-0.0,0.0,0,,1.4011843828098949,2.224542385987176,1,ATXN7,1.163177374269582,1.96840772892552,1,ATXN7,-0.0,0.0,0,,C283,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C281,-0.0,0.0,0,,0.20519836781428574,0.5304531657076126,1,SLC44A2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C281,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C282,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.4011843828098949,2.224542385987176,1,CERS6,-0.0,0.0,0,,-0.0,0.0,0,,Sphingolipid metabolism,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C251,18.448052608174283,3.1474335274138356,10,DNM1 GRIA1 LRRTM2 SCAMP5 SH3GL2 SNAP25 SNCA TSPAN7 UNC13A VAMP2,6.435260821079243,1.3375292819258142,20,ATL1 DGKB DNM1 ELAVL4 GDI1 GLRB GRIA1 GRIA2 KIF1A KLC1 NSF SEZ6 SH3GL2 SNCA SPTAN1 STXBP1 SYN1 TSPAN7 UNC13A VAMP2,17.89804003148155,3.09256935179366,10,GDI1 GRIA2 GRIK5 LRRTM2 RAB3D RAB3GAP1 SCAMP5 SEZ6 SH3GL2 UNC13A,16.087245285112274,2.1098047730428053,23,CCSAP DGKB DNM1 GDI1 GRIA1 GRIA2 GRIK5 LRRTM2 NSF RAB3A RAB3D RAB3GAP1 RAB6B SCAMP5 SEZ6 SH3GL2 SNAP25 SNCA SYN1 SYP TSPAN7 UNC13A VAMP2,16.037414330941903,2.0815356647531864,24,CCSAP DGKB DNM1 GDI1 GRIA1 GRIA2 GRIK5 LRRTM2 NSF RAB3A RAB3D RAB3GAP1 RAB6B SCAMP5 SEZ6 SH3GL2 SNAP25 SNCA STXBP1 SYN1 SYP TSPAN7 UNC13A VAMP2,15.936906443309306,2.0745515563856447,24,CCSAP DGKB DNM1 GDI1 GRIA1 GRIA2 GRIK5 LRRTM2 NSF RAB3A RAB3D RAB3GAP1 RAB6B SCAMP5 SEZ6 SH3GL2 SNAP25 SNCA STXBP1 SYN1 SYP TSPAN7 UNC13A VAMP2,12.093199243746833,4.0310817516646,4,DNM1 SH3GL2 SYN1 UNC13A,0.26141679027011666,0.4322126164751925,2,GRIA2 SNCA,0.5050118132396421,0.5972417035855457,3,GRIA2 KIF1A STXBP1,9.75856627326965,4.189121095607869,3,RAB3A SH3GL2 SYN1,exocytic process,1,1,0.013513513513513514,0.013513513513513514,0.0,0.972972972972973
C252,-0.0,0.0,0,,2.688341840272008,1.0047470400818082,12,ATG7 ATRX ATXN7 CAMSAP2 CLEC16A FIG4 HERC1 MACF1 NTRK1 OFD1 SLC44A2 SPG11,0.4014942965955633,0.8579873753351563,1,RAB3GAP1,0.2516627225973105,0.30266737729357907,4,ATRX ATXN7 RAB3GAP1 TBCK,0.16601949762067109,0.21262803725576696,4,ATRX ATXN7 RAB3GAP1 TBCK,0.1598787070295018,0.20576558560977176,4,ATRX ATXN7 RAB3GAP1 TBCK,-0.0,0.0,0,,3.4501224495748164,1.6840885076409116,5,ATG7 ATXN7 CERS6 FIG4 SPG11,5.049444489024412,1.8057760995421877,7,ATG7 ATXN7 CLEC16A FIG4 HERC1 MACF1 SPG11,-0.0,0.0,0,,C252,1,0,0.017543859649122806,0.0,0.017543859649122806,0.9649122807017544
C253,-0.0,0.0,0,,0.42346300711789825,0.357106153224656,7,ANXA11 CHCHD10 MACF1 SOD1 SQSTM1 STUB1 WDR45,-0.0,0.0,0,,0.5884485777911389,-1.1418782524466486,1,WBP1L,0.6529106654951666,-1.2316722544634864,1,WBP1L,0.6579404480167046,-1.2385169015901596,1,WBP1L,-0.0,0.0,0,,2.2367708820654904,1.4388076086034172,4,ANXA11 PRRC2A SOD1 WDR45,1.6307419677110477,1.1806439672531983,4,ANXA11 MACF1 SOD1 STUB1,-0.0,0.0,0,,C253,2,3,0.03508771929824561,0.05263157894736842,0.017543859649122806,0.8947368421052632
C309,-0.0,0.0,0,,1.6942673830633477,2.323041490583309,2,ELAVL4 KIF1A,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.6721112022995561,2.661718072676212,1,KIF1A,-0.0,0.0,0,,Kinesins,1,0,0.25,0.0,0.0,0.75
C254,21.889851315107983,3.5462436186192843,10,DNM1 GRIA1 LRRTM2 SCAMP5 SH3GL2 SNAP25 SNCA TSPAN7 UNC13A VAMP2,8.92890212267982,1.7494275765465899,19,ATL1 DGKB DNM1 ELAVL4 GLRB GRIA1 GRIA2 KIF1A KLC1 NSF SEZ6 SH3GL2 SNCA SPTAN1 STXBP1 SYN1 TSPAN7 UNC13A VAMP2,15.454308018078507,3.2076287331860165,8,GRIA2 GRIK5 LRRTM2 RAB3D SCAMP5 SEZ6 SH3GL2 UNC13A,16.44025183005105,2.4032914381399726,20,CCSAP DGKB DNM1 GRIA1 GRIA2 GRIK5 LRRTM2 NSF RAB3A RAB3D SCAMP5 SEZ6 SH3GL2 SNAP25 SNCA SYN1 SYP TSPAN7 UNC13A VAMP2,16.59420381917769,2.3924796976678158,21,CCSAP DGKB DNM1 GRIA1 GRIA2 GRIK5 LRRTM2 NSF RAB3A RAB3D SCAMP5 SEZ6 SH3GL2 SNAP25 SNCA STXBP1 SYN1 SYP TSPAN7 UNC13A VAMP2,16.50369523244465,2.3855145417259473,21,CCSAP DGKB DNM1 GRIA1 GRIA2 GRIK5 LRRTM2 NSF RAB3A RAB3D SCAMP5 SEZ6 SH3GL2 SNAP25 SNCA STXBP1 SYN1 SYP TSPAN7 UNC13A VAMP2,13.93869057439833,4.38887744288542,4,DNM1 SH3GL2 SYN1 UNC13A,0.5501352318221746,0.7781928895873769,2,GRIA2 SNCA,0.9524679394705475,0.9490442069216254,3,GRIA2 KIF1A STXBP1,11.196474285941568,4.540898295967952,3,RAB3A SH3GL2 SYN1,calcium-ion regulated exocytosis,1,1,0.018867924528301886,0.018867924528301886,0.0,0.9622641509433962
C258,-0.0,0.0,0,,1.7892982305049923,1.1204029881896762,6,ATRX CLEC16A FIG4 HERC1 MACF1 SPG11,-0.0,0.0,0,,0.23219510925396408,0.40137260064425995,2,ATRX TBCK,0.17237861995669193,0.3115056448253881,2,ATRX TBCK,0.16801091749358332,0.30465576696710706,2,ATRX TBCK,-0.0,0.0,0,,1.4231759017830476,1.5334282258456078,2,FIG4 SPG11,5.514834448050168,2.3336561976878922,5,CLEC16A FIG4 HERC1 MACF1 SPG11,-0.0,0.0,0,,C258,0,0,0.0,0.0,0.038461538461538464,0.9615384615384616
