GENE
C4orf27
C9orf72
CHCHD10
CHMP2B
CSF1R
DPP6
FUS
GRN
HLA-DQA2
HMCN1
IMMP2L
IRF2
LOC101927354
LRRK2
MIR548AP
OLFM1
OPTN
RERG
SQSTM1
TARDBP
TBK1
UBQLN2
UNC13A
VCP
