,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal postsynaptic density morphology:-log(OR_p),abnormal postsynaptic density morphology:log_OR,abnormal postsynaptic density morphology:num_genes,abnormal postsynaptic density morphology:gene_ids,demyelination:-log(OR_p),demyelination:log_OR,demyelination:num_genes,demyelination:gene_ids,increased miniature excitatory postsynaptic current amplitude:-log(OR_p),increased miniature excitatory postsynaptic current amplitude:log_OR,increased miniature excitatory postsynaptic current amplitude:num_genes,increased miniature excitatory postsynaptic current amplitude:gene_ids,neuronal cytoplasmic inclusions:-log(OR_p),neuronal cytoplasmic inclusions:log_OR,neuronal cytoplasmic inclusions:num_genes,neuronal cytoplasmic inclusions:gene_ids,motor neuron degeneration:-log(OR_p),motor neuron degeneration:log_OR,motor neuron degeneration:num_genes,motor neuron degeneration:gene_ids,decreased excitatory postsynaptic current frequency:-log(OR_p),decreased excitatory postsynaptic current frequency:log_OR,decreased excitatory postsynaptic current frequency:num_genes,decreased excitatory postsynaptic current frequency:gene_ids,increased miniature excitatory postsynaptic current frequency:-log(OR_p),increased miniature excitatory postsynaptic current frequency:log_OR,increased miniature excitatory postsynaptic current frequency:num_genes,increased miniature excitatory postsynaptic current frequency:gene_ids,abnormal neuronal stem cell self-renewal:-log(OR_p),abnormal neuronal stem cell self-renewal:log_OR,abnormal neuronal stem cell self-renewal:num_genes,abnormal neuronal stem cell self-renewal:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C179,2.3024064160031243,1.6737612641249022,3,ATP13A2 PINK1 STUB1,2.2002093897362958,2.0060012415627977,2,NSF PPFIA3,1.7339523863096433,1.3969788404692398,3,ACBD5 C3AR1 FIG4,1.6552542870091784,2.4065696624719406,1,CHMP4C,1.6552542870091784,2.4065696624719406,1,PINK1,1.6247248058692871,1.6453001272080723,2,SACS VCP,1.56333029304825,2.311205836037953,1,CLSTN1,1.56333029304825,2.311205836037953,1,CHMP4C,1.56333029304825,2.311205836037953,1,VCP,1.4701739685513833,0.4790770320596778,23,ACBD5 ATP13A2 B3GNT2 C3AR1 CERS2 CHMP2B CLSTN1 CPT1C ECE1 FIG4 HS2ST1 MICU1 NEMF NSF PHYH PINK1 PPFIA3 RER1 SACS SPAST SQSTM1 STUB1 VCP,CD_1F_perox-ALS systems map,0,6,0.0,0.03550295857988166,0.0,0.9644970414201184
C194,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C194,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C180,-0.0,0.0,0,,1.2474090544009677,1.9480512482567383,1,NSF,3.3060027122580458,2.08255630710016,3,ACBD5 C3AR1 FIG4,2.4583198843095,3.080575604354599,1,CHMP4C,-0.0,0.0,0,,0.9343073276281528,1.5971534642985343,1,SACS,-0.0,0.0,0,,2.349700884189175,2.9852120128798116,1,CHMP4C,-0.0,0.0,0,,0.39522235847179954,0.2822111900136086,10,ACBD5 B3GNT2 C3AR1 CHMP2B FIG4 HS2ST1 NEMF NSF SACS SPAST,COPI-mediated anterograde transport,0,3,0.0,0.034482758620689655,0.0,0.9655172413793104
C181,5.73474792404842,2.9002034109481976,3,ATP13A2 PINK1 STUB1,1.7979501569825411,2.4724426203890406,1,PPFIA3,-0.0,0.0,0,,-0.0,0.0,0,,3.1823796527236414,3.6049648813505133,1,PINK1,-0.0,0.0,0,,3.061735168531502,3.5096013895376448,1,CLSTN1,-0.0,0.0,0,,-0.0,0.0,0,,1.9352062816192555,0.8903962346183931,10,ATP13A2 CERS2 CLSTN1 ECE1 MICU1 PHYH PINK1 PPFIA3 SQSTM1 STUB1,C181,0,1,0.0,0.019230769230769232,0.0,0.9807692307692307
C183,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C183,0,1,0.0,0.1,0.0,0.9
C191,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,4.0343172091056045,4.264012748509934,1,VCP,-0.0,0.0,0,,-0.0,0.0,0,,6.332057344285789,5.652063784112071,1,VCP,1.0320752828352369,1.406575683572294,2,RER1 VCP,C191,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C192,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C192,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C193,-0.0,0.0,0,,-0.0,0.0,0,,3.04458059900683,3.6033642834523754,1,FIG4,6.484153169347062,5.747427148333374,1,CHMP4C,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,6.332057344285789,5.652063784112071,1,CHMP4C,-0.0,0.0,0,,1.0320752828352369,1.406575683572294,2,CHMP2B FIG4,late endosome membrane,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C214,-0.0,0.0,0,,5.254665203711798,5.308214464854814,1,NSF,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5385849367819804,1.2237754316221157,1,NSF,C214,0,1,0.0,0.25,0.0,0.75
C206,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.4466731956116547,1.917518027501825,2,ECE1 SQSTM1,C206,0,1,0.0,0.2,0.0,0.8
