z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,221,339.51,14.414919354613122,0.9999999999999999,0.6509381166975936
2,1.5,124,171.0,10.919706955774958,0.9999916184001651,0.7251461988304093
2,2.0,55,63.5,7.345066371381542,0.876412712139667,0.8661417322834646
3,1.0,170,233.31,13.956142017047547,0.9999971382453922,0.7286442930007286
3,1.5,120,156.47,11.423182568794038,0.9992950836519179,0.7669201763916406
3,2.0,55,63.94,6.956752115750569,0.9006182618376735,0.8601814200813263
4,1.0,117,160.28,12.697306801050372,0.9996735104947961,0.7299725480409284
4,1.5,97,123.57,10.402168043249445,0.9946795443815346,0.7849801731811928
4,2.0,55,66.29,8.110850756856522,0.9180331212328079,0.829687735706743
5,1.0,86,110.38,9.981763371268626,0.9927061100308278,0.7791266533792354
5,1.5,78,92.01,9.037140034325018,0.9394615436552162,0.84773394196283
5,2.0,48,59.52,7.213154649666121,0.9448762934526584,0.8064516129032258
9,1.0,21,33.01,5.369348191354328,0.9873493304279197,0.6361708573159649
9,1.5,20,29.59,4.98215816689916,0.9728771027709081,0.6759040216289287
9,2.0,20,24.76,4.731004121748364,0.8428232172241075,0.8077544426494345
12,1.0,11,16.06,3.4808619622156804,0.9269801098065075,0.6849315068493151
12,1.5,10,14.45,3.66435533211505,0.8877028508404361,0.6920415224913495
12,2.0,10,12.58,3.432724865176352,0.7738510232353244,0.794912559618442
