,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,abnormal excitatory postsynaptic currents:-log(OR_p),abnormal excitatory postsynaptic currents:log_OR,abnormal excitatory postsynaptic currents:num_genes,abnormal excitatory postsynaptic currents:gene_ids,dysmyelination:-log(OR_p),dysmyelination:log_OR,dysmyelination:num_genes,dysmyelination:gene_ids,abnormal excitatory postsynaptic current frequency:-log(OR_p),abnormal excitatory postsynaptic current frequency:log_OR,abnormal excitatory postsynaptic current frequency:num_genes,abnormal excitatory postsynaptic current frequency:gene_ids,abnormal excitatory postsynaptic potential:-log(OR_p),abnormal excitatory postsynaptic potential:log_OR,abnormal excitatory postsynaptic potential:num_genes,abnormal excitatory postsynaptic potential:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C128,11.989283913135726,2.7164396704672225,8,ACP2 APP ERCC2 GRN LRRK2 PLP1 PRNP SOD1,7.521251785289779,2.6313633399610046,5,APP GRN LRRK2 PRNP STUB1,6.697277052745222,1.1515123079606369,27,ACP2 ADAP1 AP1G1 APP BCAS1 CDK5 CLSTN1 CMTM6 DCTN1 ENPP2 GRN KIF2A LGI3 LRRK2 MYCN NPY1R PLP1 PRNP PTPN11 SDCCAG8 SOD1 SPAST SQSTM1 STUB1 USH1C VAMP2 WDR45,5.089288442965874,1.568978696804093,9,ACP2 APP ERCC2 GRN LRRK2 PLP1 PRNP SOD1 WDR45,4.798194031738002,1.4443599445565987,10,ACP2 APP ERCC2 GRN LRRK2 PLP1 PRNP PTPN11 SOD1 WDR45,4.684806601277996,1.4246448416387576,10,AP1G1 DCTN1 GRN PLP1 PRNP PTPN11 SDCCAG8 SOD1 STUB1 USH1C,4.031342746948623,1.8181715687678324,5,APP CDK5 CLSTN1 LRRK2 NRXN1,3.861317400013855,2.8568502420340653,2,BCAS1 PLP1,3.757091107695051,2.8055034302131983,2,CLSTN1 LRRK2,3.5189125405294646,1.873059552380334,4,CDK5 CLSTN1 GRN VAMP2,CD_3_NBIA-FTLD systems map,1,4,0.008695652173913044,0.034782608695652174,0.0,0.9565217391304348
C129,3.120095031036408,2.4780806847176002,2,PRNP SOD1,4.069799495347734,2.9059827763322374,2,PRNP STUB1,2.3324043636771914,1.1465649902489812,8,CDK5 DCTN1 PRNP SDCCAG8 SOD1 SQSTM1 STUB1 WDR45,2.259531603109565,1.6855973242700006,3,PRNP SOD1 WDR45,1.7687436086502875,1.4475089507775003,3,PRNP SOD1 WDR45,4.441527080877293,2.010447217919314,5,DCTN1 PRNP SDCCAG8 SOD1 STUB1,0.7620771722666968,1.3880658407682738,1,CDK5,-0.0,0.0,0,,-0.0,0.0,0,,0.9982461862590034,1.6752620562042857,1,CDK5,autophagy of mitochondrion,1,1,0.029411764705882353,0.029411764705882353,0.0,0.9411764705882353
C133,2.2774313406271216,2.9391084761395003,1,LRRK2,2.8363027882605993,3.3616566172979496,1,LRRK2,1.3230127647456509,1.3424578266915805,3,AP1G1 CMTM6 LRRK2,0.9880644976283347,1.7135002885760056,1,LRRK2,0.7969458919306804,1.476668134469394,1,LRRK2,0.7821834493055984,1.4573645128179216,1,AP1G1,1.8511889972921487,2.5832211236974922,1,LRRK2,-0.0,0.0,0,,4.56365710358208,4.493866116429416,1,LRRK2,-0.0,0.0,0,,C133,0,1,0.0,0.09090909090909091,0.0,0.9090909090909091
C140,6.767676162257003,4.559019392755589,2,ACP2 GRN,3.6290953771853465,4.055070514313213,1,GRN,1.2221359400720981,1.6297775966712233,2,ACP2 GRN,3.8976345696819337,3.3262704149715523,2,ACP2 GRN,3.432231045800976,3.0888160670567926,2,ACP2 GRN,1.3025238422911496,2.150783676407803,1,GRN,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.923333697735091,3.563829512299609,1,GRN,lytic vacuole membrane,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C141,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C141,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C137,-0.0,0.0,0,,-0.0,0.0,0,,0.739309355702564,1.0699867131623524,2,SQSTM1 WDR45,1.1660502805616542,1.9367520825704112,1,WDR45,0.9610465779918836,1.6999204405417316,1,WDR45,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,regulation of vacuole organization,1,1,0.1111111111111111,0.1111111111111111,0.0,0.7777777777777778
C150,3.4552360482273556,4.143455341976196,1,LRRK2,4.073710476857645,4.566002804745972,1,LRRK2,0.5385849367819804,1.2237754316221157,1,LRRK2,1.935489248385824,2.9178518910341262,1,LRRK2,1.691301457306355,2.6810215287142913,1,LRRK2,-0.0,0.0,0,,2.9705132724314605,3.787568830954739,1,LRRK2,-0.0,0.0,0,,5.906002021640705,5.698211429606746,1,LRRK2,-0.0,0.0,0,,C150,0,1,0.0,0.25,0.0,0.75
C143,-0.0,0.0,0,,-0.0,0.0,0,,0.28790728037525143,0.7128330876925837,1,WDR45,1.5496615859742036,2.4069180538712116,1,WDR45,1.3204291473345586,2.1700871797511283,1,WDR45,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,regulation of vacuole organization,1,0,0.16666666666666666,0.0,0.0,0.8333333333333334
C158,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C158,0,1,0.0,0.25,0.0,0.75
C157,-0.0,0.0,0,,-0.0,0.0,0,,0.5385849367819804,1.2237754316221157,1,WDR45,1.935489248385824,2.9178518910341262,1,WDR45,1.691301457306355,2.6810215287142913,1,WDR45,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C157,1,0,0.25,0.0,0.0,0.75
