,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,dysmyelination:-log(OR_p),dysmyelination:log_OR,dysmyelination:num_genes,dysmyelination:gene_ids,abnormal central nervous system regeneration:-log(OR_p),abnormal central nervous system regeneration:log_OR,abnormal central nervous system regeneration:num_genes,abnormal central nervous system regeneration:gene_ids,abnormal nervous system dopamine level:-log(OR_p),abnormal nervous system dopamine level:log_OR,abnormal nervous system dopamine level:num_genes,abnormal nervous system dopamine level:gene_ids,increased susceptibility to dopaminergic neuron neurotoxicity:-log(OR_p),increased susceptibility to dopaminergic neuron neurotoxicity:log_OR,increased susceptibility to dopaminergic neuron neurotoxicity:num_genes,increased susceptibility to dopaminergic neuron neurotoxicity:gene_ids,abnormal Bergmann glial cell morphology:-log(OR_p),abnormal Bergmann glial cell morphology:log_OR,abnormal Bergmann glial cell morphology:num_genes,abnormal Bergmann glial cell morphology:gene_ids,abnormal neuron mitochondrial morphology:-log(OR_p),abnormal neuron mitochondrial morphology:log_OR,abnormal neuron mitochondrial morphology:num_genes,abnormal neuron mitochondrial morphology:gene_ids,abnormal myelin sheath morphology:-log(OR_p),abnormal myelin sheath morphology:log_OR,abnormal myelin sheath morphology:num_genes,abnormal myelin sheath morphology:gene_ids,abnormal synaptic plasticity:-log(OR_p),abnormal synaptic plasticity:log_OR,abnormal synaptic plasticity:num_genes,abnormal synaptic plasticity:gene_ids,decreased myelin sheath thickness:-log(OR_p),decreased myelin sheath thickness:log_OR,decreased myelin sheath thickness:num_genes,decreased myelin sheath thickness:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C88,5.124881001442642,1.694056285955659,8,ATP6AP1 GRID1 INPP5A IRS2 PLA2G6 POLG TUBB4A TYRP1,5.0321214036467525,3.338041363073999,2,PAH TUBB4A,2.714535898967764,3.2730438564757716,1,RTN4,2.714535898967764,3.2730438564757716,1,PAH,2.4981338389956527,3.0906155590081816,1,SLC22A3,2.4034372981957586,3.0105194767249355,1,PTK2,2.3161883974692965,2.936358127112502,1,POLG,2.1839413765549778,1.9754743063502875,2,PLA2G6 TUBB4A,2.114151372524839,1.9355733136222382,2,RIMBP2 RIMS1,2.0252818160778694,2.6848301605006544,1,TUBB4A,CD_1G_mito-PD systems map,0,6,0.0,0.08333333333333333,0.013888888888888888,0.9027777777777778
C89,3.1030979115687476,1.5927361756626013,5,ATP6AP1 GRID1 INPP5A IRS2 TYRP1,2.389489047413061,2.972069078847837,1,PAH,3.271397532627124,3.6657494221416727,1,RTN4,3.271397532627124,3.6657494221416727,1,PAH,3.0376890043936755,3.483321255539516,1,SLC22A3,2.9348489853895243,3.4032252386994566,1,PTK2,-0.0,0.0,0,,-0.0,0.0,0,,2.853785628889282,2.3351520527387324,2,RIMBP2 RIMS1,-0.0,0.0,0,,C89,0,4,0.0,0.08163265306122448,0.0,0.9183673469387755
C91,2.7918751752000937,1.972438659122309,3,PLA2G6 POLG TUBB4A,3.614887385753392,3.8490299561002255,1,TUBB4A,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,4.14652287185154,4.206024354838821,1,POLG,4.889871868726968,3.2822579165747543,2,PLA2G6 TUBB4A,-0.0,0.0,0,,3.7713157827866093,3.9544969680307815,1,TUBB4A,C91,0,2,0.0,0.09523809523809523,0.047619047619047616,0.8571428571428572
C90,2.059158610444535,1.6042783626310246,3,ATP6AP1 GRID1 IRS2,-0.0,0.0,0,,4.100600334070625,4.205811396311688,1,RTN4,-0.0,0.0,0,,3.8452705936079927,4.023383343245003,1,SLC22A3,3.7321541084061534,3.9432873831817528,1,PTK2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C90,0,3,0.0,0.10344827586206896,0.0,0.896551724137931
C101,1.3025238422911496,2.150783676407803,1,INPP5A,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.3582253758470078,3.8720553467138057,1,RIMS1,-0.0,0.0,0,,C101,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C98,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C98,0,1,0.0,0.125,0.0,0.875
C92,1.5172153429891857,1.6218417241065168,2,GRID1 IRS2,-0.0,0.0,0,,4.8145029724629245,4.6481764598989415,1,RTN4,-0.0,0.0,0,,4.54394363108717,4.465748463509357,1,SLC22A3,4.42350648674809,4.385652531789184,1,PTK2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,cellular response to insulin stimulus,0,2,0.0,0.10526315789473684,0.0,0.8947368421052632
C93,0.7150842549886529,1.3619999275295118,1,ATP6AP1,-0.0,0.0,0,,5.607889871091233,5.141025394387831,1,RTN4,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C93,0,1,0.0,0.08333333333333333,0.0,0.9166666666666666
C97,0.945147460798356,1.6806168662212393,1,POLG,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,5.549652283981385,5.122953690321501,1,POLG,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C97,0,1,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777778
C99,1.0456305008427367,1.8142026554514281,1,POLG,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,5.734921516774562,5.256538281509676,1,POLG,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C99,0,0,0.0,0.0,0.125,0.875
