category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,comparison
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,15/88,182/7783,0.08241758241758242,7.2892732267732265,9.180861319949923,1.372120611609693e-9,2.799126047683774e-7,2.2098363534345586e-7,1636/506/5166/4714/4698/4725/4694/948/5465/4695/4731/3667/4696/1535/4705,15,CD_1G_mito_AD
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,11/88,120/7783,0.09166666666666666,8.107291666666667,8.390309585427985,8.67917741696477e-8,6.307816484244965e-6,4.979855119140762e-6,506/23545/4714/4698/4725/528/4694/4695/4731/4696/4705,11,CD_1G_mito_AD
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,14/88,213/7783,0.06572769953051644,5.813166880068288,7.616499515701472,9.276200712124949e-8,6.307816484244965e-6,4.979855119140762e-6,137682/506/4714/25915/4698/90639/4725/55471/4694/4695/4731/51103/4696/4705,14,CD_1G_mito_AD
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,12/88,202/7783,0.0594059405940594,5.254050405040504,6.550850752645711,2.451385112217046e-6,1.2502064072306935e-4,9.870050583400211e-5,506/1956/4714/4698/4725/4694/4695/4731/5747/4696/1535/4705,12,CD_1G_mito_AD
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,10/88,145/7783,0.06896551724137931,6.0995297805642625,6.628373062297897,4.817758646399624e-6,1.9656455277310464e-4,1.5518254166297738e-4,4714/4698/4725/4694/5465/4695/4731/3667/4696/4705,10,CD_1G_mito_AD
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,8/88,97/7783,0.08247422680412371,7.294283036551078,6.670595134169473,1.2326665261126911e-5,4.1910661887831495e-4,3.308736464828802e-4,948/3563/3109/3108/3127/7037/3119/1604,8,CD_1G_mito_AD
Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,10/88,173/7783,0.057803468208092484,5.112322648449815,5.849254825421977,2.2929790085392666e-5,6.527400124782265e-4,5.153210624828104e-4,10379/8764/3109/29992/3108/3127/567/3665/3119/4939,10,CD_1G_mito_AD
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,7/88,78/7783,0.08974358974358974,7.937208624708625,6.584584455465019,2.5597647548165746e-5,6.527400124782265e-4,5.153210624828104e-4,3809/3806/3109/3108/3127/567/3119,7,CD_1G_mito_AD
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,9/88,146/7783,0.06164383561643835,5.451976961394769,5.806983313063438,3.641499974429022e-5,8.254066608705784e-4,6.516368375294039e-4,23545/528/948/3109/3108/3127/7037/1535/3119,9,CD_1G_mito_AD
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,8/88,136/7783,0.058823529411764705,5.202540106951871,5.287110815709064,0.00014034245332906077,0.0028629860479128396,0.002260252143089084,4714/4698/4725/4694/4695/4731/4696/4705,8,CD_1G_mito_AD
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,13/88,356/7783,0.03651685393258427,3.229666751787538,4.605119263693039,1.6404025613809872e-4,0.0030422011138338313,0.002401737721447761,348/351/506/23385/4714/4698/4725/4694/4695/4731/3667/4696/4705,13,CD_1G_mito_AD
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,9/88,196/7783,0.04591836734693878,4.061166512059369,4.641545205531849,3.4744802003800596e-4,0.0059066163406461016,0.004663118163667975,953/10379/3109/3108/3127/567/3665/3119/4939,9,CD_1G_mito_AD
Human Diseases,Immune disease,hsa05310,Asthma,4/88,31/7783,0.12903225806451613,11.412023460410557,6.21143207140229,3.8028327099555556e-4,0.005967522098699487,0.0047112016568680165,3109/3108/3127/3119,4,CD_1G_mito_AD
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,10/88,248/7783,0.04032258064516129,3.566257331378299,4.392047743107597,4.566778764546276e-4,0.006654449056910287,0.005253512413350227,506/4714/4698/4725/4694/4695/4731/4696/1535/4705,10,CD_1G_mito_AD
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,8/88,165/7783,0.048484848484848485,4.288154269972452,4.5651632265181,5.24286192194933e-4,0.0071302922138510895,0.00562917806356665,10379/3109/3108/3127/3665/3119/4939/4600,8,CD_1G_mito_AD
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,6/88,93/7783,0.06451612903225806,5.706011730205279,4.882181795098554,6.104219183137136e-4,0.007782879458499848,0.006144378519868301,23545/528/3109/3108/3127/3119,6,CD_1G_mito_AD
Human Diseases,Immune disease,hsa05330,Allograft rejection,4/88,37/7783,0.10810810810810811,9.561425061425062,5.582012601275814,7.580384597960998e-4,0.009096461517553198,0.007181416987541999,3109/3108/3127/3119,4,CD_1G_mito_AD
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,5/88,66/7783,0.07575757575757576,6.700241046831956,4.973058591191364,8.564487248466565e-4,0.009706418881595442,0.007662962274943769,3109/3108/3127/3119/1604,5,CD_1G_mito_AD
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,10/88,278/7783,0.03597122302158273,3.181409417920209,3.9606536927258,0.001107069778035737,0.011886433406278438,0.009384026373377716,506/4714/4698/4725/4694/7052/4695/4731/4696/4705,10,CD_1G_mito_AD
Metabolism,Lipid metabolism,hsa00071,Fatty acid degradation,4/88,42/7783,0.09523809523809523,8.423160173160172,5.158192911841186,0.0012306574561957062,0.011932034728559074,0.009420027417283478,35/36/1632/1962,4,CD_1G_mito_AD
Environmental Information Processing,Membrane transport,hsa02010,ABC transporters,4/88,43/7783,0.09302325581395349,8.227272727272727,5.081838137796507,0.001345278425278719,0.011932034728559074,0.009420027417283478,10347/23456/5244/64240,4,CD_1G_mito_AD
Human Diseases,Endocrine and metabolic disease,hsa04940,Type I diabetes mellitus,4/88,43/7783,0.09302325581395349,8.227272727272727,5.081838137796507,0.001345278425278719,0.011932034728559074,0.009420027417283478,3109/3108/3127/3119,4,CD_1G_mito_AD
Human Diseases,Immune disease,hsa05332,Graft-versus-host disease,4/88,43/7783,0.09302325581395349,8.227272727272727,5.081838137796507,0.001345278425278719,0.011932034728559074,0.009420027417283478,3109/3108/3127/3119,4,CD_1G_mito_AD
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,5/88,75/7783,0.06666666666666667,5.8962121212121215,4.556198541016837,0.0015275769522171286,0.012984404093845592,0.010250845337246522,3109/3108/3127/1535/3119,5,CD_1G_mito_AD
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,9/88,245/7783,0.036734693877551024,3.2489332096474954,3.824847908367852,0.0017131344993019711,0.013979177514304084,0.011036192774450592,506/4714/4698/4725/4694/4695/4731/4696/4705,9,CD_1G_mito_AD
Organismal Systems,Immune system,hsa04672,Intestinal immune network for IgA production,4/88,47/7783,0.0851063829787234,7.527079303675048,4.79945832620356,0.0018787414754827827,0.014740894653787986,0.011637548410885254,3109/3108/3127/3119,4,CD_1G_mito_AD
Organismal Systems,Digestive system,hsa04979,Cholesterol metabolism,4/88,48/7783,0.08333333333333333,7.3702651515151505,4.734025646480536,0.002032039939210962,0.015353190651816156,0.012120939988275913,348/948/344/64240,4,CD_1G_mito_AD
Human Diseases,Immune disease,hsa05320,Autoimmune thyroid disease,4/88,50/7783,0.08,7.075454545454545,4.608636024453892,0.0023642022863101316,0.0172249023716881,0.013598607135543237,3109/3108/3127/3119,4,CD_1G_mito_AD
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,4/88,53/7783,0.07547169811320754,6.674957118353345,4.432955883885221,0.002929828762402695,0.020461519317928546,0.016153831040469906,3109/3108/3127/3119,4,CD_1G_mito_AD
Metabolism,Carbohydrate metabolism,hsa00650,Butanoate metabolism,3/88,26/7783,0.11538461538461539,10.204982517482518,5.027422488700458,0.0030090469585189036,0.020461519317928546,0.016153831040469906,35/54988/1962,3,CD_1G_mito_AD
Metabolism,Carbohydrate metabolism,hsa00640,Propanoate metabolism,3/88,32/7783,0.09375,8.291548295454545,4.419758244642668,0.005467038489739326,0.03597664038409105,0.028402610829545566,35/32/1962,3,CD_1G_mito_AD
Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,4/88,66/7783,0.06060606060606061,5.360192837465565,3.8039609678717525,0.006453185437682314,0.04113905716522475,0.032478203025177434,3109/3108/3127/3119,4,CD_1G_mito_AD
Human Diseases,Infectious disease: viral,hsa05160,Hepatitis C,6/88,151/7783,0.039735099337748346,3.514298615291993,3.3363283528825494,0.0070869330565528936,0.042621798373509615,0.03364878818961286,1956/5465/10379/3665/4939/4600,6,CD_1G_mito_AD
Organismal Systems,Endocrine system,hsa04920,Adipocytokine signaling pathway,4/88,68/7783,0.058823529411764705,5.202540106951871,3.722039649534031,0.007168616087908094,0.042621798373509615,0.03364878818961286,948/5465/32/3667,4,CD_1G_mito_AD
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecules,6/88,152/7783,0.039473684210526314,3.4911782296650715,3.316794040108257,0.007312563446435474,0.042621798373509615,0.03364878818961286,3385/5788/3109/3108/3127/3119,6,CD_1G_mito_AD
