category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,comparison
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,8/105,187/7783,0.0427807486631016,3.171072065189712,3.514137686769581,0.0036570302534770787,0.016491136426057013,0.010604298252386367,5295/3480/836/3709/5329/7422/6655/2064,8,CD_1E_mineral_abs_AD
Organismal Systems,Digestive system,hsa04979,Cholesterol metabolism,4/105,48/7783,0.08333333333333333,6.176984126984126,4.207106460589242,0.003859065515032787,0.017079938112830297,0.010982915500873039,348/64241/64240/344,4,CD_1E_mineral_abs_AD
Human Diseases,Cancer: overview,hsa05206,MicroRNAs in cancer,7/105,155/7783,0.04516129032258064,3.34752688172043,3.4521311757160116,0.0048387572377073355,0.020785883004948897,0.013365949873254962,5295/3162/836/7422/4790/6655/2064,7,CD_1E_mineral_abs_AD
Human Diseases,Cancer: specific types,hsa05210,Colorectal cancer,5/105,82/7783,0.06097560975609756,4.519744483159117,3.74680171432592,0.004870332419569616,0.020785883004948897,0.013365949873254962,5295/836/581/26060/6655,5,CD_1E_mineral_abs_AD
Human Diseases,Cancer: overview,hsa05203,Viral carcinogenesis,7/105,159/7783,0.0440251572327044,3.263312368972746,3.3718467212309826,0.005555668190963338,0.023294819256846278,0.014979271576743258,5295/841/4067/836/581/4790/5970,7,CD_1E_mineral_abs_AD
Human Diseases,Cancer: specific types,hsa05213,Endometrial cancer,4/105,54/7783,0.07407407407407407,5.4906525573192235,3.872227723991064,0.005897450937560349,0.024301565070291783,0.015626639507873158,5295/581/6655/2064,4,CD_1E_mineral_abs_AD
Human Diseases,Cancer: specific types,hsa05222,Small cell lung cancer,5/105,88/7783,0.056818181818181816,4.211580086580087,3.5430068278354567,0.006562999893895255,0.02658571143459264,0.0170954145318235,5295/836/581/4790/5970,5,CD_1E_mineral_abs_AD
Human Diseases,Infectious disease: bacterial,hsa05131,Shigellosis,8/105,210/7783,0.0380952380952381,2.823764172335601,3.133001173976075,0.0073001875250405714,0.029079080308078275,0.01869872594133199,5295/10892/3709/581/4790/3553/5970/7132,8,CD_1E_mineral_abs_AD
Human Diseases,Drug resistance: antineoplastic,hsa01522,Endocrine resistance,5/105,92/7783,0.05434782608695652,4.028467908902692,3.4169741469023935,0.007897889589775492,0.030944190359940043,0.01989804797424024,5295/3480/581/6655/2064,5,CD_1E_mineral_abs_AD
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,5/105,93/7783,0.053763440860215055,3.9851510496671785,3.386575987791279,0.008259053813532855,0.03152998222556332,0.020274729816922462,6347/50617/7422/23545/3553,5,CD_1E_mineral_abs_AD
Organismal Systems,Development and regeneration,hsa04380,Osteoclast differentiation,6/105,131/7783,0.04580152671755725,3.3949836423118867,3.232711346577056,0.008385290095395808,0.03152998222556332,0.020274729816922462,5295/3709/4790/3553/5970/7132,6,CD_1E_mineral_abs_AD
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,7/105,172/7783,0.040697674418604654,3.0166666666666666,3.127473880353037,0.008443175156636203,0.03152998222556332,0.020274729816922462,4299/3480/581/1051/4790/2322/5970,7,CD_1E_mineral_abs_AD
Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,4/105,61/7783,0.06557377049180328,4.860577673692428,3.539716844161621,0.009058442230694777,0.03330719527901618,0.021417531428039475,5295/441531/2322/2064,4,CD_1E_mineral_abs_AD
Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,8/105,220/7783,0.03636363636363636,2.6954112554112553,2.9830158509591724,0.009546851668826215,0.034055187296260676,0.021898512861722348,5295/3480/3643/7422/4790/2322/6655/5970,8,CD_1E_mineral_abs_AD
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease - COVID-19,8/105,220/7783,0.03636363636363636,2.6954112554112553,2.9830158509591724,0.009546851668826215,0.034055187296260676,0.021898512861722348,1636/5295/6347/4790/3439/3553/5970/7132,8,CD_1E_mineral_abs_AD
Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,5/105,97/7783,0.05154639175257732,3.8208149239077076,3.269087000134401,0.009818654448612591,0.03450968254732955,0.022190767020084184,5295/836/4790/3553/5970,5,CD_1E_mineral_abs_AD
Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,7/105,183/7783,0.03825136612021858,2.835336976320583,2.937993103262803,0.01164665670547782,0.04034131815375651,0.025940684652933057,5295/4067/6347/4790/6655/9560/5970,7,CD_1E_mineral_abs_AD
Organismal Systems,Endocrine system,hsa04917,Prolactin signaling pathway,4/105,66/7783,0.06060606060606061,4.4923520923520925,3.3318232045205844,0.011887489030693438,0.040587283976224735,0.026098848097462282,5295/4790/6655/5970,4,CD_1E_mineral_abs_AD
Organismal Systems,Immune system,hsa04622,RIG-I-like receptor signaling pathway,4/105,68/7783,0.058823529411764705,4.360224089635854,3.25440007316924,0.013161162095756393,0.04430306677303913,0.02848820853936892,841/4790/3439/5970,4,CD_1E_mineral_abs_AD
Human Diseases,Cancer: specific types,hsa05223,Non-small cell lung cancer,4/105,69/7783,0.057971014492753624,4.297032436162871,3.2168007157684224,0.013829396630102821,0.04590591381381354,0.029518887543786725,5295/581/6655/2064,4,CD_1E_mineral_abs_AD
