category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,comparison
Genetic Information Processing,"Folding, sorting and degradation",hsa04141,Protein processing in endoplasmic reticulum,12/82,165/7783,0.07272727272727272,6.902882483370288,7.907962530938036,1.2661554566329103e-7,2.4816646950005043e-5,2.3057357262894052e-5,3998/2923/10483/9601/5034/581/10130/10802/29927/10905/811/23190,12,CD_1E_mineral_abs_ALS
Genetic Information Processing,"Folding, sorting and degradation",hsa04130,SNARE interactions in vesicular transport,6/82,32/7783,0.1875,17.796493902439025,9.824121728315173,8.277031336249155e-7,8.111490709524172e-5,7.536454848268968e-5,6811/9527/8773/9554/51272/9570,6,CD_1E_mineral_abs_ALS
Organismal Systems,Digestive system,hsa04978,Mineral absorption,7/82,58/7783,0.1206896551724138,11.455214465937765,8.246633165808024,2.1679743867583057e-6,1.416409932682093e-4,1.3159984874006557e-4,113235/538/3162/1317/55630/4489/490,7,CD_1E_mineral_abs_ALS
Human Diseases,Infectious disease: bacterial,hsa05110,Vibrio cholerae infection,5/82,49/7783,0.10204081632653061,9.685166749626681,6.2929328118675505,1.5220206121151856e-4,0.00745790099936441,0.006929199102524398,11014/9601/29927/11015/375,5,CD_1E_mineral_abs_ALS
Cellular Processes,Cell growth and death,hsa04215,Apoptosis - multiple species,4/82,31/7783,0.12903225806451613,12.247049567269865,6.474281101711562,2.9002907354616604e-4,0.01136913968300971,0.010563164152312995,27113/581/840/7132,4,CD_1E_mineral_abs_ALS
Human Diseases,Drug resistance: antineoplastic,hsa01524,Platinum drug resistance,5/82,72/7783,0.06944444444444445,6.591294037940379,4.918154936116087,9.244093128194785e-4,0.030197370885436295,0.028056633529433297,538/1317/27113/581/2947,5,CD_1E_mineral_abs_ALS
