"CD_AnnotatedAlgorithm","CD_AnnotatedMembers","CD_AnnotatedMembers_Overlap","CD_AnnotatedMembers_Pvalue","CD_AnnotatedMembers_Size","CD_AnnotatedMembers_SourceDB","CD_AnnotatedMembers_SourceTerm","CD_CommunityName","CD_Labeled","CD_MemberList","CD_MemberList_LogSize","CD_MemberList_Size","CD_NonAnnotatedMembers","HiDeF_persistence","name","NumChildren","NumDescendents","selected","shared name"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","ALPL H6PD NAMPTP1 PSAPL1 RGS4 SLC25A14 SLC25A22","2.807","7","","6","C159549",,,"false","C159549"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","CD99 IGFBP4 PLTP PLXND1 TGFBI TIMP2 TSPAN4","2.807","7","","8","C159548",,,"false","C159548"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","CAT FOS HMOX1","0.081","1.6473359474600111E-7","3","WP","WP:WP408","Oxidative stress response","true","CAT CLU FOS FTH1 GLUL HMOX1 SLC31A2","2.807","7","CLU FTH1 GLUL SLC31A2","9","C159547",,,"false","C159547"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","ANXA11 CAPNS1 CD81 FXYD5 GABARAP LGALS1 LRP10","2.807","7","","10","C159546",,,"false","C159546"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","BLVRB DHRS3 FCGRT FTL NINJ1 PEPD VAMP8","2.807","7","","18","C159545",,,"false","C159545"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","ALPL CHI3L1 H6PD NAMPTP1 RGS4 SLC1A3 TMEM51 TREM2","3.0","8","","5","C159544",,,"false","C159544"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","ARSH ARSI SUMF1","0.176","3.7120232086081754E-8","3","REAC","REAC:R-HSA-1663150","The activation of arylsulfatases","true","ARSH ARSI GALNS HGSNAT NDST2 PPIL3 SLURP1 SUMF1","3.0","8","GALNS HGSNAT NDST2 PPIL3 SLURP1","5","C159543",,,"false","C159543"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","B3GALT6 B4GALNT1 B4GALT7 CHID1 CIAO3 FAAP100 TMEM134 TMEM53","3.0","8","","6","C159542",,,"false","C159542"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","HGSNAT MTX1 PEBP4 PKD1L1 PKD1L3 RDH11 TLCD2 TMEM246","3.0","8","","15","C159541",,,"false","C159541"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","MT1E MT1G MT1HL1 MT1X MT2A","0.313","9.373056963750562E-16","5","GO:BP","GO:1990169","stress response to copper ion","true","CXorf40A MT1E MT1G MT1HL1 MT1L MT1X MT2A SLC39A1","3.0","8","CXorf40A MT1L SLC39A1","34","C159540",,,"false","C159540"
