,abnormal radial glial cell morphology:-log(OR_p),abnormal radial glial cell morphology:log_OR,abnormal radial glial cell morphology:num_genes,abnormal radial glial cell morphology:gene_ids,abnormal retina neuronal layer morphology:-log(OR_p),abnormal retina neuronal layer morphology:log_OR,abnormal retina neuronal layer morphology:num_genes,abnormal retina neuronal layer morphology:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,abnormal neuronal precursor cell number:-log(OR_p),abnormal neuronal precursor cell number:log_OR,abnormal neuronal precursor cell number:num_genes,abnormal neuronal precursor cell number:gene_ids,abnormal sensory neuron morphology:-log(OR_p),abnormal sensory neuron morphology:log_OR,abnormal sensory neuron morphology:num_genes,abnormal sensory neuron morphology:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,increased neuronal precursor cell number:-log(OR_p),increased neuronal precursor cell number:log_OR,increased neuronal precursor cell number:num_genes,increased neuronal precursor cell number:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C159,7.677872600920844,3.036197061426404,4,CDH2 HSPG2 ITGB1 ITGB8,4.792630262033018,1.374756190229105,11,AMIGO2 ATF6 BBS12 GINM1 ITGB2 ITGB8 NPHP1 PXDN RAB23 ROM1 SLC24A1,4.567025517829664,1.0734397171057033,18,BACE1 BDNF CACNA1C CACNG3 GATM HSPG2 ITPR1 NALCN NOTCH3 PRRT2 RYR2 RYR3 SLC24A4 SLC24A5 SLC8A2 SLC8A3 TMEM175 TRPC3,4.526290283093873,1.0679466261343062,18,BACE1 BDNF CACNA1C CACNG3 GATM HSPG2 ITPR1 NALCN NOTCH3 PRRT2 RYR2 RYR3 SLC24A4 SLC24A5 SLC8A2 SLC8A3 TMEM175 TRPC3,4.456813950819885,2.161616732891071,4,CDH2 CNTF DLL1 NOTCH2,4.04544986930344,1.2465228694248829,11,AMIGO2 ATF6 BBS12 BDNF DLL1 ITGB2 NOTCH2 NPHP1 PXDN ROM1 SLC24A1,3.73141394105255,0.8634806748836752,23,AMIGO2 ATF6 BACE1 BBS12 BDNF CDH2 CNTF DLL1 HSPG2 ITGB1 ITGB2 ITGB8 MSRB3 NOTCH2 NPHP1 PRRT2 PXDN ROM1 SLC24A1 SORCS2 TMEM175 TRPC3 VCAN,3.4435493726332784,2.6644465636200785,2,CDH2 NOTCH2,3.284371957448972,0.9593361867393249,15,BACE1 BDNF CACNA1C CACNG3 GATM ITPR1 NOTCH3 PRRT2 RYR2 RYR3 SLC24A4 SLC24A5 SLC8A2 TMEM175 TRPC3,3.0639871802850185,1.9937372256904267,3,ABCG2 BACE1 TMEM175,AD-eye_diseases systems map,2,9,0.015151515151515152,0.06818181818181818,0.0,0.9166666666666666
C160,9.878951559681289,3.508769735116582,4,CDH2 HSPG2 ITGB1 ITGB8,5.442861334614356,1.650152223431574,9,AMIGO2 ATF6 BBS12 GINM1 ITGB2 ITGB8 NPHP1 PXDN RAB23,0.12533827095609656,0.1477357857992967,5,BACE1 BDNF HSPG2 NOTCH3 TMEM175,0.12020651963573159,0.1423129102365568,5,BACE1 BDNF HSPG2 NOTCH3 TMEM175,6.243246251158926,2.634194780292371,4,CDH2 CNTF DLL1 NOTCH2,4.726621934784635,1.52248435043348,9,AMIGO2 ATF6 BBS12 BDNF DLL1 ITGB2 NOTCH2 NPHP1 PXDN,5.242992212669081,1.189330631844701,19,AMIGO2 ATF6 BACE1 BBS12 BDNF CDH2 CNTF DLL1 HSPG2 ITGB1 ITGB2 ITGB8 MSRB3 NOTCH2 NPHP1 PXDN SORCS2 TMEM175 VCAN,4.518885673588416,3.1278297117278075,2,CDH2 NOTCH2,0.004960627515402071,0.007309563048712775,4,BACE1 BDNF NOTCH3 TMEM175,4.360641581032217,2.461673789403558,3,ABCG2 BACE1 TMEM175,protein complex involved in cell adhesion,1,6,0.011904761904761904,0.07142857142857142,0.0,0.9166666666666666
C161,-0.0,0.0,0,,0.32367509402960126,0.5165953175174494,2,ROM1 SLC24A1,8.832691901579722,1.8948120326489368,14,BDNF CACNA1C CACNG3 GATM ITPR1 NALCN PRRT2 RYR2 RYR3 SLC24A4 SLC24A5 SLC8A2 SLC8A3 TRPC3,8.78615068631683,1.8893417637505285,14,BDNF CACNA1C CACNG3 GATM ITPR1 NALCN PRRT2 RYR2 RYR3 SLC24A4 SLC24A5 SLC8A2 SLC8A3 TRPC3,0.9686385391514722,1.6363794015344872,1,CNTF,0.7697161137618391,0.8182313218518367,3,BDNF ROM1 SLC24A1,0.381181655645156,0.35348111576901964,6,BDNF CNTF PRRT2 ROM1 SLC24A1 TRPC3,-0.0,0.0,0,,7.201798414186084,1.7856292672397895,12,BDNF CACNA1C CACNG3 GATM ITPR1 PRRT2 RYR2 RYR3 SLC24A4 SLC24A5 SLC8A2 TRPC3,-0.0,0.0,0,,Ion homeostasis,1,3,0.018867924528301886,0.05660377358490566,0.0,0.9245283018867925
C162,14.898691371404572,4.52622293719362,4,CDH2 HSPG2 ITGB1 ITGB8,3.0512398446342823,1.7801441820792743,4,AMIGO2 ITGB2 ITGB8 PXDN,0.08637740420536383,0.16651583788060798,2,HSPG2 NOTCH3,0.08333660269611233,0.1611095325159866,2,HSPG2 NOTCH3,7.098778335586098,3.3152015316311765,3,CDH2 DLL1 NOTCH2,4.061932738837486,1.9142188137626341,5,AMIGO2 DLL1 ITGB2 NOTCH2 PXDN,4.5138797435274975,1.582946675948623,10,AMIGO2 CDH2 DLL1 HSPG2 ITGB1 ITGB2 ITGB8 NOTCH2 PXDN VCAN,7.121103063063541,4.103282989812081,2,CDH2 NOTCH2,0.18818915026502128,-0.4633888845708274,1,NOTCH3,-0.0,0.0,0,,protein complex involved in cell adhesion,1,2,0.030303030303030304,0.06060606060606061,0.0,0.9090909090909091
C165,-0.0,0.0,0,,1.2360913775677413,1.4055331230277979,2,BBS12 NPHP1,0.06696830440770536,-0.1842087199770006,1,TMEM175,0.06907267996841403,-0.189609634608237,1,TMEM175,-0.0,0.0,0,,1.0740027804296757,1.2797877135314408,2,BBS12 NPHP1,0.3909147221530981,0.5143745870005603,3,BBS12 NPHP1 TMEM175,-0.0,0.0,0,,0.03088874020167853,-0.08813686951136468,1,TMEM175,1.978037021104981,2.6362857683058705,1,TMEM175,C165,0,3,0.0,0.13043478260869565,0.0,0.8695652173913043
C168,-0.0,0.0,0,,4.163932590288594,2.6612829116597716,3,BBS12 NPHP1 RAB23,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.038351034978202,2.0223255769085906,2,BBS12 NPHP1,1.3099349120135244,1.313519761145514,3,BBS12 MSRB3 NPHP1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C168,1,2,0.08333333333333333,0.16666666666666666,0.0,0.75
C173,4.239319616548005,4.327119006597272,1,CDH2,2.7403029711705247,2.504907316494669,2,ATF6 GINM1,0.3613776661095656,0.8281773852359322,1,BDNF,0.3583942061326237,0.822776690855358,1,BDNF,7.096800212516468,4.351652800591141,2,CDH2 CNTF,2.51543695701523,2.379164236092307,2,ATF6 BDNF,4.06674237475618,2.636858890777832,5,ATF6 BDNF CDH2 CNTF SORCS2,4.877920030338645,4.717116113004252,1,CDH2,0.4159037409852475,0.9242455102504241,1,BDNF,-0.0,0.0,0,,C173,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C175,-0.0,0.0,0,,0.9412367736699025,1.675846051026321,1,PXDN,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.8410397658617118,1.5503713611745233,1,PXDN,0.122205699635487,0.3314564506828983,1,PXDN,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C175,0,2,0.0,0.2222222222222222,0.0,0.7777777777777778
C191,-0.0,0.0,0,,1.4652921518241304,2.3692108239278733,1,AMIGO2,0.7601328926533046,1.5215487936122774,1,BACE1,0.7563214139250647,1.5161481620969663,1,BACE1,-0.0,0.0,0,,1.347315491744858,2.2437367989514643,1,AMIGO2,2.6922932116526863,2.8180026142104673,3,AMIGO2 BACE1 VCAN,-0.0,0.0,0,,0.829347521683647,1.6176158552835123,1,BACE1,3.9424122157380816,4.341994116686368,1,BACE1,C191,0,1,0.0,0.2,0.0,0.8
C163,-0.0,0.0,0,,0.2218927285716682,0.5354864718133054,1,SLC24A1,10.227719590351843,2.6073914879428006,11,CACNA1C CACNG3 ITPR1 NALCN RYR2 RYR3 SLC24A4 SLC24A5 SLC8A2 SLC8A3 TRPC3,10.1882858058249,2.60193770508789,11,CACNA1C CACNG3 ITPR1 NALCN RYR2 RYR3 SLC24A4 SLC24A5 SLC8A2 SLC8A3 TRPC3,-0.0,0.0,0,,0.16244339234850785,0.41000895300483897,1,SLC24A1,0.036377558390510475,-0.07429019242540313,2,SLC24A1 TRPC3,-0.0,0.0,0,,8.034618002984482,2.3762355925589267,9,CACNA1C CACNG3 ITPR1 RYR2 RYR3 SLC24A4 SLC24A5 SLC8A2 TRPC3,-0.0,0.0,0,,Ion homeostasis,1,1,0.038461538461538464,0.038461538461538464,0.0,0.9230769230769231
