,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal radial glial cell morphology:-log(OR_p),abnormal radial glial cell morphology:log_OR,abnormal radial glial cell morphology:num_genes,abnormal radial glial cell morphology:gene_ids,abnormal sphingomyelin level:-log(OR_p),abnormal sphingomyelin level:log_OR,abnormal sphingomyelin level:num_genes,abnormal sphingomyelin level:gene_ids,abnormal neuron mitochondrial morphology:-log(OR_p),abnormal neuron mitochondrial morphology:log_OR,abnormal neuron mitochondrial morphology:num_genes,abnormal neuron mitochondrial morphology:gene_ids,decreased myelin sheath thickness:-log(OR_p),decreased myelin sheath thickness:log_OR,decreased myelin sheath thickness:num_genes,decreased myelin sheath thickness:gene_ids,demyelination:-log(OR_p),demyelination:log_OR,demyelination:num_genes,demyelination:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,decreased dopaminergic neuron number:-log(OR_p),decreased dopaminergic neuron number:log_OR,decreased dopaminergic neuron number:num_genes,decreased dopaminergic neuron number:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C97,8.841103798236551,2.8905324650077997,5,ARCN1 DLST IMMT PITRM1 STUB1,2.3352228636201757,2.0618208756082925,2,ADRB2 SYNE2,2.1179629262495774,2.78360175358522,1,SPTLC2,2.035394028839732,2.7094403526387083,1,IMMT,1.7612412144014076,2.4579121806357103,1,DST,1.5972883205850652,1.6183804920950635,2,DST SLC33A1,1.400122116394786,0.9515224693501967,5,ADRB2 DST PITRM1 SLC33A1 SYNE2,1.3563888644608797,0.9320373546565506,5,ARCN1 DST PITRM1 SLC33A1 STUB1,1.2773884655540892,1.9804000776301063,1,IMMT,1.0438970254831663,-1.7036704753686944,1,GNE,CD_1H_other_IEMs-ALS systems map,0,2,0.0,0.022222222222222223,0.0,0.9777777777777777
C98,1.4669307322286027,2.166506336046151,1,ARCN1,-0.0,0.0,0,,3.4822676109575985,3.778718027396345,1,SPTLC2,-0.0,0.0,0,,-0.0,0.0,0,,1.1999229213405007,1.897173459391924,1,SLC33A1,0.10691386515699845,0.2814941354295737,1,SLC33A1,0.7544806353885831,0.9885024609917998,2,ARCN1 SLC33A1,-0.0,0.0,0,,-0.0,0.0,0,,pyridoxal phosphate binding,0,1,0.0,0.029411764705882353,0.0,0.9705882352941176
C102,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,4.311461542257425,4.311491332755876,1,DST,2.091213828064458,2.7556391639260074,1,DST,0.5665505370156636,1.1399783528427,1,DST,0.5536357110895432,1.1206746364983697,1,DST,-0.0,0.0,0,,-0.0,0.0,0,,C102,0,1,0.0,0.06666666666666667,0.0,0.9333333333333333
C100,-0.0,0.0,0,,-0.0,0.0,0,,4.256979109704253,4.280185559538933,1,SPTLC2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,pyridoxal phosphate binding,0,1,0.0,0.047619047619047616,0.0,0.9523809523809523
C104,-0.0,0.0,0,,-0.0,0.0,0,,5.499842489417693,5.079278626818839,1,SPTLC2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,pyridoxal phosphate binding,0,1,0.0,0.1,0.0,0.9
C112,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,carboxylic acid transmembrane transport,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C108,-0.0,0.0,0,,-0.0,0.0,0,,6.0591439153449365,5.484903322128448,1,SPTLC2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,pyridoxal phosphate binding,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
