,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0000965,0.10184868283257983,0.8468186807335858,-0.16771567409442523,1.8613530355615968,501,abnormal sensory neuron morphology,brain
MP:0003203,0.10272720198988584,1.1779554510175618,-0.23691628632767747,2.592827188362801,178,increased neuron apoptosis,brain
MP:0009823,0.11108691586939458,2.3014650630094966,-0.5295855832171728,5.132515709236166,14,abnormal sphingomyelin level,brain
MP:0010149,0.11108691586939458,2.3014650630094966,-0.5295855832171728,5.132515709236166,14,abnormal synaptic dopamine release,brain
MP:0010170,0.11108691586939458,2.3014650630094966,-0.5295855832171728,5.132515709236166,14,abnormal glial cell apoptosis,brain
MP:0010387,0.11108691586939458,2.3014650630094966,-0.5295855832171728,5.132515709236166,14,abnormal Bergmann glial cell morphology,brain
MP:0001038,0.12179283301093684,2.232418825458012,-0.5953992576919189,5.060236908607943,15,abnormal cholinergic neuron morphology,brain
MP:0014345,0.12179283301093684,2.232418825458012,-0.5953992576919189,5.060236908607943,15,abnormal neuron mitochondrial morphology,brain
MP:0014325,0.12179283301093684,2.232418825458012,-0.5953992576919189,5.060236908607943,15,abnormal oligodendrocyte progenitor morphology,brain
MP:0004494,0.12179283301093684,2.232418825458012,-0.5953992576919189,5.060236908607943,15,abnormal synaptic glutamate release,brain
MP:0002948,0.12179283301093684,2.232418825458012,-0.5953992576919189,5.060236908607943,15,abnormal neuron specification,brain
MP:0002916,0.12179283301093684,2.232418825458012,-0.5953992576919189,5.060236908607943,15,increased synaptic depression,brain
MP:0002917,0.12179283301093684,2.232418825458012,-0.5953992576919189,5.060236908607943,15,decreased synaptic depression,brain
MP:0004297,0.13257380758203094,2.1678269354078203,-0.657159621004721,4.992813491820362,16,abnormal proprioceptive neuron morphology,brain
MP:0012204,0.13257380758203094,2.1678269354078203,-0.657159621004721,4.992813491820362,16,abnormal neuronal stem cell physiology,brain
MP:0003240,0.13257380758203094,2.1678269354078203,-0.657159621004721,4.992813491820362,16,loss of hippocampal neurons,brain
MP:0020338,0.14340540898005522,2.1071489418303706,-0.7153368498936477,4.929634733554389,17,abnormal hippocampal pyramidal neuron dendrite morphology,brain
MP:0011827,0.14340540898005522,2.1071489418303706,-0.7153368498936477,4.929634733554389,17,impaired neuron differentiation,brain
MP:0014385,0.15426679609023863,2.0499371533807125,-0.7703238750405861,4.870198181802011,18,decreased miniature inhibitory postsynaptic current amplitude,brain
MP:0003241,0.15426679609023863,2.0499371533807125,-0.7703238750405861,4.870198181802011,18,loss of cortex neurons,brain
