,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal neuron differentiation:-log(OR_p),abnormal neuron differentiation:log_OR,abnormal neuron differentiation:num_genes,abnormal neuron differentiation:gene_ids,abnormal somatic nervous system morphology:-log(OR_p),abnormal somatic nervous system morphology:log_OR,abnormal somatic nervous system morphology:num_genes,abnormal somatic nervous system morphology:gene_ids,abnormal sensory neuron morphology:-log(OR_p),abnormal sensory neuron morphology:log_OR,abnormal sensory neuron morphology:num_genes,abnormal sensory neuron morphology:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal nervous system development:-log(OR_p),abnormal nervous system development:log_OR,abnormal nervous system development:num_genes,abnormal nervous system development:gene_ids,abnormal radial glial cell morphology:-log(OR_p),abnormal radial glial cell morphology:log_OR,abnormal radial glial cell morphology:num_genes,abnormal radial glial cell morphology:gene_ids,abnormal sensory neuron innervation pattern:-log(OR_p),abnormal sensory neuron innervation pattern:log_OR,abnormal sensory neuron innervation pattern:num_genes,abnormal sensory neuron innervation pattern:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C237,4.304785595192712,2.2600383514045674,6,BACE1 CLU EML1 JAM3 MSRB3 PXDN,0.8704714511193259,1.5589565041023512,1,EML1,3.1352633767890077,2.0322925421400004,4,BACE1 EML1 MSRB3 PXDN,1.9086999174429433,1.9269608193992456,2,EML1 PXDN,6.65941770053558,4.039696364136666,2,BACE1 CLU,0.6702089028431809,0.9565700858543789,2,EML1 JAM3,3.6880146186628866,3.921440883257713,1,EML1,-0.0,0.0,0,,1.0402145467576802,1.2998970461698196,2,BACE1 BSCL2,0.9292078840836382,1.2037298522703939,2,BACE1 BSCL2,C237,1,0,0.07692307692307693,0.0,0.0,0.9230769230769231
C241,2.5037347738094033,1.8532787447337586,4,CNTNAP4 GAS2 GPM6B SORL1,-0.0,0.0,0,,0.21584493245112135,0.5376870374656058,1,GAS2,0.6857576216392639,1.327118663385635,1,GAS2,7.059858995438079,4.240473737644576,2,SORCS1 SORL1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.2585835418614701,1.5006793487749448,2,CNTNAP4 SORCS3,1.138806627076367,1.404512686785088,2,CNTNAP4 SORCS3,C241,1,0,0.09090909090909091,0.0,0.0,0.9090909090909091
C281,1.798412314363572,2.411891302525696,2,LRP8 VLDLR,-0.0,0.0,0,,0.8809670342645137,1.7420536644076758,1,VLDLR,1.5454329903426542,2.531473428265148,1,VLDLR,4.170753345029903,4.629729509674567,1,LRPAP1,2.1079886612328114,2.6618300215936124,2,LRP8 VLDLR,-0.0,0.0,0,,-0.0,0.0,0,,2.573480589793146,3.0051472724885935,2,LRP8 VLDLR,2.4383760539968136,2.908982471245423,2,LRP8 VLDLR,C281,0,1,0.0,0.25,0.0,0.75
C249,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,regulation of Rho protein signal transduction,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C266,0.444341964558784,1.0248353272587085,1,EFNB1,-0.0,0.0,0,,0.7132839086950182,1.4543153410769616,1,EFNB1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.829347521683647,1.6176158552835123,1,CLSTN3,0.7601328926533046,1.5215487936122774,1,CLSTN3,C266,1,0,0.2,0.0,0.0,0.8
C274,0.5921347132503711,1.312575315327452,1,CLU,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,4.170753345029903,4.629729509674567,1,CLU,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.0040359136514818,1.9053537110728245,1,BSCL2,0.9307409065092185,1.8092869151630842,1,BSCL2,C274,1,0,0.25,0.0,0.0,0.75
C246,2.033094846174903,1.901538135485036,3,CNTN6 PTPRS ROBO3,3.502058937854777,2.948666627739586,2,PTPRS ROBO3,1.4823837958833193,1.742848757773805,2,CNTN4 PTPRS,-0.0,0.0,0,,-0.0,0.0,0,,2.4892596221843553,2.1516484764311814,3,FUT9 PTPRS ROBO3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C246,0,1,0.0,0.125,0.0,0.875
C252,2.2650760097149094,2.124739605770621,3,DLL1 KIRREL2 KIRREL3,1.428373080916619,2.2524282546099688,1,DLL1,1.667932283098814,1.9252265717757284,2,DLL1 KIRREL3,2.92410987476376,2.715745601321693,2,DLL1 KIRREL3,-0.0,0.0,0,,1.430791705579836,1.7453687043268413,2,APH1A DLL1,-0.0,0.0,0,,-0.0,0.0,0,,0.5816185746602527,1.212039171164074,1,DTX1,0.5203675178520026,1.1159715778806785,1,DTX1,Notch signaling pathway,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C288,0.5921347132503711,1.312575315327452,1,SORL1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,4.170753345029903,4.629729509674567,1,SORL1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C288,1,0,0.25,0.0,0.0,0.75
C262,0.444341964558784,1.0248353272587085,1,SORL1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,8.155658915937364,5.339405992185723,2,SORCS1 SORL1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.829347521683647,1.6176158552835123,1,SORCS3,0.7601328926533046,1.5215487936122774,1,SORCS3,C262,1,0,0.2,0.0,0.0,0.8
C277,1.798412314363572,2.411891302525696,2,PTPRS ROBO3,4.274145158491109,4.047495237862219,2,PTPRS ROBO3,0.8809670342645137,1.7420536644076758,1,PTPRS,-0.0,0.0,0,,-0.0,0.0,0,,2.1079886612328114,2.6618300215936124,2,PTPRS ROBO3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C277,0,1,0.0,0.25,0.0,0.75
C292,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C292,0,1,0.0,0.25,0.0,0.75
