,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal neuron apoptosis:-log(OR_p),abnormal neuron apoptosis:log_OR,abnormal neuron apoptosis:num_genes,abnormal neuron apoptosis:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,increased neuron apoptosis:-log(OR_p),increased neuron apoptosis:log_OR,increased neuron apoptosis:num_genes,increased neuron apoptosis:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,abnormal retina neuronal layer morphology:-log(OR_p),abnormal retina neuronal layer morphology:log_OR,abnormal retina neuronal layer morphology:num_genes,abnormal retina neuronal layer morphology:gene_ids,abnormal somatic nervous system morphology:-log(OR_p),abnormal somatic nervous system morphology:log_OR,abnormal somatic nervous system morphology:num_genes,abnormal somatic nervous system morphology:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C179,17.313278989096045,3.0517431532806176,10,ABCC1 ABCG2 APOE BACE1 CLU PRNP PSEN1 SORL1 TNFRSF1A TRIB2,11.543459684980062,2.0051873804102964,14,ATP7A BDNF CASP3 CCL2 FN1 IGF1 IL34 IL6 NUMB PANX1 PRNP PSEN1 TNFRSF1A VEGFA,10.76981470607024,1.8098245831501067,16,APOE ATP2B1 BACE1 CLCN7 CP HFE IL1B IL34 IL6 ITGB1 LYST PRNP PSEN1 TNFRSF1A TRIB2 VEGFA,10.609109682424783,1.6994092490146588,18,AFF1 APOE ATP2B1 BACE1 CLCN7 CNTN1 CP HFE IL1B IL34 IL6 ITGB1 LYST PRNP PSEN1 TNFRSF1A TRIB2 VEGFA,9.784053615445298,2.0548144209568004,11,ATP7A BDNF FN1 IGF1 IL34 IL6 NUMB PRNP PSEN1 TNFRSF1A VEGFA,9.311313204749574,1.1494765648072391,39,ABCB5 AFF1 APBB2 APOE ATP2B1 ATP7A ATP9A B2M BACE1 BDNF C3AR1 CASP3 CCL2 CHN2 CLCN7 CLU CNTN1 CP DNM2 EPHB3 FGFR3 HFE IGF1 IL6 ITGB1 LRP8 LYST MANBA NOTCH1 NUMB PANX1 PLAUR PRNP PSEN1 PXDN SLC24A1 SORL1 TRIB2 VEGFA,9.09869855909019,2.317566646609663,8,APOE CLCN7 IL34 IL6 PRNP PSEN1 TNFRSF1A TRIB2,8.173984496885387,1.5090972647588163,17,ABCB5 APOE C3AR1 CASP3 CCL2 CCND1 CLCN7 CP GINM1 IL6 ITGA6 PANX1 PXDN RAB23 SLC24A1 TRIB2 VEGFA,7.730240664996379,1.1958976250603843,27,ABCB5 APOE ATP2B1 ATP7A B2M BACE1 BDNF C3AR1 CASP3 CCL2 CLCN7 DNM2 EPHB3 FGFR3 GINM1 IGF1 NFKB1 NOTCH1 NUMB PANX1 PRNP PSEN1 PXDN RAB23 SLC24A1 TRAF6 VEGFA,7.033846118678135,1.4696211439946172,15,AFF1 APOE ATP7A BACE1 CASP3 CCL2 CLCN7 CP HFE LRP8 PRNP PSEN1 SLC24A1 SORL1 VEGFA,CD_1E_mineral_abs-AD systems map,1,6,0.005988023952095809,0.03592814371257485,0.0,0.9580838323353293
C203,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.3750817265887547,2.273729962608906,1,RAB23,0.7021924188390212,1.4381182310461273,1,RAB23,-0.0,0.0,0,,C203,0,1,0.0,0.2,0.0,0.8
C180,4.562460799721324,2.5281669836951,3,PSEN1 SORL1 TRIB2,3.691695969083153,1.7375660083787725,5,ATP7A IL34 NUMB PANX1 PSEN1,5.002963149637821,1.7723953782861965,7,ATP2B1 CLCN7 HFE IL34 LYST PSEN1 TRIB2,5.077989541785872,1.6827972002554024,8,AFF1 ATP2B1 CLCN7 HFE IL34 LYST PSEN1 TRIB2,3.298565150437689,1.8081541689958147,4,ATP7A IL34 NUMB PSEN1,6.435260821079243,1.3375292819258142,20,AFF1 APBB2 ATP2B1 ATP7A ATP9A CHN2 CLCN7 DNM2 EPHB3 FGFR3 HFE LYST MANBA NOTCH1 NUMB PANX1 PSEN1 SLC24A1 SORL1 TRIB2,5.357738807431982,2.407052352674657,4,CLCN7 IL34 PSEN1 TRIB2,0.9174902222017459,0.8005950683786942,4,CLCN7 PANX1 SLC24A1 TRIB2,3.756381351389124,1.1894052054674145,12,ATP2B1 ATP7A CLCN7 DNM2 EPHB3 FGFR3 NOTCH1 NUMB PANX1 PSEN1 SLC24A1 TRAF6,3.8011010798896403,1.512179170634969,7,AFF1 ATP7A CLCN7 HFE PSEN1 SLC24A1 SORL1,transmembrane receptor protein tyrosine kinase activity,1,3,0.013513513513513514,0.04054054054054054,0.0,0.9459459459459459
C181,11.93913310386418,3.4639626443473954,5,APOE BACE1 CLU PRNP TNFRSF1A,13.244498532227896,2.7937136873364805,9,BDNF CASP3 CCL2 FN1 IGF1 IL6 PRNP TNFRSF1A VEGFA,10.457162020366809,2.4515957121873075,9,APOE BACE1 CP HFE IL1B IL6 PRNP TNFRSF1A VEGFA,10.387006466755677,2.3405035383189734,10,APOE BACE1 CNTN1 CP HFE IL1B IL6 PRNP TNFRSF1A VEGFA,10.969378755444435,2.8063069788740336,7,BDNF FN1 IGF1 IL6 PRNP TNFRSF1A VEGFA,6.163050783703174,1.4910411018969132,16,APOE B2M BACE1 BDNF C3AR1 CASP3 CCL2 CLU CNTN1 CP HFE IGF1 IL6 PLAUR PRNP VEGFA,6.740075016572927,2.764852668506764,4,APOE IL6 PRNP TNFRSF1A,6.315934575183565,1.9455072687974848,8,APOE C3AR1 CASP3 CCL2 CP GINM1 IL6 VEGFA,7.0064868554733675,1.7099040324346166,13,APOE B2M BACE1 BDNF C3AR1 CASP3 CCL2 GINM1 IGF1 NFKB1 PRNP TRAF6 VEGFA,6.917934504071468,2.047313064296736,8,APOE BACE1 CASP3 CCL2 CP HFE PRNP VEGFA,amyloid precursor protein catabolic process,0,2,0.0,0.03773584905660377,0.0,0.9622641509433962
C190,3.1033988724576824,3.584906863730959,1,SORL1,-0.0,0.0,0,,1.1660502805616542,1.9367520825704112,1,HFE,2.7845539581266268,2.5290371780255123,2,AFF1 HFE,-0.0,0.0,0,,3.8314147129489875,2.547856704580891,5,AFF1 APBB2 HFE PLAUR SORL1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,4.8336946899775795,3.0717038669060557,3,AFF1 HFE SORL1,C190,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C191,7.534561276549031,4.581346987014815,2,BACE1 SORL1,1.6044548216497312,2.402861276742507,1,ATP7A,3.4455494953351185,2.9206970876110763,2,BACE1 HFE,2.984215195984486,2.68324222784055,2,BACE1 HFE,1.9420633554802498,2.7107369302842157,1,ATP7A,3.9818131058661193,2.8355971354114926,5,APBB2 ATP7A BACE1 HFE SORL1,-0.0,0.0,0,,-0.0,0.0,0,,1.4610174020423636,1.7266369078525106,2,ATP7A BACE1,6.972012442863358,3.767310003229425,4,ATP7A BACE1 HFE SORL1,C191,1,1,0.125,0.125,0.0,0.75
C194,3.259523322628966,3.7184915996462413,1,SORL1,-0.0,0.0,0,,1.2748367858202707,2.0703375921416676,1,HFE,2.984215195984486,2.68324222784055,2,AFF1 HFE,-0.0,0.0,0,,2.9909318602460955,2.3241166724855002,4,AFF1 APBB2 HFE SORL1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,5.0577339727957185,3.254079814388339,3,AFF1 HFE SORL1,C194,0,1,0.0,0.125,0.0,0.875
C184,-0.0,0.0,0,,-0.0,0.0,0,,0.7887448218074253,1.4509736381166576,1,CLCN7,0.6152115935622116,1.2141407156847492,1,CLCN7,-0.0,0.0,0,,1.7579218163352401,1.4074757188006206,4,CLCN7 DNM2 EPHB3 FGFR3,1.9891092810372402,2.676583856752778,1,CLCN7,0.5345904415378265,1.0945841954746296,1,CLCN7,2.8996051539353322,1.9106343426260821,4,CLCN7 DNM2 EPHB3 FGFR3,0.6018800807712559,1.194837023017497,1,CLCN7,ephrin receptor signaling pathway,0,1,0.0,0.07142857142857142,0.0,0.9285714285714286
C186,2.615897716065271,3.1792283540001307,1,APOE,-0.0,0.0,0,,4.701023619018333,2.8181366918474975,3,APOE CP HFE,4.031876745066421,2.5800537018901615,3,APOE CP HFE,-0.0,0.0,0,,1.0489644744794104,1.1191975211448995,3,APOE CP HFE,2.076555200284247,2.756680018923186,1,APOE,1.9567180083413553,1.957015433259623,2,APOE CP,0.8374910154440594,1.1202195172558636,2,APOE NFKB1,3.9796133661917534,2.5606606507984573,3,APOE CP HFE,Post-translational protein phosphorylation,0,1,0.0,0.07692307692307693,0.0,0.9230769230769231
C210,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.6942673830633477,2.323041490583309,2,EPHB3 FGFR3,-0.0,0.0,0,,-0.0,0.0,0,,2.3240352651716076,2.8254744090659107,2,EPHB3 FGFR3,-0.0,0.0,0,,transmembrane receptor protein tyrosine kinase activity,0,1,0.0,0.25,0.0,0.75
