,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal synaptic vesicle recycling:-log(OR_p),abnormal synaptic vesicle recycling:log_OR,abnormal synaptic vesicle recycling:num_genes,abnormal synaptic vesicle recycling:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,abnormal nervous system electrophysiology:-log(OR_p),abnormal nervous system electrophysiology:log_OR,abnormal nervous system electrophysiology:num_genes,abnormal nervous system electrophysiology:gene_ids,abnormal synaptic vesicle morphology:-log(OR_p),abnormal synaptic vesicle morphology:log_OR,abnormal synaptic vesicle morphology:num_genes,abnormal synaptic vesicle morphology:gene_ids,abnormal synaptic vesicle number:-log(OR_p),abnormal synaptic vesicle number:log_OR,abnormal synaptic vesicle number:num_genes,abnormal synaptic vesicle number:gene_ids,abnormal neuron physiology:-log(OR_p),abnormal neuron physiology:log_OR,abnormal neuron physiology:num_genes,abnormal neuron physiology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C383,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.0489644744794104,1.1191975211448995,3,PEX11B RNF13 VAMP7,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.368782484166543,0.8259781139221634,1,PEX11B,C383,0,1,0.0,0.07692307692307693,0.0,0.9230769230769231
C419,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.3951320402014821,0.9360350007915148,1,TUBB4A,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.0690453247381124,1.9250311982335315,1,TUBB4A,C419,0,1,0.0,0.2,0.0,0.8
C392,2.518479959230338,2.098350864638226,3,GRIA2 NRGN TSPAN13,2.532145712946572,2.1052062983787785,3,GRIA2 NRGN TSPAN13,-0.0,0.0,0,,0.0866662034754491,0.24265435265331803,1,GRIA2,2.7149047825349344,2.1951502948825965,3,GRIA2 NRGN TSPAN13,-0.0,0.0,0,,1.1027505673570916,1.8658591046790267,1,GRIA2,-0.0,0.0,0,,-0.0,0.0,0,,0.6092780231629331,1.231663644139557,1,GRIA2,C392,1,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C371,16.521811135649866,2.5059708758189885,20,CCSAP DNAJC5 GRIA2 MAPT NBEA NELL2 NRGN NTRK2 RAB3A RAB6B SCAMP5 SCN9A SLC12A5 SLC1A2 SNAP25 SNAP91 STXBP1 SYN1 SYT1 UNC13A,15.29783075883968,2.4242720629984458,19,CCSAP DNAJC5 GRIA2 MAPT NBEA NELL2 NRGN NTRK2 RAB3A RAB6B SCAMP5 SCN9A SLC12A5 SNAP25 SNAP91 STXBP1 SYN1 SYT1 UNC13A,10.165699744006286,4.15779939979578,3,SNAP91 SYN1 UNC13A,9.128753592200997,1.8541158156030004,18,AATK ATL1 CEND1 DNAJC5 GLRB GPM6A GRIA2 KIF1A MAPT NBEA NEFM NTRK2 SLC12A5 SLC1A2 SNAP91 STXBP1 SYN1 UNC13A,13.66689139550052,2.3331790903035365,17,CCSAP GRIA2 MAPT NBEA NELL2 NRGN NTRK2 RAB3A RAB6B SCAMP5 SCN9A SLC12A5 SNAP25 SNAP91 SYN1 SYT1 UNC13A,16.91367022716905,3.405079733948236,8,MAPT NBEA SCAMP5 SLC12A5 SNAP25 SNAP91 SYT1 UNC13A,7.095032926305996,2.2175453530236933,7,GRIA2 NEFM SCAMP5 SCN9A SLC12A5 SLC1A2 SNAP91,9.721838917710633,3.436930035470075,4,KIF1A NBEA SNAP91 UNC13A,10.550816708622113,3.6126148552151047,4,KIF1A NBEA SNAP91 UNC13A,9.16052040923228,2.1391585381277647,11,AATK CEND1 GRIA2 KIF1A MAPT NEFM NTRK2 SNAP91 SYN1 SYT1 UNC13A,calcium-ion regulated exocytosis,2,1,0.0425531914893617,0.02127659574468085,0.0,0.9361702127659575
C410,0.5505551201242932,1.1802783160332666,1,KCNIP3,0.5548645451098926,1.187121824024418,1,KCNIP3,-0.0,0.0,0,,1.2221359400720981,1.6297775966712233,2,OCM STK38,0.6126706052621221,1.2769015819341263,1,KCNIP3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C410,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C448,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5385849367819804,1.2237754316221157,1,ATRN,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C448,0,1,0.0,0.25,0.0,0.75
C394,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.8821129646635595,1.812636561730847,3,PEX11B RNF13 VAMP7,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.6948968402565717,1.3652501347006751,1,PEX11B,C394,0,1,0.0,0.125,0.0,0.875
C433,0.8441595679343491,1.6912167684127137,1,THRB,0.8490730354928262,1.6980602318654157,1,THRB,-0.0,0.0,0,,1.6942673830633477,2.323041490583309,2,ATRN THRB,0.9147272087259011,1.7878394328479814,1,THRB,-0.0,0.0,0,,1.8606970039367674,2.8469592649608515,1,THRB,-0.0,0.0,0,,-0.0,0.0,0,,1.2559548124149347,2.2127683564814538,1,THRB,C433,0,1,0.0,0.25,0.0,0.75
C373,0.2129870315214565,0.30489734113412226,3,ATRX HIVEP1 THRB,0.2186762033198306,0.31175344423489193,3,ATRX HIVEP1 THRB,-0.0,0.0,0,,0.4009252973523949,0.4060382041876167,5,AFF1 ATRX MBNL1 NCOR1 THRB,0.297177237185485,0.4017058106523983,3,ATRX HIVEP1 THRB,-0.0,0.0,0,,0.11755131572158416,0.30608749999449714,1,THRB,-0.0,0.0,0,,-0.0,0.0,0,,0.1271449099294581,-0.3281353252272865,1,THRB,Transcriptional regulation of white adipocyte differentiation,0,6,0.0,0.15384615384615385,0.0,0.8461538461538461
C379,0.053196202348783944,0.15015101249487017,1,ATRX,0.05576371335180078,0.15699472103345435,1,ATRX,-0.0,0.0,0,,0.11961214200446789,-0.31731173888213604,1,ATRX,0.0906283713171377,0.24677698666695314,1,ATRX,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C379,0,1,0.0,0.06666666666666667,0.0,0.9333333333333333
C412,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.28790728037525143,0.7128330876925837,1,DLG5,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C412,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C439,-0.0,0.0,0,,-0.0,0.0,0,,5.827776994010121,5.6516382069165845,1,DNAJC6,0.5385849367819804,1.2237754316221157,1,DNAJC6,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,4.222051313921962,4.663172562486512,1,DNAJC6,4.4802928372377115,4.829166706753739,1,DNAJC6,1.2559548124149347,2.2127683564814538,1,DNAJC6,C439,0,0,0.0,0.0,0.25,0.75
C375,0.9982435836662794,0.8816903903469591,4,SLC18A3 SNAP91 STON2 SYT2,1.0097034431565333,0.8885522606343059,4,SLC18A3 SNAP91 STON2 SYT2,16.92663052978787,4.986033645529677,4,AMPH DNAJC6 SNAP91 STON2,1.3111814239708108,0.8969673210786873,6,DNAJC6 DNM2 EPS15L1 SNAP91 STON2 SYNJ2,0.11226539610141147,0.21184967845423053,2,SNAP91 SYT2,2.6875825879948354,2.2694253115019354,2,SNAP91 SYT2,2.3106977557935298,1.7162420535711007,3,DNM2 PACSIN2 SNAP91,11.803894523122777,3.90314775784147,4,DNAJC6 EPS15L1 SNAP91 STON2,12.687195357275165,4.0788321670892715,4,DNAJC6 EPS15L1 SNAP91 STON2,3.1770597598088512,1.6675149025131102,5,AMPH DNAJC6 EPS15L1 SNAP91 STON2,Clathrin-mediated endocytosis,0,0,0.0,0.0,0.03225806451612903,0.967741935483871
C384,0.1920206170342886,0.4868490082320651,1,THRB,0.19518457551701004,0.4936926276133118,1,THRB,-0.0,0.0,0,,0.5297191797629537,0.8185555374643503,2,NCOR1 THRB,0.23794047048680014,0.5834737783893154,1,THRB,-0.0,0.0,0,,0.9289074671580215,1.6426071699040268,1,THRB,-0.0,0.0,0,,-0.0,0.0,0,,0.4728162734748843,1.0084098878439711,1,THRB,Transcriptional regulation of white adipocyte differentiation,0,3,0.0,0.2727272727272727,0.0,0.7272727272727273
C452,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C452,0,1,0.0,0.25,0.0,0.75
C458,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5385849367819804,1.2237754316221157,1,AFF1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C458,0,1,0.0,0.25,0.0,0.75
C446,0.8441595679343491,1.6912167684127137,1,HIVEP1,0.8490730354928262,1.6980602318654157,1,HIVEP1,-0.0,0.0,0,,-0.0,0.0,0,,0.9147272087259011,1.7878394328479814,1,HIVEP1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C446,0,1,0.0,0.25,0.0,0.75
C377,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.1277567481411621,0.8886360141102045,5,CERS1 CERS2 IGSF3 PLD2 SLC19A2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.03211397231825146,0.09129223125553132,1,CERS1,Glycerophospholipid metabolism,0,2,0.0,0.07692307692307693,0.0,0.9230769230769231
C432,0.8441595679343491,1.6912167684127137,1,KCNIP3,0.8490730354928262,1.6980602318654157,1,KCNIP3,-0.0,0.0,0,,0.5385849367819804,1.2237754316221157,1,OCM,0.9147272087259011,1.7878394328479814,1,KCNIP3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C432,0,1,0.0,0.25,0.0,0.75
C416,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.4466731956116547,1.917518027501825,2,IGSF3 SLC19A2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C416,0,1,0.0,0.2,0.0,0.8
C385,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.006453053755666068,0.01939404710663517,1,PLD2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Glycerophospholipid metabolism,0,1,0.0,0.09090909090909091,0.0,0.9090909090909091
C403,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C403,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C387,0.2408078759067303,0.592265955706166,1,PCGF3,0.2441577820447463,0.5991095528043644,1,PCGF3,-0.0,0.0,0,,0.6262119454665809,0.9363969485330266,2,AUTS2 RERE,0.289366405216782,0.688890424944411,1,PCGF3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5361025999216749,1.1138255075106258,1,AUTS2,C387,1,2,0.1,0.2,0.0,0.7
C418,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C418,0,1,0.0,0.2,0.0,0.8
C399,0.4488530827411688,0.997900340158365,1,DNAJC5,0.4528857605849056,1.004743870422507,1,DNAJC5,5.17500152942897,4.958331388202781,1,DNAJC6,1.0320752828352369,1.406575683572294,2,DNAJC5 DNAJC6,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.579421954105419,3.969865428845795,1,DNAJC6,3.833538446021915,4.135859649831174,1,DNAJC6,0.796467885546577,1.519455909428915,1,DNAJC6,C399,0,0,0.0,0.0,0.14285714285714285,0.8571428571428572
C398,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.20519836781428574,0.5304531657076126,1,RNF13,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C398,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C401,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Transcriptional regulation of white adipocyte differentiation,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C444,0.8441595679343491,1.6912167684127137,1,SYNJ1,0.8490730354928262,1.6980602318654157,1,SYNJ1,-0.0,0.0,0,,-0.0,0.0,0,,0.9147272087259011,1.7878394328479814,1,SYNJ1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C444,0,0,0.0,0.0,0.25,0.75
C406,0.5505551201242932,1.1802783160332666,1,ITPKA,0.5548645451098926,1.187121824024418,1,ITPKA,-0.0,0.0,0,,-0.0,0.0,0,,0.6126706052621221,1.2769015819341263,1,ITPKA,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Inositol phosphate metabolism,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C426,0.8441595679343491,1.6912167684127137,1,TSPAN13,0.8490730354928262,1.6980602318654157,1,TSPAN13,-0.0,0.0,0,,-0.0,0.0,0,,0.9147272087259011,1.7878394328479814,1,TSPAN13,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C426,1,0,0.25,0.0,0.0,0.75
C423,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C423,0,1,0.0,0.2,0.0,0.8
C447,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5385849367819804,1.2237754316221157,1,DLG5,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C447,0,1,0.0,0.25,0.0,0.75
