,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal synaptic vesicle recycling:-log(OR_p),abnormal synaptic vesicle recycling:log_OR,abnormal synaptic vesicle recycling:num_genes,abnormal synaptic vesicle recycling:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,abnormal nervous system electrophysiology:-log(OR_p),abnormal nervous system electrophysiology:log_OR,abnormal nervous system electrophysiology:num_genes,abnormal nervous system electrophysiology:gene_ids,abnormal synaptic vesicle morphology:-log(OR_p),abnormal synaptic vesicle morphology:log_OR,abnormal synaptic vesicle morphology:num_genes,abnormal synaptic vesicle morphology:gene_ids,abnormal synaptic vesicle number:-log(OR_p),abnormal synaptic vesicle number:log_OR,abnormal synaptic vesicle number:num_genes,abnormal synaptic vesicle number:gene_ids,abnormal neuron physiology:-log(OR_p),abnormal neuron physiology:log_OR,abnormal neuron physiology:num_genes,abnormal neuron physiology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C413,2.044949651096076,2.385282644489732,2,CLCN3 NSF,2.0544731539165912,2.3921320541925795,2,CLCN3 NSF,-0.0,0.0,0,,1.4466731956116547,1.917518027501825,2,CLCN3 NSF,2.1814715997962058,2.4819931560193282,2,CLCN3 NSF,-0.0,0.0,0,,-0.0,0.0,0,,3.9938645523295904,4.375437175183866,1,CLCN3,-0.0,0.0,0,,-0.0,0.0,0,,C413,0,1,0.0,0.2,0.0,0.8
C386,2.1220093038808905,1.810555944474313,3,ITPKA ITPR1 SYNJ1,2.135096891522018,1.817411422768389,3,ITPKA ITPR1 SYNJ1,-0.0,0.0,0,,-0.0,0.0,0,,2.310548379091855,1.9073559763873718,3,ITPKA ITPR1 SYNJ1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Inositol phosphate metabolism,0,1,0.0,0.09090909090909091,0.09090909090909091,0.8181818181818181
C367,0.02440581618532211,0.023653401173469035,9,ATRX CHD8 CLCN3 HIVEP1 LRSAM1 PCGF3 RALBP1 TBCK THRB,0.03176758799556824,0.03054788582012158,9,ATRX CHD8 CLCN3 HIVEP1 LRSAM1 PCGF3 RALBP1 TBCK THRB,-0.0,0.0,0,,2.0954073183341144,0.6038711612621448,23,AFF1 ATP2B1 ATRN ATRX AUTS2 CERS1 CERS2 CLCN3 DLG5 IGSF3 LRSAM1 MBNL1 NCOR1 PEX11B PEX5 PLD2 RERE RNF13 SLC19A2 TANC1 THRB TTC8 VAMP7,0.13912089843249698,0.12102604443942688,9,ATRX CHD8 CLCN3 HIVEP1 LRSAM1 PCGF3 RALBP1 TBCK THRB,-0.0,0.0,0,,0.023019348303092154,0.037914662388184084,3,CHD8 LRSAM1 THRB,0.3310617027613177,0.7365833329205831,1,CLCN3,-0.0,0.0,0,,0.3290021089181025,0.28180909911211316,7,AUTS2 CERS1 CHD8 PEX11B SARM1 THRB TMEM94,Transcriptional regulation of white adipocyte differentiation,2,15,0.013157894736842105,0.09868421052631579,0.0,0.8881578947368421
C370,2.4765582618088287,1.1358471865273234,8,AAK1 DNM1 SH3GL2 SLC18A3 SNAP91 STON2 SYT2 UNC80,2.501440259070439,1.1427333756142684,8,AAK1 DNM1 SH3GL2 SLC18A3 SNAP91 STON2 SYT2 UNC80,23.088824142748507,5.0134655098535,6,AMPH DNAJC6 DNM1 SH3GL2 SNAP91 STON2,3.390431792065668,1.1742327867128335,12,DNAJC6 DNM1 DNM2 EPS15L1 HGS PEX11B SH3GL2 SNAP91 STAM STON2 SYNJ2 VAMP7,0.8425150644895345,0.6908999886030394,5,AAK1 DNM1 SH3GL2 SNAP91 SYT2,5.7102337425289695,2.5154670801614483,4,DNM1 SH3GL2 SNAP91 SYT2,3.6730142920321174,1.7573367958260917,5,DNM1 DNM2 PACSIN2 SNAP91 UNC80,16.553955930798903,3.855719840731626,6,DNAJC6 DNM1 EPS15L1 SH3GL2 SNAP91 STON2,17.778646924379775,4.038522153924894,6,DNAJC6 DNM1 EPS15L1 SH3GL2 SNAP91 STON2,4.737638928207988,1.6616322910903936,8,AMPH DNAJC6 DNM1 EPS15L1 PEX11B SH3GL2 SNAP91 STON2,Clathrin-mediated endocytosis,0,3,0.0,0.06,0.02,0.92
C382,0.11349447871422097,0.30441457825101637,1,DNAJC5,0.11633447798448045,0.31125824220590026,1,DNAJC5,4.224233320584112,4.264864854861754,1,DNAJC6,0.3748338950038642,0.6177680809535531,2,DNAJC5 DNAJC6,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.7477626846224332,3.2763982653488757,1,DNAJC6,2.9793900542248988,3.4423926398441953,1,DNAJC6,0.368782484166543,0.8259781139221634,1,DNAJC6,C382,0,1,0.0,0.07692307692307693,0.07692307692307693,0.8461538461538461
C369,0.4030981617474566,0.363009300081103,6,ATRX CHD8 CLCN3 HIVEP1 RALBP1 THRB,0.4129669104472421,0.3698840575122091,6,ATRX CHD8 CLCN3 HIVEP1 RALBP1 THRB,-0.0,0.0,0,,1.5112070806169888,0.6832801489683131,12,AFF1 ATP2B1 ATRN ATRX CLCN3 DLG5 MBNL1 NCOR1 PEX11B RNF13 THRB VAMP7,0.5506707753403837,0.4600925157880713,6,ATRX CHD8 CLCN3 HIVEP1 RALBP1 THRB,-0.0,0.0,0,,0.2108246348275606,0.3611126482902254,2,CHD8 THRB,0.8288601422146362,1.4675864888681431,1,CLCN3,-0.0,0.0,0,,0.09472755180197748,0.14658601390674875,3,CHD8 PEX11B THRB,Transcriptional regulation of white adipocyte differentiation,0,10,0.0,0.13513513513513514,0.0,0.8648648648648649
C402,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.20519836781428574,0.5304531657076126,1,ATRN,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C402,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C436,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C436,0,1,0.0,0.25,0.0,0.75
C374,0.06592900259201231,-0.12894279938716302,2,LRSAM1 RALBP1,0.06219879715980784,-0.12209263116156777,2,LRSAM1 RALBP1,-0.0,0.0,0,,0.7854585956845189,0.6188680216431361,6,CERS1 CERS2 IGSF3 LRSAM1 PLD2 SLC19A2,0.01563783180672766,-0.0322220444988659,2,LRSAM1 RALBP1,-0.0,0.0,0,,0.11755131572158416,0.30608749999449714,1,LRSAM1,-0.0,0.0,0,,-0.0,0.0,0,,0.2301887689010607,0.39324700766100484,2,CERS1 SARM1,Glycerophospholipid metabolism,0,2,0.0,0.05128205128205128,0.0,0.9487179487179487
C378,0.2910773471209564,0.48720321036694614,2,CHD8 PCGF3,0.29612858012843957,0.4940529989671827,2,CHD8 PCGF3,-0.0,0.0,0,,0.35342950840303833,0.47681807217025174,3,AUTS2 DLG5 RERE,0.3650007256263892,0.583918838672659,2,CHD8 PCGF3,-0.0,0.0,0,,0.4203945258857533,0.9000735060720562,1,CHD8,-0.0,0.0,0,,-0.0,0.0,0,,0.7591631198379307,1.0093703967716916,2,AUTS2 CHD8,C378,1,2,0.045454545454545456,0.09090909090909091,0.0,0.8636363636363636
