"","shared_name","comparison","d2_name","d1_seeds","d2_seeds","z_both","AD_lyso_seed_both","AD_lyso_seed_AD","AD_lyso_seed_lyso","AD_lyso_noseed","DLB_lyso_seed_both","DLB_lyso_seed_AD","DLB_lyso_seed_lyso","DLB_lyso_noseed"
"48","SLC35A1","CD_1A_lyso_AD","AD",0,0,3.43546210821206,0,0,0,1,0,0,0,0
"49","GMIP","CD_1A_lyso_AD","AD",0,0,3.43814562636808,0,0,0,1,0,0,0,0
"50","ABCA2","CD_1A_lyso_AD","AD",0,0,3.45277746037592,0,0,0,1,0,0,0,0
"51","LMBR1L","CD_1A_lyso_DLB","DLB",0,0,3.46009151755361,0,0,0,0,0,0,0,1
"52","COTL1","CD_1A_lyso_AD","AD",0,0,3.46110373981382,0,0,0,1,0,0,0,0
"53","DERL1","CD_1A_lyso_DLB","DLB",0,0,3.4663017717384,0,0,0,0,0,0,0,1
"54","AIF1","CD_1A_lyso_DLB","DLB",0,0,3.47540889253109,0,0,0,0,0,0,0,1
"55","PLIN2","CD_1A_lyso_DLB","DLB",0,0,3.4817434324791,0,0,0,0,0,0,0,1
"56","ATP1B1","CD_1A_lyso_AD","AD",0,0,3.48220213946085,0,0,0,1,0,0,0,0
"57","NDFIP1","CD_1A_lyso_DLB","DLB",0,0,3.4854530305224,0,0,0,0,0,0,0,1
"58","HNMT","CD_1A_lyso_DLB","DLB",0,0,3.51748252290441,0,0,0,0,0,0,0,1
"59","CEBPD","CD_1A_lyso_DLB","DLB",0,0,3.5185333098161,0,0,0,0,0,0,0,1
"60","B4GALT2","CD_1A_lyso_AD","AD",0,0,3.52769663993977,0,0,0,1,0,0,0,0
"61","FXYD5","CD_1A_lyso_AD","AD",0,0,3.54530002744523,0,0,0,1,0,0,0,0
"62","CD74","CD_1A_lyso_DLB","DLB",0,0,3.55888078464513,0,0,0,0,0,0,0,1
"63","ATP7A","CD_1A_lyso_AD","AD",0,0,3.56343445380655,0,0,0,1,0,0,0,0
"64","LGALS9","CD_1A_lyso_DLB","DLB",0,0,3.56532541666042,0,0,0,0,0,0,0,1
"65","MPST","CD_1A_lyso_DLB","DLB",0,0,3.57337752849189,0,0,0,0,0,0,0,1
"66","HLA-DRB1","CD_1A_lyso_DLB","DLB",0,0,3.58950551228515,0,0,0,0,0,0,0,1
"67","HOOK1","CD_1A_lyso_DLB","DLB",0,0,3.59763255177248,0,0,0,0,0,0,0,1
"68","TFEC","CD_1A_lyso_AD","AD",0,0,3.6034806433219,0,0,0,1,0,0,0,0
"69","CD55","CD_1A_lyso_AD","AD",0,0,3.60635381450588,0,0,0,1,0,0,0,0
"70","METTL7A","CD_1A_lyso_AD","AD",0,0,3.60736809062551,0,0,0,1,0,0,0,0
"71","TGM2","CD_1A_lyso_AD","AD",0,0,3.60848623026151,0,0,0,1,0,0,0,0
"72","REL","CD_1A_lyso_AD","AD",0,0,3.61813424482523,0,0,0,1,0,0,0,0
"73","JPH1","CD_1A_lyso_AD","AD",0,0,3.62613021935584,0,0,0,1,0,0,0,0
"74","SLC3A1","CD_1A_lyso_DLB","DLB",0,0,3.63776507803205,0,0,0,0,0,0,0,1
"75","PSAPL1","CD_1A_lyso_DLB","DLB",0,0,3.64549306994244,0,0,0,0,0,0,0,1
"76","FNDC3A","CD_1A_lyso_AD","AD",0,0,3.65012089646548,0,0,0,1,0,0,0,0
"77","B4GALT4","CD_1A_lyso_AD","AD",0,0,3.65181051363702,0,0,0,1,0,0,0,0
"78","CAT","CD_1A_lyso_DLB","DLB",0,0,3.65332517327684,0,0,0,0,0,0,0,1
"79","AP2S1","CD_1A_lyso_DLB","DLB",0,0,3.65539684598891,0,0,0,0,0,0,0,1
"80","HSPA5","CD_1A_lyso_DLB","DLB",0,0,3.66764906513063,0,0,0,0,0,0,0,1
"81","TFRC","CD_1A_lyso_DLB","DLB",0,0,3.67143012566685,0,0,0,0,0,0,0,1
"82","DYSF","CD_1A_lyso_DLB","DLB",0,0,3.67172653691003,0,0,0,0,0,0,0,1
"83","CLIP1","CD_1A_lyso_AD","AD",0,0,3.67332045469824,0,0,0,1,0,0,0,0
"84","DHRS3","CD_1A_lyso_AD","AD",0,0,3.68830273104575,0,0,0,1,0,0,0,0
"85","GCH1","CD_1A_lyso_DLB","DLB",0,0,3.70408386339569,0,0,0,0,0,0,0,1
"86","IGDCC4","CD_1A_lyso_DLB","DLB",0,0,3.71789809058659,0,0,0,0,0,0,0,1
"87","RFNG","CD_1A_lyso_DLB","DLB",0,0,3.72199502964992,0,0,0,0,0,0,0,1
"88","CLEC10A","CD_1A_lyso_AD","AD",0,0,3.73234031444726,0,0,0,1,0,0,0,0
"89","PEPD","CD_1A_lyso_DLB","DLB",0,0,3.73475307076205,0,0,0,0,0,0,0,1
"90","SH3BGRL","CD_1A_lyso_AD","AD",0,0,3.76091289061235,0,0,0,1,0,0,0,0
"91","RGL1","CD_1A_lyso_AD","AD",0,0,3.7840264618818,0,0,0,1,0,0,0,0
"92","STX4","CD_1A_lyso_DLB","DLB",0,0,3.80088785897447,0,0,0,0,0,0,0,1
"93","TFPI","CD_1A_lyso_DLB","DLB",0,0,3.80511704071782,0,0,0,0,0,0,0,1
"94","PKD1L3","CD_1A_lyso_DLB","DLB",0,0,3.80735175836623,0,0,0,0,0,0,0,1
"95","OR2T6","CD_1A_lyso_DLB","DLB",0,0,3.81101026485118,0,0,0,0,0,0,0,1
"96","NPEPL1","CD_1A_lyso_DLB","DLB",0,0,3.81142608425903,0,0,0,0,0,0,0,1
"97","SPATA31A7","CD_1A_lyso_DLB","DLB",0,0,3.81497126082982,0,0,0,0,0,0,0,1
"98","CTSW","CD_1A_lyso_AD","AD",0,0,3.82800823502223,0,0,0,1,0,0,0,0
"99","C1QB","CD_1A_lyso_AD","AD",0,0,3.82960508077634,0,0,0,1,0,0,0,0
"100","WRAP53","CD_1A_lyso_AD","AD",0,0,3.84148683025991,0,0,0,1,0,0,0,0
"101","SMIM11B","CD_1A_lyso_DLB","DLB",0,0,3.84658247661244,0,0,0,0,0,0,0,1
"102","PILRA","CD_1A_lyso_DLB","DLB",0,0,3.84780263331236,0,0,0,0,0,0,0,1
"103","PLPPR2","CD_1A_lyso_DLB","DLB",0,0,3.84932540278854,0,0,0,0,0,0,0,1
"104","ETFA","CD_1A_lyso_AD","AD",0,0,3.85611162684059,0,0,0,1,0,0,0,0
"105","SECTM1","CD_1A_lyso_AD","AD",0,0,3.85978846089727,0,0,0,1,0,0,0,0
"106","APBB3","CD_1A_lyso_AD","AD",0,0,3.86321225579042,0,0,0,1,0,0,0,0
"107","CAPNS1","CD_1A_lyso_DLB","DLB",0,0,3.8792060629033,0,0,0,0,0,0,0,1
"108","GGT5","CD_1A_lyso_DLB","DLB",0,0,3.88285721703637,0,0,0,0,0,0,0,1
"109","NECAP2","CD_1A_lyso_AD","AD",0,0,3.88783034748679,0,0,0,1,0,0,0,0
"110","KIR2DS4","CD_1A_lyso_DLB","DLB",0,0,3.90611851253619,0,0,0,0,0,0,0,1
"111","TMEM120A","CD_1A_lyso_AD","AD",0,0,3.9362327643007,0,0,0,1,0,0,0,0
"112","PICALM","CD_1A_lyso_DLB","DLB",0,0,3.94556749495565,0,0,0,0,0,0,0,1
"113","DNM2","CD_1A_lyso_DLB","DLB",0,0,3.94847886827543,0,0,0,0,0,0,0,1
"114","TFAP2A","CD_1A_lyso_DLB","DLB",0,0,3.95053023259577,0,0,0,0,0,0,0,1
"115","GIT2","CD_1A_lyso_AD","AD",0,0,3.95258203231365,0,0,0,1,0,0,0,0
"116","EPHX1","CD_1A_lyso_DLB","DLB",0,0,3.95336788871375,0,0,0,0,0,0,0,1
"117","CTDSP1","CD_1A_lyso_DLB","DLB",0,0,3.95969094296148,0,0,0,0,0,0,0,1
"118","CPVL","CD_1A_lyso_DLB","DLB",0,0,3.96050734066104,0,0,0,0,0,0,0,1
"119","CD99","CD_1A_lyso_AD","AD",0,0,3.96422342513117,0,0,0,1,0,0,0,0
"120","ADD3","CD_1A_lyso_AD","AD",0,0,3.97682492834624,0,0,0,1,0,0,0,0
"121","CASP3","CD_1A_lyso_AD","AD",0,0,3.97693228506453,0,0,0,1,0,0,0,0
"122","RAB31","CD_1A_lyso_AD","AD",0,0,3.97723747993224,0,0,0,1,0,0,0,0
"123","SYNGR2","CD_1A_lyso_AD","AD",0,0,3.98115149434325,0,0,0,1,0,0,0,0
"124","CD81","CD_1A_lyso_DLB","DLB",0,0,3.98162259822724,0,0,0,0,0,0,0,1
"125","IGFBP7","CD_1A_lyso_DLB","DLB",0,0,4.00015983916414,0,0,0,0,0,0,0,1
"126","OR8D2","CD_1A_lyso_DLB","DLB",0,0,4.00288815209507,0,0,0,0,0,0,0,1
"127","TNFRSF14","CD_1A_lyso_DLB","DLB",0,0,4.0120116791434,0,0,0,0,0,0,0,1
"128","MITF","CD_1A_lyso_DLB","DLB",0,0,4.01277244068794,0,0,0,0,0,0,0,1
"129","HLA-A","CD_1A_lyso_DLB","DLB",0,0,4.02000802156366,0,0,0,0,0,0,0,1
"130","GAMT","CD_1A_lyso_DLB","DLB",0,0,4.02959041354624,0,0,0,0,0,0,0,1
"131","PSD4","CD_1A_lyso_AD","AD",0,0,4.03539432744493,0,0,0,1,0,0,0,0
"132","TBC1D12","CD_1A_lyso_AD","AD",0,0,4.0391744226126,0,0,0,1,0,0,0,0
"133","ZNF276","CD_1A_lyso_DLB","DLB",0,0,4.04358856621067,0,0,0,0,0,0,0,1
"134","ATP6AP1L","CD_1A_lyso_AD","AD",0,0,4.04462124285889,0,0,0,1,0,0,0,0
"135","METTL7A","CD_1A_lyso_DLB","DLB",0,0,4.04623121414656,0,0,0,0,0,0,0,1
"136","TMEM115","CD_1A_lyso_AD","AD",0,0,4.04643871732593,0,0,0,1,0,0,0,0
"137","STARD4","CD_1A_lyso_AD","AD",0,0,4.04986630408138,0,0,0,1,0,0,0,0
"138","TNFRSF1A","CD_1A_lyso_AD","AD",0,0,4.05391557718402,0,0,0,1,0,0,0,0
"139","TLR1","CD_1A_lyso_AD","AD",0,0,4.05499780978805,0,0,0,1,0,0,0,0
"140","HLA-DPB1","CD_1A_lyso_AD","AD",0,0,4.08568228939583,0,0,0,1,0,0,0,0
"141","PRKCH","CD_1A_lyso_AD","AD",0,0,4.08695757812244,0,0,0,1,0,0,0,0
"142","SREBF1","CD_1A_lyso_DLB","DLB",0,0,4.09166225742047,0,0,0,0,0,0,0,1
"143","MAN1B1","CD_1A_lyso_DLB","DLB",0,0,4.09338330716887,0,0,0,0,0,0,0,1
"144","MYMK","CD_1A_lyso_AD","AD",0,0,4.09694582265127,0,0,0,1,0,0,0,0
"145","AGAP11","CD_1A_lyso_DLB","DLB",0,0,4.1032064418864,0,0,0,0,0,0,0,1
"146","RASSF7","CD_1A_lyso_AD","AD",0,0,4.11518117069996,0,0,0,1,0,0,0,0
"147","ATP6V1C1","CD_1A_lyso_AD","AD",0,0,4.12309449230356,0,0,0,1,0,0,0,0
"148","SERAC1","CD_1A_lyso_DLB","DLB",0,0,4.12746703391413,0,0,0,0,0,0,0,1
"149","PMM1","CD_1A_lyso_AD","AD",0,0,4.12841375075795,0,0,0,1,0,0,0,0
"150","SLC7A7","CD_1A_lyso_DLB","DLB",0,0,4.13372919091166,0,0,0,0,0,0,0,1
"151","CEBPB","CD_1A_lyso_AD","AD",0,0,4.14740486347099,0,0,0,1,0,0,0,0
"152","VAMP2","CD_1A_lyso_DLB","DLB",0,0,4.1588655826249,0,0,0,0,0,0,0,1
"153","PLEKHO2","CD_1A_lyso_AD","AD",0,0,4.16204219134507,0,0,0,1,0,0,0,0
"154","PTGDS","CD_1A_lyso_DLB","DLB",0,0,4.1863878351701,0,0,0,0,0,0,0,1
"155","LGALS9","CD_1A_lyso_AD","AD",0,0,4.18937154141575,0,0,0,1,0,0,0,0
"156","TMEM94","CD_1A_lyso_DLB","DLB",0,0,4.21139468526797,0,0,0,0,0,0,0,1
"157","ATP5F1B","CD_1A_lyso_DLB","DLB",0,0,4.21373892798473,0,0,0,0,0,0,0,1
