,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,abnormal nervous system electrophysiology:-log(OR_p),abnormal nervous system electrophysiology:log_OR,abnormal nervous system electrophysiology:num_genes,abnormal nervous system electrophysiology:gene_ids,abnormal excitatory postsynaptic currents:-log(OR_p),abnormal excitatory postsynaptic currents:log_OR,abnormal excitatory postsynaptic currents:num_genes,abnormal excitatory postsynaptic currents:gene_ids,abnormal neuron physiology:-log(OR_p),abnormal neuron physiology:log_OR,abnormal neuron physiology:num_genes,abnormal neuron physiology:gene_ids,abnormal synaptic vesicle recycling:-log(OR_p),abnormal synaptic vesicle recycling:log_OR,abnormal synaptic vesicle recycling:num_genes,abnormal synaptic vesicle recycling:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C264,14.940905280262283,2.2540609058462824,15,DNM1 GRIA1 MAPT NBEA SCAMP5 SH3GL2 SLC12A5 SLC9A9 SNAP25 SNAP91 SNCA SYT1 TSPAN7 UNC13A VAMP2,13.979549952616331,1.1578933367399316,60,APBB2 ASTN1 ATG7 ATL1 ATP1B2 ATRN ATXN7 CEND1 CHCHD10 CHN1 CHRNA7 CLCN6 DGKB DNM1 DNM2 ELAVL4 FIG4 GABBR2 GPR158 GRIA1 GRIA2 HTRA2 KCNB1 KCND2 KCNJ10 KCNJ6 KIF1A KLC1 LGI3 LYST MAPT MEGF8 MFN2 NBEA NEFM NTRK2 OLIG1 PEX10 PIK3R4 PSD2 PTPRS RETREG1 SEZ6 SH3GL2 SLC12A5 SLC1A2 SLC44A2 SLC6A8 SNAP91 SNCA SOD1 SQSTM1 STUB1 STXBP1 SYN1 TSPAN7 TUBB2B UNC13A VAMP2 WDR45,11.988244298157028,1.2124099177224625,43,ATXN7 CCSAP CHRNA7 DGKB DNM1 GABBR2 GPR158 GRIA1 GRIA2 GRIK5 KCNA1 KCNA2 KCND2 KCNJ10 KCNJ6 KIF13A LYST MAPT NBEA NELL2 NRGN NTRK2 OLIG1 PEX10 RAB3A RAB6B SCAMP5 SEZ6 SH3GL2 SLC12A5 SLC1A2 SLC9A9 SNAP25 SNAP91 SNCA STXBP1 SYN1 SYP SYT1 TSPAN7 UNC13A VAMP2 WBP1L,11.384410149807163,1.1903070347670468,42,ATXN7 CCSAP CHRNA7 DGKB DNM1 GABBR2 GPR158 GRIA1 GRIA2 GRIK5 KCNA1 KCNA2 KCND2 KCNJ10 KCNJ6 KIF13A LYST MAPT NBEA NELL2 NRGN NTRK2 OLIG1 PEX10 RAB3A RAB6B SCAMP5 SEZ6 SH3GL2 SLC12A5 SLC9A9 SNAP25 SNAP91 SNCA STXBP1 SYN1 SYP SYT1 TSPAN7 UNC13A VAMP2 WBP1L,10.789179442060012,1.1923604995156012,39,ATXN7 CCSAP CHRNA7 DGKB DNM1 GABBR2 GPR158 GRIA1 GRIA2 GRIK5 KCNA1 KCNA2 KCNJ10 KCNJ6 KIF13A LYST MAPT NBEA NELL2 NRGN NTRK2 OLIG1 RAB3A RAB6B SCAMP5 SEZ6 SH3GL2 SLC12A5 SLC9A9 SNAP25 SNAP91 SNCA SYN1 SYP SYT1 TSPAN7 UNC13A VAMP2 WBP1L,9.620259512301454,1.5151757938127002,20,CHN1 DNM1 DNM2 FIG4 GABBR2 GRIA2 HTRA2 KCNA1 KCNA2 KCNC2 KCNJ10 KCNJ6 KCNQ3 NEFM SCAMP5 SLC12A5 SLC1A2 SLC9A9 SNAP91 TSPAN7,9.477058619750407,1.9380118042838639,12,GABBR2 GPR158 GRIA2 GRIK5 KCNJ10 NBEA SCAMP5 SEZ6 SH3GL2 SNAP91 SYT1 UNC13A,8.883482615837622,1.2389765232090362,28,ASTN1 CEND1 CHRNA7 DNM1 ELAVL4 GRIA2 HTRA2 KCNQ3 KIF1A KLC1 MAPT MFN2 NEFM NOVA1 NTRK2 PIK3R4 PTPRS SH3GL2 SLC4A10 SLC6A8 SLC9A9 SNAP91 SNCA SOD1 SYN1 SYT1 TUBB2B UNC13A,8.499611817097806,3.0175925569502047,5,DNM1 SH3GL2 SNAP91 SYN1 UNC13A,8.32987610358536,1.4699219543142767,18,ATG7 ATRN ATXN7 ERCC2 FIG4 GRIA2 HTRA2 KCNA1 KCNJ10 KCNQ3 LYST MAPT NTRK2 OLIG1 SLC6A8 SNCA SOD1 WDR45,CD_4_notcateg-FTLD systems map,7,4,0.027237354085603113,0.01556420233463035,0.0038910505836575876,0.9533073929961089
C328,-0.0,0.0,0,,0.5385849367819804,1.2237754316221157,1,CHCHD10,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C328,0,1,0.0,0.25,0.0,0.75
C265,0.6912865096893066,0.913763373230438,2,SLC9A9 TSPAN7,1.9431712189682813,0.6531399284606376,18,APBB2 ATG7 ATRN ATXN7 FIG4 HTRA2 KLC1 LYST MEGF8 PIK3R4 PTPRS RETREG1 SEZ6 SLC44A2 SLC6A8 SQSTM1 TSPAN7 WDR45,0.09226458679678733,-0.10188153946908152,6,ATXN7 LYST SEZ6 SLC9A9 TSPAN7 WBP1L,0.08549990514888947,-0.09500588276681121,6,ATXN7 LYST SEZ6 SLC9A9 TSPAN7 WBP1L,0.003960079569375822,-0.004786179918440325,6,ATXN7 LYST SEZ6 SLC9A9 TSPAN7 WBP1L,0.6666499743807051,0.6340109215628527,4,FIG4 HTRA2 SLC9A9 TSPAN7,0.05579309546635618,0.15288565752067207,1,SEZ6,0.5008417083840886,0.42278978418347357,6,HTRA2 KLC1 PIK3R4 PTPRS SLC6A8 SLC9A9,-0.0,0.0,0,,4.024944276547952,1.4481234621107397,8,ATG7 ATRN ATXN7 FIG4 HTRA2 LYST SLC6A8 WDR45,Autophagy - animal,2,1,0.017543859649122806,0.008771929824561403,0.008771929824561403,0.9649122807017544
C266,24.399849065336802,3.109243879457825,14,DNM1 GRIA1 MAPT NBEA SCAMP5 SH3GL2 SLC12A5 SNAP25 SNAP91 SNCA SYT1 TSPAN7 UNC13A VAMP2,19.29285406026335,1.8220918570772904,41,APBB2 ASTN1 ATL1 ATP1B2 CEND1 CHN1 CHRNA7 CLCN6 DGKB DNM1 DNM2 ELAVL4 GABBR2 GPR158 GRIA1 GRIA2 KCNB1 KCND2 KCNJ10 KCNJ6 KIF1A KLC1 LGI3 MAPT MFN2 NBEA NEFM NTRK2 OLIG1 PSD2 SH3GL2 SLC12A5 SLC1A2 SNAP91 SNCA STXBP1 SYN1 TSPAN7 TUBB2B UNC13A VAMP2,23.70684030435193,2.097937064087205,36,CCSAP CHRNA7 DGKB DNM1 GABBR2 GPR158 GRIA1 GRIA2 GRIK5 KCNA1 KCNA2 KCND2 KCNJ10 KCNJ6 MAPT NBEA NELL2 NRGN NTRK2 OLIG1 RAB3A RAB6B SCAMP5 SH3GL2 SLC12A5 SLC1A2 SNAP25 SNAP91 SNCA STXBP1 SYN1 SYP SYT1 TSPAN7 UNC13A VAMP2,22.62235340938884,2.0623918011008637,35,CCSAP CHRNA7 DGKB DNM1 GABBR2 GPR158 GRIA1 GRIA2 GRIK5 KCNA1 KCNA2 KCND2 KCNJ10 KCNJ6 MAPT NBEA NELL2 NRGN NTRK2 OLIG1 RAB3A RAB6B SCAMP5 SH3GL2 SLC12A5 SNAP25 SNAP91 SNCA STXBP1 SYN1 SYP SYT1 TSPAN7 UNC13A VAMP2,22.010925449200776,2.0677158014458907,33,CCSAP CHRNA7 DGKB DNM1 GABBR2 GPR158 GRIA1 GRIA2 GRIK5 KCNA1 KCNA2 KCNJ10 KCNJ6 MAPT NBEA NELL2 NRGN NTRK2 OLIG1 RAB3A RAB6B SCAMP5 SH3GL2 SLC12A5 SNAP25 SNAP91 SNCA SYN1 SYP SYT1 TSPAN7 UNC13A VAMP2,16.68690535988428,2.287151113765507,17,CHN1 DNM1 DNM2 GABBR2 GRIA2 KCNA1 KCNA2 KCNC2 KCNJ10 KCNJ6 KCNQ3 NEFM SCAMP5 SLC12A5 SLC1A2 SNAP91 TSPAN7,16.215240523394147,2.7573652890688,11,GABBR2 GPR158 GRIA2 GRIK5 KCNJ10 NBEA SCAMP5 SH3GL2 SNAP91 SYT1 UNC13A,15.180510119797345,1.9526292236712708,22,ASTN1 CEND1 CHRNA7 DNM1 ELAVL4 GRIA2 KCNQ3 KIF1A KLC1 MAPT MFN2 NEFM NOVA1 NTRK2 SH3GL2 SLC4A10 SNAP91 SNCA SYN1 SYT1 TUBB2B UNC13A,13.44806065908777,3.90095670820073,5,DNM1 SH3GL2 SNAP91 SYN1 UNC13A,5.355298510793721,1.617569271900594,9,ERCC2 GRIA2 KCNA1 KCNJ10 KCNQ3 MAPT NTRK2 OLIG1 SNCA,voltage-gated potassium channel complex,4,2,0.03636363636363636,0.01818181818181818,0.0,0.9454545454545454
C299,-0.0,0.0,0,,0.3951320402014821,0.9360350007915148,1,KIF1A,0.6787245490305899,1.4034782832454926,1,KIF13A,0.6833335889734622,1.4103217689661633,1,KIF13A,0.7450461641897872,1.5001012483966356,1,KIF13A,-0.0,0.0,0,,-0.0,0.0,0,,1.0690453247381124,1.9250311982335315,1,KIF1A,-0.0,0.0,0,,-0.0,0.0,0,,C299,1,0,0.2,0.0,0.0,0.8
C270,-0.0,0.0,0,,0.22760115097348252,0.3300393489783069,3,CHCHD10 PEX10 STUB1,0.15308597920139408,-0.38941010910991203,1,PEX10,0.15002010725901435,-0.3825661775017757,1,PEX10,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C270,1,1,0.04,0.04,0.0,0.92
C276,-0.0,0.0,0,,1.177696575929627,1.2246164156229042,3,CEND1 LGI3 OLIG1,0.1500146634386363,0.3914823934267382,1,OLIG1,0.15300934890683826,0.3983260350935449,1,OLIG1,0.1935294502225299,0.4881074645368688,1,OLIG1,-0.0,0.0,0,,-0.0,0.0,0,,0.4175218772497113,0.9130446009941959,1,CEND1,-0.0,0.0,0,,2.7175748192359026,2.4096549901999076,2,ERCC2 OLIG1,C276,1,0,0.08333333333333333,0.0,0.0,0.9166666666666666
C289,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C289,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C267,0.25228519551554257,0.589701652953849,1,SLC9A9,0.6111318250513939,-0.59774763256668,4,ATXN7 HTRA2 PTPRS SLC44A2,0.3330161456890194,-0.4312784036269228,3,ATXN7 SLC9A9 WBP1L,0.3263958110291092,-0.4244214269577178,3,ATXN7 SLC9A9 WBP1L,0.24367380109389628,-0.334458137249511,3,ATXN7 SLC9A9 WBP1L,0.1743895862810967,0.3068278938452842,2,HTRA2 SLC9A9,-0.0,0.0,0,,0.057147514785497615,0.0915565874086397,3,HTRA2 PTPRS SLC9A9,-0.0,0.0,0,,0.22265685464403082,0.37792814558425114,2,ATXN7 HTRA2,C267,2,1,0.02564102564102564,0.01282051282051282,0.0,0.9615384615384616
C273,-0.0,0.0,0,,3.9623836699612722,1.873513455477041,7,ATG7 FIG4 LYST PIK3R4 RETREG1 SQSTM1 WDR45,0.01512481911881521,-0.0441743547365796,1,LYST,0.01274792471937169,-0.0373305793035712,1,LYST,0.01801565530342935,0.052452522802536095,1,LYST,0.5518118679722515,1.1115994841949206,1,FIG4,-0.0,0.0,0,,0.19183467702070361,0.47739582367590216,1,PIK3R4,-0.0,0.0,0,,5.944279415924603,2.772155728078438,4,ATG7 FIG4 LYST WDR45,autophagosome,0,0,0.0,0.0,0.05555555555555555,0.9444444444444444
