,neuronal cytoplasmic inclusions:-log(OR_p),neuronal cytoplasmic inclusions:log_OR,neuronal cytoplasmic inclusions:num_genes,neuronal cytoplasmic inclusions:gene_ids,abnormal nervous system tract morphology:-log(OR_p),abnormal nervous system tract morphology:log_OR,abnormal nervous system tract morphology:num_genes,abnormal nervous system tract morphology:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,loss of dopaminergic neurons:-log(OR_p),loss of dopaminergic neurons:log_OR,loss of dopaminergic neurons:num_genes,loss of dopaminergic neurons:gene_ids,abnormal cranial ganglia morphology:-log(OR_p),abnormal cranial ganglia morphology:log_OR,abnormal cranial ganglia morphology:num_genes,abnormal cranial ganglia morphology:gene_ids,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,hippocampal neuron degeneration:-log(OR_p),hippocampal neuron degeneration:log_OR,hippocampal neuron degeneration:num_genes,hippocampal neuron degeneration:gene_ids,abnormal microglial cell physiology:-log(OR_p),abnormal microglial cell physiology:log_OR,abnormal microglial cell physiology:num_genes,abnormal microglial cell physiology:gene_ids,increased susceptibility to neuronal excitotoxicity:-log(OR_p),increased susceptibility to neuronal excitotoxicity:log_OR,increased susceptibility to neuronal excitotoxicity:num_genes,increased susceptibility to neuronal excitotoxicity:gene_ids,abnormal inhibitory postsynaptic currents:-log(OR_p),abnormal inhibitory postsynaptic currents:log_OR,abnormal inhibitory postsynaptic currents:num_genes,abnormal inhibitory postsynaptic currents:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C168,4.492450584435982,3.266982613134207,2,ATP2B1 GRN,4.106964128133785,1.4569780861148836,8,APP EFNB1 ITPR3 MAN2C1 MYCBP2 PNPLA6 PRNP TMEM175,4.030289133674714,2.0401132958634047,4,APP GRN PRNP TMEM175,3.4442669721773864,2.69124308278583,2,GRN TMEM175,3.279576267254225,1.4680207125954645,6,CASP3 CSK CTSD EFNB1 MYCN POLG,2.712120401174133,1.6010696627635834,4,APP CTSD GRN PRNP,2.694307725518284,2.28534879012172,2,CTSD PRNP,2.5022313061646853,1.7623557139616182,3,GRN MAN2C1 RHBDF2,2.30045262027291,2.061883229466458,2,GRN TMEM175,1.9447146489679277,1.5028134630855359,3,APBA3 PIP5K1C PRNP,CD_3_NBIA-AD systems map,1,1,0.00625,0.00625,0.0,0.9875
C170,-0.0,0.0,0,,0.10761330500057668,0.2815474140261731,1,APP,0.9103997272485947,1.5672260636247923,1,APP,-0.0,0.0,0,,-0.0,0.0,0,,0.5873134471867332,1.1446730620446441,1,APP,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C170,1,1,0.01639344262295082,0.01639344262295082,0.0,0.9672131147540983
