,abnormal brain interneuron morphology:-log(OR_p),abnormal brain interneuron morphology:log_OR,abnormal brain interneuron morphology:num_genes,abnormal brain interneuron morphology:gene_ids,abnormal myelination:-log(OR_p),abnormal myelination:log_OR,abnormal myelination:num_genes,abnormal myelination:gene_ids,abnormal excitatory postsynaptic potential:-log(OR_p),abnormal excitatory postsynaptic potential:log_OR,abnormal excitatory postsynaptic potential:num_genes,abnormal excitatory postsynaptic potential:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal oligodendrocyte physiology:-log(OR_p),abnormal oligodendrocyte physiology:log_OR,abnormal oligodendrocyte physiology:num_genes,abnormal oligodendrocyte physiology:gene_ids,abnormal glial cell physiology:-log(OR_p),abnormal glial cell physiology:log_OR,abnormal glial cell physiology:num_genes,abnormal glial cell physiology:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,dysmyelination:-log(OR_p),dysmyelination:log_OR,dysmyelination:num_genes,dysmyelination:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C269,11.316785499068091,2.7231764484818797,8,BRINP1 DCX GRIA2 LAMP5 OLIG1 TARDBP TBR1 TUBB2B,9.902591364867696,1.837401050371831,14,BCAS1 CSF1R EPB41L3 ERMN FIG4 GFAP MOBP MOG MYD88 NKX6-2 NTRK2 OLIG1 OLIG2 PLP1,8.58930488585488,2.0138471828807267,10,CAMK2A EFNA3 GFAP GRIA2 NEUROD6 NRGN NTRK2 OLIG2 SLC9A9 STX1A,8.263081263013678,1.0637659465699905,36,B2M BCAS1 CADPS CAMK2A CCSAP CNTNAP4 CTSA CTSC DCX DGKB DHX58 DPP6 EDIL3 EFNA3 FABP7 GABBR2 GFAP GPR158 GPR37 GRIA2 IFI44 IMMP2L NELL2 NEUROD6 NRGN NTRK2 OLIG1 OLIG2 SLC9A9 SNAP25 STX1A STXBP5L SYP SYT1 TBR1 TMEM35A,8.083587274484088,0.9108043534441439,51,ATP1B2 B2M BCAS1 BRINP1 CADPS CAMK2A CARNS1 CLDN11 CNTN2 CNTNAP4 CSF1R DCLK1 DCX DGKB DTNA EDIL3 EFNA3 ENPP2 EPB41L3 FIG4 FRMPD4 GABBR2 GFAP GPM6B GPR158 GPR37 GRIA2 HAPLN2 IMMT INSM1 LAMP5 LGI3 MAVS MOG MYD88 MYT1L NEUROD6 NFASC NKX6-2 NTRK2 OLIG1 OLIG2 PLP1 REEP6 SPOCK3 STX1A TARDBP TBR1 TLR3 TREM2 TUBB2B,7.982909283808638,2.8843476432927844,5,GFAP NFASC OLIG1 OLIG2 PLP1,6.236276339640977,1.759956554209296,9,GFAP MYD88 NFASC OLIG1 OLIG2 PLP1 RHBDF2 TICAM1 TREM2,7.009654206131832,0.9709594120574483,36,B2M BCAS1 CADPS CAMK2A CCSAP CNTNAP4 CTSA CTSC DCX DGKB DHX58 DPP6 EDIL3 EFNA3 FABP7 GABBR2 GFAP GPR158 GPR37 GRIA2 IFI44 IMMP2L NELL2 NEUROD6 NRGN NTRK2 OLIG1 OLIG2 SLC9A9 SNAP25 STX1A STXBP5L SYP SYT1 TBR1 TMEM35A,6.918421265696672,0.9638960194961381,36,B2M BCAS1 CADPS CAMK2A CCSAP CNTNAP4 CTSA CTSC DCX DGKB DHX58 DPP6 EDIL3 EFNA3 FABP7 GABBR2 GFAP GPR158 GPR37 GRIA2 IFI44 IMMP2L NELL2 NEUROD6 NRGN NTRK2 OLIG1 OLIG2 SLC9A9 SNAP25 STX1A STXBP5L SYP SYT1 TBR1 TMEM35A,6.338454672456422,2.8200312862807397,4,BCAS1 OLIG1 OLIG2 PLP1,CD_2_leukodys-FTLD systems map,7,6,0.026515151515151516,0.022727272727272728,0.003787878787878788,0.946969696969697
C270,1.4851070793741836,1.5522197471601,2,TARDBP TUBB2B,1.0598030032683599,0.8747216566181955,4,CSF1R EPB41L3 FIG4 MYD88,0.46340839931824374,0.679163186708303,2,EFNA3 SLC9A9,0.2211555704362809,-0.18991572186198624,8,B2M CTSA CTSC DHX58 EFNA3 IFI44 IMMP2L SLC9A9,0.1191949899324465,-0.08273928481958848,15,B2M CSF1R EFNA3 ENPP2 EPB41L3 FIG4 HAPLN2 IMMT LGI3 MAVS MYD88 TARDBP TLR3 TREM2 TUBB2B,-0.0,0.0,0,,1.8810676602999583,1.2746851874785214,4,MYD88 RHBDF2 TICAM1 TREM2,0.35657116394480404,-0.28031936169809946,8,B2M CTSA CTSC DHX58 EFNA3 IFI44 IMMP2L SLC9A9,0.3677355804428904,-0.2872085024551634,8,B2M CTSA CTSC DHX58 EFNA3 IFI44 IMMP2L SLC9A9,-0.0,0.0,0,,Interferon alpha/beta signaling,5,4,0.027624309392265192,0.022099447513812154,0.0055248618784530384,0.9447513812154696
C271,16.559341904204715,3.3695920422468237,8,BRINP1 DCX GRIA2 LAMP5 OLIG1 TARDBP TBR1 TUBB2B,13.06180057903586,2.32384196718999,12,BCAS1 EPB41L3 ERMN FIG4 GFAP MOBP MOG NKX6-2 NTRK2 OLIG1 OLIG2 PLP1,9.750738026229303,2.4087802770542837,8,CAMK2A GFAP GRIA2 NEUROD6 NRGN NTRK2 OLIG2 STX1A,12.580826428501302,1.5398747418360923,29,BCAS1 CADPS CAMK2A CCSAP CNTNAP4 DCX DGKB DPP6 EDIL3 FABP7 GABBR2 GFAP GPR158 GPR37 GRIA2 IMMP2L NELL2 NEUROD6 NRGN NTRK2 OLIG1 OLIG2 SNAP25 STX1A STXBP5L SYP SYT1 TBR1 TMEM35A,15.37921587374396,1.4980587785076942,43,ATP1B2 BCAS1 BRINP1 CADPS CAMK2A CARNS1 CLDN11 CNTN2 CNTNAP4 DCLK1 DCX DGKB DTNA EDIL3 EPB41L3 FIG4 FRMPD4 GABBR2 GFAP GPM6B GPR158 GPR37 GRIA2 HAPLN2 IMMT INSM1 LAMP5 LGI3 MOG MYT1L NEUROD6 NFASC NKX6-2 NTRK2 OLIG1 OLIG2 PLP1 REEP6 SPOCK3 STX1A TARDBP TBR1 TUBB2B,11.407399217642887,3.5204286434949035,5,GFAP NFASC OLIG1 OLIG2 PLP1,3.8081355706708453,1.7574119203696288,5,GFAP NFASC OLIG1 OLIG2 PLP1,11.22709057150612,1.4477097985550405,29,BCAS1 CADPS CAMK2A CCSAP CNTNAP4 DCX DGKB DPP6 EDIL3 FABP7 GABBR2 GFAP GPR158 GPR37 GRIA2 IMMP2L NELL2 NEUROD6 NRGN NTRK2 OLIG1 OLIG2 SNAP25 STX1A STXBP5L SYP SYT1 TBR1 TMEM35A,11.12709323012772,1.4406931019404556,29,BCAS1 CADPS CAMK2A CCSAP CNTNAP4 DCX DGKB DPP6 EDIL3 FABP7 GABBR2 GFAP GPR158 GPR37 GRIA2 IMMP2L NELL2 NEUROD6 NRGN NTRK2 OLIG1 OLIG2 SNAP25 STX1A STXBP5L SYP SYT1 TBR1 TMEM35A,9.087434550452766,3.4527445583343175,4,BCAS1 OLIG1 OLIG2 PLP1,oligodendrocyte differentiation,5,5,0.03496503496503497,0.03496503496503497,0.0,0.9300699300699301
C291,-0.0,0.0,0,,1.8134276827147604,2.5771518737567067,1,FIG4,-0.0,0.0,0,,-0.0,0.0,0,,0.0866662034754491,0.24265435265331803,1,FIG4,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C291,2,1,0.2222222222222222,0.1111111111111111,0.0,0.6666666666666667
C332,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C332,1,0,0.25,0.0,0.0,0.75
C272,-0.0,0.0,0,,0.043010788659413685,0.1194219324995931,1,MYD88,-0.0,0.0,0,,0.004876602816530407,0.006448350869471042,5,B2M CTSA CTSC DHX58 IFI44,0.9190671566695163,-0.794430241068353,4,B2M MAVS MYD88 TLR3,-0.0,0.0,0,,2.2581166972233824,1.6484150324440403,3,MYD88 RHBDF2 TICAM1,0.06760039200243728,-0.08368346727369769,5,B2M CTSA CTSC DHX58 IFI44,0.07357257736898967,-0.09055270597619192,5,B2M CTSA CTSC DHX58 IFI44,-0.0,0.0,0,,Interferon alpha/beta signaling,3,1,0.031914893617021274,0.010638297872340425,0.0,0.9574468085106383
C275,4.328423209291655,3.009276498661748,2,TARDBP TUBB2B,-0.0,0.0,0,,-0.0,0.0,0,,0.4131835996078195,-0.8769953336690524,1,IMMP2L,0.20493935852756323,-0.2936008884771688,3,IMMT TARDBP TUBB2B,-0.0,0.0,0,,-0.0,0.0,0,,0.46924109004794345,-0.9667856970566575,1,IMMP2L,0.4736254014166258,-0.9736300531917301,1,IMMP2L,-0.0,0.0,0,,Regulation of HSF1-mediated heat shock response,2,2,0.045454545454545456,0.045454545454545456,0.0,0.9090909090909091
C276,-0.0,0.0,0,,1.9039004874407226,1.8276495356640776,2,CSF1R EPB41L3,2.859203950280568,2.3479814829455634,2,EFNA3 SLC9A9,0.3786121549582789,0.48888581696706623,3,B2M EFNA3 SLC9A9,1.4905896495420556,0.9030614349056574,7,B2M CSF1R EFNA3 ENPP2 EPB41L3 HAPLN2 TREM2,-0.0,0.0,0,,0.8446482873010679,1.4915120094298064,1,TREM2,0.29343016355521384,0.3989342888142495,3,B2M EFNA3 SLC9A9,0.28723795632000404,0.39207825275160424,3,B2M EFNA3 SLC9A9,-0.0,0.0,0,,C276,0,0,0.0,0.0,0.027777777777777776,0.9722222222222222
C315,-0.0,0.0,0,,2.0890592616135866,2.8649412711348035,1,FIG4,-0.0,0.0,0,,-0.0,0.0,0,,0.20519836781428574,0.5304531657076126,1,FIG4,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C315,1,2,0.14285714285714285,0.2857142857142857,0.0,0.5714285714285714
C273,13.956249423885863,3.4841696044885655,6,BRINP1 DCX GRIA2 LAMP5 OLIG1 TBR1,15.655678783555793,2.714270189908275,11,BCAS1 EPB41L3 ERMN GFAP MOBP MOG NKX6-2 NTRK2 OLIG1 OLIG2 PLP1,13.28034274172617,2.8859796779916405,8,CAMK2A GFAP GRIA2 NEUROD6 NRGN NTRK2 OLIG2 STX1A,19.047782805176634,2.0838832526295636,28,BCAS1 CADPS CAMK2A CCSAP CNTNAP4 DCX DGKB DPP6 EDIL3 FABP7 GABBR2 GFAP GPR158 GPR37 GRIA2 NELL2 NEUROD6 NRGN NTRK2 OLIG1 OLIG2 SNAP25 STX1A STXBP5L SYP SYT1 TBR1 TMEM35A,21.001315589692183,2.035614136276715,39,ATP1B2 BCAS1 BRINP1 CADPS CAMK2A CARNS1 CLDN11 CNTN2 CNTNAP4 DCLK1 DCX DGKB DTNA EDIL3 EPB41L3 FRMPD4 GABBR2 GFAP GPM6B GPR158 GPR37 GRIA2 HAPLN2 INSM1 LAMP5 LGI3 MOG MYT1L NEUROD6 NFASC NKX6-2 NTRK2 OLIG1 OLIG2 PLP1 REEP6 SPOCK3 STX1A TBR1,14.177648952242631,3.984504039071302,5,GFAP NFASC OLIG1 OLIG2 PLP1,5.658252614599668,2.2215014156376913,5,GFAP NFASC OLIG1 OLIG2 PLP1,17.50189010979536,1.9918187110951617,28,BCAS1 CADPS CAMK2A CCSAP CNTNAP4 DCX DGKB DPP6 EDIL3 FABP7 GABBR2 GFAP GPR158 GPR37 GRIA2 NELL2 NEUROD6 NRGN NTRK2 OLIG1 OLIG2 SNAP25 STX1A STXBP5L SYP SYT1 TBR1 TMEM35A,17.386733657782973,1.9848093923187253,28,BCAS1 CADPS CAMK2A CCSAP CNTNAP4 DCX DGKB DPP6 EDIL3 FABP7 GABBR2 GFAP GPR158 GPR37 GRIA2 NELL2 NEUROD6 NRGN NTRK2 OLIG1 OLIG2 SNAP25 STX1A STXBP5L SYP SYT1 TBR1 TMEM35A,11.326773788314451,3.9126110677796992,4,BCAS1 OLIG1 OLIG2 PLP1,oligodendrocyte differentiation,2,2,0.021739130434782608,0.021739130434782608,0.0,0.9565217391304348
