,neuronal cytoplasmic inclusions:-log(OR_p),neuronal cytoplasmic inclusions:log_OR,neuronal cytoplasmic inclusions:num_genes,neuronal cytoplasmic inclusions:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,abnormal sphingomyelin level:-log(OR_p),abnormal sphingomyelin level:log_OR,abnormal sphingomyelin level:num_genes,abnormal sphingomyelin level:gene_ids,abnormal myelin sheath morphology:-log(OR_p),abnormal myelin sheath morphology:log_OR,abnormal myelin sheath morphology:num_genes,abnormal myelin sheath morphology:gene_ids,abnormal excitatory postsynaptic current frequency:-log(OR_p),abnormal excitatory postsynaptic current frequency:log_OR,abnormal excitatory postsynaptic current frequency:num_genes,abnormal excitatory postsynaptic current frequency:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,abnormal excitatory postsynaptic potential:-log(OR_p),abnormal excitatory postsynaptic potential:log_OR,abnormal excitatory postsynaptic potential:num_genes,abnormal excitatory postsynaptic potential:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C180,7.371277177116793,3.73434931319262,3,ATP2B1 GRN VAPB,4.974232478794609,0.8715853399206512,32,ADRB2 AGRN ATP13A2 ATP2B1 ATP6V1B1 BCAS1 CDK5 CERS2 CHMP1A CLSTN1 CMTM6 CPT1C CTSD DCTN1 EFNB1 FA2H GRN HOMER1 LRRK2 MCOLN3 NENF PRSS56 RER1 SDCCAG8 SOD1 SPAST SPTAN1 SQSTM1 UPP1 VAMP2 VAPB WDR45,3.875065502062688,1.7781101204276766,5,CERS6 CTSD GRN LRRK2 SOD1,3.8709784318571874,1.2627438574930494,10,ADRB2 ATP13A2 ATP2B1 CERS6 CTSD FA2H GRN LRRK2 SOD1 WDR45,3.839619785463368,2.9172343377142873,2,CERS4 SPTLC2,3.3600596252611727,1.8273738176947578,4,BCAS1 CERS2 FA2H UPP1,2.902230426616107,2.405979391198331,2,CLSTN1 LRRK2,2.70393023444918,1.0201355008279833,10,ADRB2 ATP13A2 ATP2B1 CERS6 CTSD FA2H GRN LRRK2 SOD1 WDR45,2.354926064447471,1.467640914422999,4,CDK5 CLSTN1 GRN VAMP2,2.2889074005439096,1.667701440468175,3,ATP13A2 GRN LRRK2,CD_3_NBIA-ALS systems map,3,7,0.01764705882352941,0.041176470588235294,0.0,0.9411764705882353
C208,-0.0,0.0,0,,2.1123414781124623,2.0358384748297773,3,ADRB2 BCAS1 FA2H,-0.0,0.0,0,,3.667695921759,3.1030727554951127,2,ADRB2 FA2H,-0.0,0.0,0,,7.339037354821293,4.61800636749734,2,BCAS1 FA2H,-0.0,0.0,0,,3.2018623780480637,2.86561815166635,2,ADRB2 FA2H,-0.0,0.0,0,,-0.0,0.0,0,,C208,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C181,8.368660019287761,4.010299432962477,3,ATP2B1 GRN VAPB,5.294570086345753,0.9932400332341604,27,AGRN ATP13A2 ATP2B1 ATP6V1B1 CDK5 CERS2 CHMP1A CLSTN1 CMTM6 CTSD DCTN1 EFNB1 GRN HOMER1 LRRK2 MCOLN3 PRSS56 RER1 SDCCAG8 SOD1 SPAST SPTAN1 SQSTM1 UPP1 VAMP2 VAPB WDR45,3.34167850685205,1.8162584897163807,4,CTSD GRN LRRK2 SOD1,2.5115797938964475,1.161858672304822,7,ATP13A2 ATP2B1 CTSD GRN LRRK2 SOD1 WDR45,-0.0,0.0,0,,1.23658429541936,1.3688285284182857,2,CERS2 UPP1,3.477631648209232,2.6800578796221046,2,CLSTN1 LRRK2,1.728313795213128,0.9212038225407451,7,ATP13A2 ATP2B1 CTSD GRN LRRK2 SOD1 WDR45,3.129680863802279,1.7455011565471317,4,CDK5 CLSTN1 GRN VAMP2,2.9414444789608245,1.943657895850988,3,ATP13A2 GRN LRRK2,regulation of vacuole organization,2,5,0.015384615384615385,0.038461538461538464,0.0,0.9461538461538461
C183,-0.0,0.0,0,,0.5973494454737491,0.5042238070405656,6,BCAS1 CERS2 CPT1C EFNB1 FA2H NENF,0.8552393197061725,1.5023121712517042,1,CERS6,0.7699991630470113,0.9969887549699248,2,CERS6 FA2H,7.568483862777577,4.334417175636759,2,CERS4 SPTLC2,5.89886728576995,2.955766077117632,3,BCAS1 CERS2 FA2H,-0.0,0.0,0,,0.5296380996352634,0.7595249197125362,2,CERS6 FA2H,-0.0,0.0,0,,-0.0,0.0,0,,Sphingolipid metabolism,1,2,0.023255813953488372,0.046511627906976744,0.0,0.9302325581395349
C193,-0.0,0.0,0,,0.042981105783598476,0.12481294158464173,1,SOD1,2.393835738687814,3.0445224377234226,1,SOD1,1.071340881611501,1.81891492703849,1,SOD1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.873518405252238,1.5820830289847336,1,SOD1,-0.0,0.0,0,,-0.0,0.0,0,,pigment granule,0,1,0.0,0.1,0.0,0.9
C182,6.021105433354038,3.8674690665008313,2,GRN VAPB,4.0956007906440215,1.0251859934660192,19,AGRN ATP13A2 CDK5 CERS2 CHMP1A CLSTN1 CTSD DCTN1 EFNB1 GRN MCOLN3 PRSS56 RER1 SDCCAG8 SOD1 SPTAN1 VAMP2 VAPB WDR45,2.8488137832439473,1.9022971619215907,3,CTSD GRN SOD1,2.022869595305461,1.2027779961677219,5,ATP13A2 CTSD GRN SOD1 WDR45,-0.0,0.0,0,,0.5161721218406935,1.0390981611357013,1,CERS2,1.6111820211686865,2.3149541670665066,1,CLSTN1,1.4265549156578357,0.9634115285424389,5,ATP13A2 CTSD GRN SOD1 WDR45,4.401543900721949,2.1413352205022065,4,CDK5 CLSTN1 GRN VAMP2,2.0568706676638158,1.9028685165782866,2,ATP13A2 GRN,SNARE complex,2,4,0.02247191011235955,0.0449438202247191,0.0,0.9325842696629214
C219,-0.0,0.0,0,,0.3951320402014821,0.9360350007915148,1,WDR45,-0.0,0.0,0,,1.7259616680242813,2.630115713347651,1,WDR45,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.488475200487928,2.3932850951415707,1,WDR45,-0.0,0.0,0,,-0.0,0.0,0,,regulation of vacuole organization,1,0,0.2,0.0,0.0,0.8
C188,-0.0,0.0,0,,0.934574582413268,1.023828959112107,3,CDK5 LRRK2 SOD1,5.149140976877562,3.4599795709471497,2,LRRK2 SOD1,2.4398772212920385,2.2272251790080126,2,LRRK2 SOD1,-0.0,0.0,0,,-0.0,0.0,0,,4.180093580614576,4.23134216282311,1,LRRK2,2.030201314075843,1.9897687830036492,2,LRRK2 SOD1,1.90839003882603,2.6078903512690736,1,CDK5,2.5193235324514527,3.0991322888045048,1,LRRK2,C188,0,1,0.0,0.07142857142857142,0.0,0.9285714285714286
C194,5.916899870081686,5.341802478487775,1,GRN,2.5258624596992174,1.9185348374015998,4,CERS2 CTSD GRN RER1,5.908635651314738,3.8656584684735513,2,CTSD GRN,3.04918020757572,2.6329067841943132,2,CTSD GRN,-0.0,0.0,0,,2.7634561844246615,3.323436020355258,1,CERS2,-0.0,0.0,0,,2.603196497921813,2.3954514124569535,2,CTSD GRN,2.306573550969077,2.9758290122635636,1,GRN,2.9630858359067687,3.4670704819381566,1,GRN,C194,0,1,0.0,0.1,0.0,0.9
C195,-0.0,0.0,0,,2.756826679248112,2.10091475938657,4,AGRN ATP13A2 MCOLN3 PRSS56,-0.0,0.0,0,,1.1660502805616542,1.9367520825704112,1,ATP13A2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.9610465779918836,1.6999204405417316,1,ATP13A2,-0.0,0.0,0,,3.1033988724576824,3.584906863730959,1,ATP13A2,C195,1,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C210,-0.0,0.0,0,,0.20519836781428574,0.5304531657076126,1,SOD1,2.832478429176296,3.4501478664732126,1,SOD1,1.4011843828098949,2.224542385987176,1,SOD1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.1803801708616328,1.987711255925328,1,SOD1,-0.0,0.0,0,,-0.0,0.0,0,,C210,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C186,4.8145029724629245,4.6481764598989415,1,VAPB,0.09277500549556364,0.18209964472861984,2,VAMP2 VAPB,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.5685217348482123,2.282200535402982,1,VAMP2,-0.0,0.0,0,,SNARE complex,0,1,0.0,0.05263157894736842,0.0,0.9473684210526316
C187,-0.0,0.0,0,,0.7413117906442321,0.8566580997655606,3,DCTN1 SDCCAG8 SPTAN1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,COPI-mediated anterograde transport,0,1,0.0,0.0625,0.0,0.9375
C189,5.342316186381861,4.973864909767123,1,GRN,0.934574582413268,1.023828959112107,3,CDK5 CERS2 GRN,1.9891092810372402,2.676583856752778,1,GRN,0.7887448218074253,1.4509736381166576,1,GRN,-0.0,0.0,0,,2.3327114310462056,2.955497713298046,1,CERS2,-0.0,0.0,0,,0.6152115935622116,1.2141407156847492,1,GRN,4.972282194975267,3.390612457963142,2,CDK5 GRN,2.5193235324514527,3.0991322888045048,1,GRN,C189,0,1,0.0,0.07142857142857142,0.0,0.9285714285714286
C232,-0.0,0.0,0,,1.6942673830633477,2.323041490583309,2,BCAS1 FA2H,-0.0,0.0,0,,1.935489248385824,2.9178518910341262,1,FA2H,-0.0,0.0,0,,7.413787322734777,5.534457180479598,2,BCAS1 FA2H,-0.0,0.0,0,,1.691301457306355,2.6810215287142913,1,FA2H,-0.0,0.0,0,,-0.0,0.0,0,,C232,1,0,0.25,0.0,0.0,0.75
C205,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C205,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C184,-0.0,0.0,0,,0.4869574149882626,0.5311893199130218,4,BCAS1 CERS2 CPT1C FA2H,1.241451032558977,1.944947685073413,1,CERS6,1.3162046821028783,1.4532771816788177,2,CERS6 FA2H,8.906991661404465,4.790691745512716,2,CERS4 SPTLC2,7.438998894612225,3.4265713524528483,3,BCAS1 CERS2 FA2H,-0.0,0.0,0,,1.0074329569514695,1.2158171972360599,2,CERS6 FA2H,-0.0,0.0,0,,-0.0,0.0,0,,Sphingolipid metabolism,1,1,0.03571428571428571,0.03571428571428571,0.0,0.9285714285714286
C190,-0.0,0.0,0,,-0.0,0.0,0,,2.076555200284247,2.756680018923186,1,CERS6,0.8481683355282319,1.5310704773841124,1,CERS6,11.230880878136093,5.651691413971854,2,CERS4 SPTLC2,-0.0,0.0,0,,-0.0,0.0,0,,0.6691573928593006,1.2942378110884274,1,CERS6,-0.0,0.0,0,,-0.0,0.0,0,,Sphingolipid metabolism,0,1,0.0,0.07692307692307693,0.0,0.9230769230769231
C204,6.484153169347062,5.747427148333374,1,VAPB,0.20519836781428574,0.5304531657076126,1,VAPB,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C204,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C215,-0.0,0.0,0,,1.2221359400720981,1.6297775966712233,2,DCTN1 SDCCAG8,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Recruitment of mitotic centrosome proteins and complexes,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C225,7.127072304392954,6.440733865174867,1,GRN,1.6942673830633477,2.323041490583309,2,CERS2 GRN,3.4552360482273556,4.143455341976196,1,GRN,1.935489248385824,2.9178518910341262,1,GRN,-0.0,0.0,0,,3.8584961642821844,4.422368513957259,1,CERS2,-0.0,0.0,0,,1.691301457306355,2.6810215287142913,1,GRN,3.359013341269883,4.074762036487959,1,GRN,4.073710476857645,4.566002804745972,1,GRN,C225,0,1,0.0,0.25,0.0,0.75
C209,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,6.0591439153449365,5.484903322128448,1,SPTLC2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Sphingolipid metabolism,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C211,6.484153169347062,5.747427148333374,1,GRN,2.1123414781124623,2.0358384748297773,3,CERS2 CTSD GRN,6.57204465824913,4.335822409793802,2,CTSD GRN,3.667695921759,3.1030727554951127,2,CTSD GRN,-0.0,0.0,0,,3.223749850377579,3.7290612437467683,1,CERS2,-0.0,0.0,0,,3.2018623780480637,2.86561815166635,2,CTSD GRN,2.739681628370658,3.3814545010087826,1,GRN,3.4339890611417556,3.872695619918904,1,GRN,C211,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C217,-0.0,0.0,0,,2.351681685140658,2.323578905660379,3,ADRB2 BCAS1 FA2H,-0.0,0.0,0,,3.8976345696819337,3.3262704149715523,2,ADRB2 FA2H,-0.0,0.0,0,,7.519948515502364,4.841203282028297,2,BCAS1 FA2H,-0.0,0.0,0,,3.432231045800976,3.0888160670567926,2,ADRB2 FA2H,-0.0,0.0,0,,-0.0,0.0,0,,C217,1,0,0.16666666666666666,0.0,0.0,0.8333333333333334
