,abnormal nervous system dopamine level:-log(OR_p),abnormal nervous system dopamine level:log_OR,abnormal nervous system dopamine level:num_genes,abnormal nervous system dopamine level:gene_ids,increased neuron apoptosis:-log(OR_p),increased neuron apoptosis:log_OR,increased neuron apoptosis:num_genes,increased neuron apoptosis:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,abnormal nervous system tract morphology:-log(OR_p),abnormal nervous system tract morphology:log_OR,abnormal nervous system tract morphology:num_genes,abnormal nervous system tract morphology:gene_ids,abnormal glial cell apoptosis:-log(OR_p),abnormal glial cell apoptosis:log_OR,abnormal glial cell apoptosis:num_genes,abnormal glial cell apoptosis:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,loss of dopaminergic neurons:-log(OR_p),loss of dopaminergic neurons:log_OR,loss of dopaminergic neurons:num_genes,loss of dopaminergic neurons:gene_ids,demyelination:-log(OR_p),demyelination:log_OR,demyelination:num_genes,demyelination:gene_ids,dysmyelination:-log(OR_p),dysmyelination:log_OR,dysmyelination:num_genes,dysmyelination:gene_ids,abnormal neuron apoptosis:-log(OR_p),abnormal neuron apoptosis:log_OR,abnormal neuron apoptosis:num_genes,abnormal neuron apoptosis:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C175,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.2334561197105725,1.9806381432218894,1,QPRT,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,L-amino acid catabolic process,0,1,0.0,0.08333333333333333,0.0,0.9166666666666666
C178,5.916899870081686,5.341802478487775,1,GCH1,-0.0,0.0,0,,-0.0,0.0,0,,1.410256422369166,2.1814165044894853,1,ATL1,-0.0,0.0,0,,0.873518405252238,1.5820830289847336,1,CTSF,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C178,0,0,0.0,0.0,0.1,0.9
C174,-0.0,0.0,0,,-0.0,0.0,0,,4.906180033972584,2.923551330309982,3,ERMN PLP1 WASL,3.443307337291641,2.7734504198372623,2,PLP1 WASL,5.19695992325951,4.878501525738372,1,PLP1,4.229858266887298,2.685468596405501,3,ERMN PLP1 WASL,-0.0,0.0,0,,5.917598140420249,3.7973066911425475,2,ERMN PLP1,4.504015053172327,4.447346100794524,1,PLP1,-0.0,0.0,0,,C174,0,0,0.0,0.0,0.08333333333333333,0.9166666666666666
C191,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C191,0,0,0.0,0.0,0.16666666666666666,0.8333333333333334
C216,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C216,0,1,0.0,0.25,0.0,0.75
C198,6.925709235282623,6.152998616790501,1,GCH1,-0.0,0.0,0,,-0.0,0.0,0,,2.1226718982179023,2.992615834515667,1,ATL1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C198,0,0,0.0,0.0,0.2,0.8
C205,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C205,0,1,0.0,0.25,0.0,0.75
C206,-0.0,0.0,0,,-0.0,0.0,0,,1.935489248385824,2.9178518910341262,1,ASS1,-0.0,0.0,0,,-0.0,0.0,0,,1.691301457306355,2.6810215287142913,1,ASS1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C206,1,0,0.25,0.0,0.0,0.75
C199,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C199,0,0,0.0,0.0,0.25,0.75
C201,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C201,0,1,0.0,0.25,0.0,0.75
