Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C216,PITRM1 UAP1L1 CKB CARNS1 PCBD1 OTC CNDP1 MCEE PEPD SLC13A3 SLC6A8 KHK ALDH18A1 MCCC1 TAT SLC1A2,L-amino acid metabolic process,3.3247288534868836e-07,0.03428571428571429,6.0,0,6,6,0.0,0.375,0.0,0.625
C252,ESRRA SLC6A8 FASTKD5 CKB,C252,,,,0,1,1,0.0,0.25,0.0,0.75
C223,LMBRD1 C1GALT1C1 SEC11A ATP6AP2 DCTN6 GORAB CCDC28A,C223,,,,0,2,2,0.0,0.2857142857142857,0.0,0.7142857142857143
C261,NOMO2 SLC25A1 EEF2 COQ8A,C261,,,,0,1,1,0.0,0.25,0.0,0.75
C230,DNAJC12 PITRM1 AKR1B15 ISYNA1 HSPA4L HSPH1,C230,,,,0,1,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C221,GUF1 C12orf74 IMMP2L MRPS6 IMMP1L GPD2 MRPL19 ALDH5A1 RNASEH2A GK3P,mitochondrial protein-containing complex,2.3290813979616035e-06,0.02185792349726776,4.0,1,0,0,0.1,0.0,0.0,0.9
C214,MVP ACP5 PINK1 SMPDL3A HAMP FTH1 LRP10 NINJ1 MICU1 GRN TMBIM1 SLC40A1 MFN2 MAN2B2 CTSK NUCB1 PLIN2 GNPTG RIN2 ACP2 B3GALT4 BLVRB RNF128 NPL SHISA5 TXNDC11 CTSA AP1S1 SCPEP1 CYB5R3,Lysosome,4.816631330161824e-06,0.04580152671755725,6.0,1,7,7,0.03333333333333333,0.23333333333333334,0.0,0.7333333333333334
C248,DCTN3 PINK1 PHYH ACYP2,C248,,,,0,1,1,0.0,0.25,0.0,0.75
C219,UBIAD1 PEX12 CD276 ATG7 VPS37D UNC13D UBC VPS37A STX1B EOGT MAP1LC3B2,C219,,,,0,1,1,0.0,0.09090909090909091,0.0,0.9090909090909091
C254,ISLR TXNDC11 ATP8B2 CTSK,C254,,,,0,1,1,0.0,0.25,0.0,0.75
C220,COX19 MMGT1 GFER CHCHD3 CHCHD6 CHCHD5 CHCHD4 CT45A2 EMC3 COA4,Mitochondrial protein import,2.0469386072384846e-11,0.09090909090909091,6.0,0,1,1,0.0,0.1,0.0,0.9
C215,C8orf82 THAP4 ABHD14B PHPT1 SPAG7 PRADC1 FASTK C6orf136 MCRIP2 CHCHD10 MICOS13 RBIS NAXE NDUFB10 MIEN1 NDUFB7 NDUFB9 TRPT1 HINT2 LAMTOR1 MPND CHCHD2P9 FAM173A NDUFA11,Complex I biogenesis,6.769896213922809e-06,0.07017543859649122,4.0,0,1,1,0.0,0.041666666666666664,0.041666666666666664,0.9166666666666666
C224,MVP GNPTG B3GALT4 MAN2B2 NUCB1 CYB5R3 LRP10,C224,,,,0,2,2,0.0,0.2857142857142857,0.0,0.7142857142857143
C218,NINJ1 CTSA ACP5 PLIN2 RIN2 SMPDL3A HAMP SLC40A1 ACP2 RNF128 NPL SCPEP1 CTSK FTH1,C218,,,,0,3,3,0.0,0.21428571428571427,0.0,0.7857142857142857
C231,MICU1 GNPTG MFN2 MAN2B2 NUCB1 LRP10,C231,,,,0,2,2,0.0,0.3333333333333333,0.0,0.6666666666666667
C217,MCRIP2 NAXE NDUFB10 MIEN1 NDUFB9 MPND THAP4 TRPT1 PHPT1 MICOS13 RBIS SPAG7 PRADC1 HINT2 NDUFA11,C217,,,,0,1,1,0.0,0.06666666666666667,0.0,0.9333333333333333
C264,SLC13A3 SLC6A8 SLC1A2 CKB,C264,,,,0,2,2,0.0,0.5,0.0,0.5
C245,UAP1L1 PCBD1 MCEE ALDH18A1 TAT,C245,,,,0,4,4,0.0,0.8,0.0,0.19999999999999996
C227,MCRIP2 MIEN1 MPND PHPT1 MICOS13 SPAG7 NDUFA11,C227,,,,0,1,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C241,NINJ1 PLIN2 HAMP SLC40A1 FTH1,C241,,,,0,1,1,0.0,0.2,0.0,0.8
C222,ACP5 RIN2 SMPDL3A ACP2 NPL SCPEP1 CTSK,C222,,,,0,2,2,0.0,0.2857142857142857,0.0,0.7142857142857143
C250,UNC13D STX1B ATG7 MAP1LC3B2,C250,,,,0,1,1,0.0,0.25,0.0,0.75
C239,COX19 GFER CHCHD6 CHCHD5 CHCHD4,Mitochondrial protein import,1.0575286051397003e-07,0.06060606060606061,4.0,0,1,1,0.0,0.2,0.0,0.8
C233,GUF1 IMMP2L MRPS6 IMMP1L MRPL19 RNASEH2A,mitochondrial protein-containing complex,8.180272714447064e-07,0.02185792349726776,4.0,1,0,0,0.16666666666666666,0.0,0.0,0.8333333333333334
C246,MPND PHPT1 MICOS13 SPAG7 NDUFA11,C246,,,,0,1,1,0.0,0.2,0.0,0.8
C265,GRN LAMTOR1 FLCN SHISA5,C265,,,,1,0,0,0.25,0.0,0.0,0.75
C247,SLC10A7 FOXQ1 EIF2B2 SLC10A6,C247,,,,0,1,1,0.0,0.25,0.0,0.75
