,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0003861,0.11850226266858292,0.46044897452163447,-0.11764888212559876,1.0385468311688677,1333,abnormal nervous system development,brain
MP:0004100,0.14300516147220438,1.4915120094298064,-0.504341884440868,3.487365903300481,36,abnormal spinal cord interneuron morphology,brain
MP:0003634,0.16434606669310858,0.638889406394977,-0.261583899946772,1.5393627127367262,421,abnormal glial cell morphology,brain
MP:0004562,0.17860908847108015,1.9488038866728967,-0.8909310167319391,4.788538790077732,11,abnormal inner hair cell synaptic ribbon morphology,brain
MP:0004793,0.17860908847108015,1.9488038866728967,-0.8909310167319391,4.788538790077732,11,abnormal synaptic vesicle clustering,brain
MP:0010050,0.17860908847108015,1.9488038866728967,-0.8909310167319391,4.788538790077732,11,hypermyelination,brain
MP:0014378,0.17860908847108015,1.9488038866728967,-0.8909310167319391,4.788538790077732,11,increased excitatory postsynaptic current frequency,brain
MP:0014373,0.17860908847108015,1.9488038866728967,-0.8909310167319391,4.788538790077732,11,increased miniature excitatory postsynaptic current amplitude,brain
MP:0014372,0.17860908847108015,1.9488038866728967,-0.8909310167319391,4.788538790077732,11,decreased miniature excitatory postsynaptic current amplitude,brain
MP:0010160,0.17860908847108015,1.9488038866728967,-0.8909310167319391,4.788538790077732,11,increased oligodendrocyte number,brain
MP:0005192,0.17860908847108015,1.9488038866728967,-0.8909310167319391,4.788538790077732,11,increased motor neuron number,brain
MP:0006277,0.17860908847108015,1.9488038866728967,-0.8909310167319391,4.788538790077732,11,abnormal parasympathetic nervous system physiology,brain
MP:0021105,0.17860908847108015,1.9488038866728967,-0.8909310167319391,4.788538790077732,11,abnormal ventral interneuron 3 morphology,brain
MP:0000954,0.17860908847108015,1.9488038866728967,-0.8909310167319391,4.788538790077732,11,decreased oligodendrocyte progenitor number,brain
MP:0003407,0.17860908847108015,1.9488038866728967,-0.8909310167319391,4.788538790077732,11,abnormal central nervous system regeneration,brain
MP:0003247,0.17860908847108015,1.9488038866728967,-0.8909310167319391,4.788538790077732,11,abnormal glutaminergic neuron morphology,brain
MP:0000940,0.18168006638666523,1.3577126855012658,-0.6347012586990959,3.3501266297016272,41,abnormal motor neuron innervation pattern,brain
MP:0012203,0.19799554407234465,1.861738997977568,-0.9728672130952973,4.696345209050433,12,abnormal neuronal stem cell morphology,brain
MP:0020393,0.19799554407234465,1.861738997977568,-0.9728672130952973,4.696345209050433,12,increased neuronal precursor proliferation,brain
MP:0020387,0.19799554407234465,1.861738997977568,-0.9728672130952973,4.696345209050433,12,abnormal radial glial cell number,brain
MP:0014382,0.19799554407234465,1.861738997977568,-0.9728672130952973,4.696345209050433,12,increased miniature inhibitory postsynaptic current frequency,brain
MP:0003246,0.19799554407234465,1.861738997977568,-0.9728672130952973,4.696345209050433,12,loss of GABAergic neurons,brain
MP:0014379,0.19799554407234465,1.861738997977568,-0.9728672130952973,4.696345209050433,12,decreased excitatory postsynaptic current frequency,brain
MP:0001045,0.19799554407234465,1.861738997977568,-0.9728672130952973,4.696345209050433,12,abnormal enteric ganglia morphology,brain
MP:0001025,0.19799554407234465,1.861738997977568,-0.9728672130952973,4.696345209050433,12,abnormal sympathetic neuron morphology,brain
MP:0012205,0.19799554407234465,1.861738997977568,-0.9728672130952973,4.696345209050433,12,abnormal neuronal stem cell self-renewal,brain
MP:0006276,0.2057396936441266,1.2852312306746096,-0.7055005793080988,3.2759630406573184,44,abnormal autonomic nervous system physiology,brain
MP:0011003,0.2172798412217466,1.781642775734678,-1.048616513946036,4.611902065415392,13,reduced AMPA-mediated synaptic currents,brain
MP:0006009,0.23103933449533864,0.8603628552695177,-0.5475858067171369,2.2683115172561723,134,abnormal neuronal migration,brain
MP:0004753,0.23516050747762363,0.8527617891865411,-0.5551091687491725,2.260632747122255,135,abnormal miniature excitatory postsynaptic currents,brain
MP:0010170,0.236414094991091,1.7074812861476385,-1.1190467503715715,4.534009322666849,14,abnormal glial cell apoptosis,brain
MP:0002916,0.25536178301271373,1.638434894363101,-1.1848554008743153,4.461725189600518,15,increased synaptic depression,brain
MP:0001038,0.25536178301271373,1.638434894363101,-1.1848554008743153,4.461725189600518,15,abnormal cholinergic neuron morphology,brain
MP:0002917,0.25536178301271373,1.638434894363101,-1.1848554008743153,4.461725189600518,15,decreased synaptic depression,brain
MP:0014325,0.25536178301271373,1.638434894363101,-1.1848554008743153,4.461725189600518,15,abnormal oligodendrocyte progenitor morphology,brain
MP:0014345,0.25536178301271373,1.638434894363101,-1.1848554008743153,4.461725189600518,15,abnormal neuron mitochondrial morphology,brain
MP:0004494,0.25536178301271373,1.638434894363101,-1.1848554008743153,4.461725189600518,15,abnormal synaptic glutamate release,brain
MP:0002948,0.25536178301271373,1.638434894363101,-1.1848554008743153,4.461725189600518,15,abnormal neuron specification,brain
MP:0004792,0.26345085979949834,1.1340330561212557,-0.8535549649073226,3.1216210771498343,51,abnormal synaptic vesicle number,brain
MP:0002910,0.2645746233256385,0.8010913904174153,-0.6062666147781928,2.208449395613023,142,abnormal excitatory postsynaptic currents,brain
MP:0012204,0.27409520440197443,1.5738428500633699,-1.2466113728884856,4.394297073015226,16,abnormal neuronal stem cell physiology,brain
MP:0004297,0.27409520440197443,1.5738428500633699,-1.2466113728884856,4.394297073015226,16,abnormal proprioceptive neuron morphology,brain
MP:0006006,0.28018914637257153,1.09470509286062,-0.8921394393325872,3.0815496250538272,53,increased sensory neuron number,brain
MP:0011827,0.2925935564232014,1.5131647022198909,-1.30478473387769,4.331114138317472,17,impaired neuron differentiation,brain
MP:0020338,0.2925935564232014,1.5131647022198909,-1.30478473387769,4.331114138317472,17,abnormal hippocampal pyramidal neuron dendrite morphology,brain
MP:0003241,0.3108414631752038,1.4559527594877117,-1.3597683290461005,4.271673848021524,18,loss of cortex neurons,brain
MP:0014385,0.3108414631752038,1.4559527594877117,-1.3597683290461005,4.271673848021524,18,decreased miniature inhibitory postsynaptic current amplitude,brain
MP:0011731,0.3288278393402173,1.4018320064597063,-1.4118938017329268,4.215557814652339,19,decreased myelin sheath thickness,brain
MP:0021101,0.3288278393402173,1.4018320064597063,-1.4118938017329268,4.215557814652339,19,abnormal ventral interneuron morphology,brain
MP:0014376,0.3288278393402173,1.4018320064597063,-1.4118938017329268,4.215557814652339,19,decreased miniature excitatory postsynaptic current frequency,brain
MP:0000953,0.3306540824891516,0.9851839815407804,-0.9997364455688147,2.9701044086503754,59,abnormal oligodendrocyte morphology,brain
MP:0004769,0.3390717443850819,0.9680359015518167,-1.0166017318505727,2.952673534954206,60,abnormal synaptic vesicle morphology,brain
MP:0013438,0.36398799221152534,1.3016414757895536,-1.5086605565593154,4.111943508138422,21,dysmyelination,brain
MP:0014371,0.36398799221152534,1.3016414757895536,-1.5086605565593154,4.111943508138422,21,abnormal miniature excitatory postsynaptic current amplitude,brain
MP:0011269,0.36398799221152534,1.3016414757895536,-1.5086605565593154,4.111943508138422,21,increased excitatory postsynaptic current amplitude,brain
MP:0020448,0.36398799221152534,1.3016414757895536,-1.5086605565593154,4.111943508138422,21,increased microglial cell activation,brain
MP:0004858,0.36398799221152534,1.3016414757895536,-1.5086605565593154,4.111943508138422,21,abnormal nervous system regeneration,brain
MP:0014489,0.3811539940743224,1.2550679197986039,-1.5537543739935389,4.063890213590747,22,abnormal cochlear sensory neuron innervation pattern,brain
MP:0020394,0.3811539940743224,1.2550679197986039,-1.5537543739935389,4.063890213590747,22,decreased neuronal precursor proliferation,brain
MP:0014377,0.3811539940743224,1.2550679197986039,-1.5537543739935389,4.063890213590747,22,abnormal excitatory postsynaptic current frequency,brain
MP:0004770,0.3980419306584585,1.210562614004992,-1.5969079331718739,4.018033161181858,23,abnormal synaptic vesicle recycling,brain
MP:0004980,0.3980419306584585,1.210562614004992,-1.5969079331718739,4.018033161181858,23,increased neuronal precursor cell number,brain
MP:0003424,0.41465209923885316,1.1679494534963855,-1.6382814207813339,3.974180327774105,24,premature neuronal precursor differentiation,brain
MP:0003204,0.4226631709247881,0.8109302162163292,-1.1713287202606266,2.793189152693285,70,decreased neuron apoptosis,brain
MP:0003203,0.42639825662677655,0.5703081745329879,-0.8350545672770842,1.97567091634306,178,increased neuron apoptosis,brain
MP:0010055,0.43092532039729203,0.7964878004583031,-1.1855705158437697,2.778546116760376,71,abnormal sensory neuron physiology,brain
MP:0001046,0.4309858944777345,1.127073910018984,-1.6780159814812903,3.932163801519258,25,abnormal enteric neuron morphology,brain
MP:0008917,0.4309858944777345,1.127073910018984,-1.6780159814812903,3.932163801519258,25,abnormal oligodendrocyte physiology,brain
MP:0020337,0.4309858944777345,1.127073910018984,-1.6780159814812903,3.932163801519258,25,abnormal pyramidal neuron dendrite morphology,brain
MP:0014380,0.44704558256816807,1.0877996450409118,-1.7162366196615122,3.8918359097433357,26,abnormal miniature inhibitory postsynaptic current amplitude,brain
MP:0000811,0.44704558256816807,1.0877996450409118,-1.7162366196615122,3.8918359097433357,26,hippocampal neuron degeneration,brain
MP:0006092,0.49361213314301033,0.9784396803926079,-1.8228698505067817,3.7797492112919975,29,abnormal olfactory sensory neuron morphology,brain
MP:0009452,0.5086097617105185,0.9444845654184846,-1.8560367483765314,3.7450058792135006,30,abnormal synaptonemal complex,brain
MP:0003245,0.5086097617105185,0.9444845654184846,-1.8560367483765314,3.7450058792135006,30,abnormal GABAergic neuron morphology,brain
MP:0005423,0.5200238268741961,0.6499432362219508,-1.3302342117463493,2.630120684190251,82,abnormal somatic nervous system physiology,brain
MP:0002945,0.5200238268741961,0.6499432362219508,-1.3302342117463493,2.630120684190251,82,abnormal inhibitory postsynaptic currents,brain
MP:0020551,0.5378445718679636,0.8798389090761827,-1.9192531958493455,3.678931014001711,32,abnormal postsynaptic density morphology,brain
MP:0001044,0.5660970064076982,0.8191071405758361,-1.9787232918703639,3.616937573022036,34,abnormal enteric nervous system morphology,brain
MP:0001081,0.568437313748895,-0.8094477964201268,-3.5910312738069865,1.972135680966733,172,abnormal cranial ganglia morphology,brain
MP:0010762,0.5798669588203667,0.7900660260551664,-2.007187452465005,3.587319504575338,35,abnormal microglial cell activation,brain
MP:0002913,0.5934059262751087,0.7618415685703326,-2.0348668998402943,3.5585500369809595,36,abnormal PNS synaptic transmission,brain
MP:0011270,0.6067187916815568,0.7343890109930573,-2.0618038096499722,3.530581831636087,37,decreased excitatory postsynaptic current amplitude,brain
MP:0001105,0.6453490206516268,0.6562667021266257,-2.138533394921195,3.4510667991744466,40,abnormal PNS glial cell morphology,brain
MP:0000136,0.6568851958380306,0.4483052667846579,-1.5296937529137375,2.4263042864830533,100,abnormal microglial cell morphology,brain
MP:0000938,0.7056511792428672,0.5382156633598019,-2.254674760322303,3.3311060870419067,45,motor neuron degeneration,brain
MP:0002912,0.7067149677878553,0.3796096078859499,-1.5977415907853205,2.35696080655722,107,abnormal excitatory postsynaptic potential,brain
MP:0003202,0.7155437983390714,0.2609216435737469,-1.1423929051740764,1.6642361923215703,241,abnormal neuron apoptosis,brain
MP:0004101,0.7171394835018985,0.516183147398781,-2.276375026127297,3.308741320924859,46,abnormal brain interneuron morphology,brain
MP:0002915,0.7531282602197271,-0.44664227933256306,-3.2299647822548523,2.336680223589726,120,abnormal synaptic depression,brain
MP:0004981,0.7719475613980108,0.41273082183458243,-2.378361071198924,3.203822714868089,51,decreased neuronal precursor cell number,brain
MP:0001900,0.8028622252532303,0.35541151989196074,-2.43493064422295,3.1457536840068716,54,impaired synaptic plasticity,brain
MP:0003690,0.8069021110411791,0.24645107556868062,-1.7297638281573666,2.222665979294728,122,abnormal glial cell physiology,brain
MP:0021010,0.8227100025551735,0.31893660260362466,-2.470950271011887,3.1088234762191362,56,impaired synaptic physiology,brain
MP:0011267,0.8227100025551735,0.31893660260362466,-2.470950271011887,3.1088234762191362,56,abnormal excitatory postsynaptic current amplitude,brain
MP:0003648,0.8227100025551735,0.31893660260362466,-2.470950271011887,3.1088234762191362,56,abnormal radial glial cell morphology,brain
MP:0002272,0.8404986220806845,-0.14390373408926393,-1.545335364696508,1.2575278965179801,358,abnormal nervous system electrophysiology,brain
MP:0002751,0.8934627593923692,-0.19029783098143938,-2.9752893403428935,2.5946936783800147,93,abnormal autonomic nervous system morphology,brain
MP:0003691,0.9052016016458083,0.16941815195804644,-2.618765980165379,2.9576022840814717,65,abnormal microglial cell physiology,brain
MP:0000937,0.9333285418795445,-0.0842554378212963,-2.0582220289528816,1.8897111533102893,169,abnormal motor neuron morphology,brain
MP:0000921,0.9373735193489925,-0.11166948211186067,-2.8972645256466745,2.673925561422953,86,demyelination,brain
MP:0004859,0.9851870976334244,-0.026394027792649766,-2.812699395869971,2.7599113402846713,79,abnormal synaptic plasticity,brain
MP:0004979,0.9855337942014567,0.02578051083816746,-2.7609901919264965,2.8125512136028314,75,abnormal neuronal precursor cell number,brain
MP:0003871,0.9929956144635836,0.01248158848848746,-2.774168195879695,2.79913137285667,76,abnormal myelin sheath morphology,brain
MP:0000939,0.9929956144635836,0.01248158848848746,-2.774168195879695,2.79913137285667,76,decreased motor neuron number,brain
