,increased synaptic depression:-log(OR_p),increased synaptic depression:log_OR,increased synaptic depression:num_genes,increased synaptic depression:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,decreased susceptibility to dopaminergic neuron neurotoxicity:-log(OR_p),decreased susceptibility to dopaminergic neuron neurotoxicity:log_OR,decreased susceptibility to dopaminergic neuron neurotoxicity:num_genes,decreased susceptibility to dopaminergic neuron neurotoxicity:gene_ids,neuronal intranuclear inclusions:-log(OR_p),neuronal intranuclear inclusions:log_OR,neuronal intranuclear inclusions:num_genes,neuronal intranuclear inclusions:gene_ids,decreased neuron apoptosis:-log(OR_p),decreased neuron apoptosis:log_OR,decreased neuron apoptosis:num_genes,decreased neuron apoptosis:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,abnormal synaptic depression:-log(OR_p),abnormal synaptic depression:log_OR,abnormal synaptic depression:num_genes,abnormal synaptic depression:gene_ids,abnormal neuron physiology:-log(OR_p),abnormal neuron physiology:log_OR,abnormal neuron physiology:num_genes,abnormal neuron physiology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C118,8.252230595017235,3.8056470170874572,3,PCLO PSEN1 SYT1,7.9003570411840185,2.7072998929047296,5,APOE HSPA4 PRNP PSEN1 TNFRSF1A,5.841673700468971,2.262472341225725,5,APOE PRNP PSEN1 SOD1 TNFRSF1A,5.523846890029612,1.6478854732620292,9,APOE ATRN LAMC1 LYST PRNP PSEN1 SNCA SOD1 TNFRSF1A,5.519139608847488,3.678454936778053,2,SNCA TNFRSF1A,5.3250888952962265,3.5730409551913773,2,PRNP SNCA,5.308657369316959,2.3953511850879234,4,BAX CASP9 SNCA TNFRSF1A,5.245402242704417,1.524046522469753,10,ALDH5A1 APOE ATRN LAMC1 LYST PRNP PSEN1 SNCA SOD1 TNFRSF1A,5.022915432813403,2.0703422978247223,5,B2M PCLO PSEN1 SV2B SYT1,4.307607049971125,1.2540856787896342,12,BAX BBC3 CASP9 FTH1 LRP8 PRNP PSEN1 SLC9A9 SNCA SOD1 SYT1 TNFRSF1A,CD_1E_mineral_abs-FTLD systems map,0,2,0.0,0.018691588785046728,0.0,0.9813084112149533
C119,-0.0,0.0,0,,1.1852716241861228,1.8782365154542386,1,HSPA4,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.002329001148740044,-0.0067870492647390535,1,ALDH5A1,-0.0,0.0,0,,0.19464740462168298,-0.4750699983623523,1,SLC9A9,Regulation of HSF1-mediated heat shock response,0,1,0.0,0.022222222222222223,0.0,0.9777777777777777
C120,7.765018339128018,4.3846407362985484,2,PCLO SYT1,3.8078641611348387,2.787986065461366,2,APOE TNFRSF1A,5.365294986545745,2.8040295905948973,3,APOE SOD1 TNFRSF1A,5.024424514771356,2.139854838078726,5,APOE ATRN LAMC1 SOD1 TNFRSF1A,3.6640141750459128,3.926618671276037,1,TNFRSF1A,-0.0,0.0,0,,1.2927451514560295,1.9919493312363041,1,TNFRSF1A,4.087570663245682,1.9005014988798248,5,APOE ATRN LAMC1 SOD1 TNFRSF1A,7.368931491394102,2.940802611523056,4,B2M PCLO SV2B SYT1,1.5725571696486582,1.1741474308080715,4,FTH1 SOD1 SYT1 TNFRSF1A,iron ion transport,0,1,0.0,0.02631578947368421,0.0,0.9736842105263158
C124,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.7293364556256254,1.3813035728503333,1,ALDH5A1,-0.0,0.0,0,,-0.0,0.0,0,,Regulation of HSF1-mediated heat shock response,0,1,0.0,0.08333333333333333,0.0,0.9166666666666666
C122,-0.0,0.0,0,,2.1997630127250516,2.830654843646659,1,APOE,1.7021762015928819,2.408106023592195,1,APOE,0.6000387425963989,1.182493095839252,1,APOE,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.44534177774854045,0.9456591485844239,1,APOE,1.5029140634156095,2.2230324612920924,1,B2M,0.19183467702070361,0.47739582367590216,1,FTH1,transition metal ion transport,0,1,0.0,0.05555555555555555,0.0,0.9444444444444444
C126,-0.0,0.0,0,,2.8363027882605993,3.3616566172979496,1,APOE,2.2774313406271216,2.9391084761395003,1,APOE,0.9880644976283347,1.7135002885760056,1,APOE,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.7969458919306804,1.476668134469394,1,APOE,-0.0,0.0,0,,0.4728162734748843,1.0084098878439711,1,FTH1,transition metal ion transport,0,1,0.0,0.09090909090909091,0.0,0.9090909090909091
C136,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.3204291473345586,2.1700871797511283,1,ALDH5A1,-0.0,0.0,0,,-0.0,0.0,0,,C136,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C138,-0.0,0.0,0,,3.6290953771853465,4.055070514313213,1,APOE,3.017865663577169,3.632522857769839,1,APOE,1.5496615859742036,2.4069180538712116,1,APOE,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.3204291473345586,2.1700871797511283,1,APOE,-0.0,0.0,0,,-0.0,0.0,0,,C138,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C155,-0.0,0.0,0,,4.073710476857645,4.566002804745972,1,APOE,3.4552360482273556,4.143455341976196,1,APOE,1.935489248385824,2.9178518910341262,1,APOE,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.691301457306355,2.6810215287142913,1,APOE,-0.0,0.0,0,,-0.0,0.0,0,,C155,0,1,0.0,0.25,0.0,0.75
