,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal synaptic vesicle morphology:-log(OR_p),abnormal synaptic vesicle morphology:log_OR,abnormal synaptic vesicle morphology:num_genes,abnormal synaptic vesicle morphology:gene_ids,abnormal nervous system dopamine level:-log(OR_p),abnormal nervous system dopamine level:log_OR,abnormal nervous system dopamine level:num_genes,abnormal nervous system dopamine level:gene_ids,hypermyelination:-log(OR_p),hypermyelination:log_OR,hypermyelination:num_genes,hypermyelination:gene_ids,abnormal synaptic vesicle clustering:-log(OR_p),abnormal synaptic vesicle clustering:log_OR,abnormal synaptic vesicle clustering:num_genes,abnormal synaptic vesicle clustering:gene_ids,motor neuron degeneration:-log(OR_p),motor neuron degeneration:log_OR,motor neuron degeneration:num_genes,motor neuron degeneration:gene_ids,abnormal sympathetic neuron morphology:-log(OR_p),abnormal sympathetic neuron morphology:log_OR,abnormal sympathetic neuron morphology:num_genes,abnormal sympathetic neuron morphology:gene_ids,abnormal synaptic vesicle number:-log(OR_p),abnormal synaptic vesicle number:log_OR,abnormal synaptic vesicle number:num_genes,abnormal synaptic vesicle number:gene_ids,abnormal Bergmann glial cell morphology:-log(OR_p),abnormal Bergmann glial cell morphology:log_OR,abnormal Bergmann glial cell morphology:num_genes,abnormal Bergmann glial cell morphology:gene_ids,abnormal cholinergic neuron morphology:-log(OR_p),abnormal cholinergic neuron morphology:log_OR,abnormal cholinergic neuron morphology:num_genes,abnormal cholinergic neuron morphology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C168,3.924043410577071,2.0082960558703986,4,ABCC1 APOE APP NR1H3,2.5830751091021575,1.7987740126393188,3,APOE B2M CDH2,1.6815983330823017,2.4308817717946773,1,CDH2,1.6815983330823017,2.4308817717946773,1,EPB41L3,1.6815983330823017,2.4308817717946773,1,CDH2,1.6626405882181738,1.6697586770241593,2,APAF1 BCL2,1.589053743980846,2.3355179568700626,1,BCL2,1.469031320908106,1.5388160699710607,2,B2M CDH2,1.4294320453898683,2.168356593335366,1,PTK2,1.3599799075817658,2.0941949774297886,1,APP,CD_1G_mito-AD systems map,2,3,0.012121212121212121,0.01818181818181818,0.0,0.9696969696969697
C169,6.403535130653608,2.675046165243537,4,ABCC1 APOE APP NR1H3,2.2701007684841104,2.024993923524227,2,APOE CDH2,2.4583198843095,3.080575604354599,1,CDH2,2.4583198843095,3.080575604354599,1,EPB41L3,2.4583198843095,3.080575604354599,1,CDH2,-0.0,0.0,0,,-0.0,0.0,0,,0.8294387047175704,1.4689989967781845,1,CDH2,-0.0,0.0,0,,2.0769514800123203,2.743889703932563,1,APP,cholesterol transport,2,3,0.022988505747126436,0.034482758620689655,0.0,0.9425287356321839
C174,4.541318637076358,3.113942568349538,2,APOE NR1H3,4.786181934545206,3.2127029657611192,2,APOE CDH2,4.158570109678032,4.242232284366184,1,CDH2,-0.0,0.0,0,,4.158570109678032,4.242232284366184,1,CDH2,5.5565112810636474,3.5127462234878513,2,APAF1 BCL2,4.024941388009463,4.146868860678238,1,BCL2,1.978468651170527,2.6306624022512928,1,CDH2,3.788130631871941,3.9797082797423418,1,PTK2,-0.0,0.0,0,,C174,0,1,0.0,0.03571428571428571,0.0,0.9642857142857143
C182,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C182,1,0,0.09090909090909091,0.0,0.0,0.9090909090909091
C171,5.360397544896204,2.784369702521066,3,APOE APP NR1H3,3.0779343450920975,2.4438451629902262,2,APOE CDH2,3.021636841595788,3.493419331548143,1,CDH2,-0.0,0.0,0,,3.021636841595788,3.493419331548143,1,CDH2,-0.0,0.0,0,,-0.0,0.0,0,,1.1892044086860216,1.8818460350013186,1,CDH2,-0.0,0.0,0,,2.604375974627622,3.156733761592788,1,APP,C171,1,2,0.017241379310344827,0.034482758620689655,0.0,0.9482758620689655
C175,4.631389254502394,3.153216676061927,2,ABCC1 NR1H3,-0.0,0.0,0,,-0.0,0.0,0,,4.218931203541117,4.280025853397891,1,EPB41L3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,ATPase-coupled transmembrane transporter activity,1,1,0.037037037037037035,0.037037037037037035,0.0,0.9259259259259259
C178,2.3478344730649097,2.9559247215778193,1,APOE,6.229782647047827,3.8323825157046993,2,APOE CDH2,5.11118912800603,4.830657654846755,1,CDH2,-0.0,0.0,0,,5.11118912800603,4.830657654846755,1,CDH2,-0.0,0.0,0,,-0.0,0.0,0,,2.6956743032120603,3.219089135449214,1,CDH2,-0.0,0.0,0,,-0.0,0.0,0,,C178,0,1,0.0,0.0625,0.0,0.9375
C172,1.3519560448177566,2.0518822982390343,1,APP,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.2115693880529568,3.5899333286337747,1,APP,C172,1,1,0.02631578947368421,0.02631578947368421,0.0,0.9473684210526316
C184,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C184,1,0,0.1,0.0,0.0,0.9
C180,6.671126722317379,4.07030798439386,2,ABCC1 NR1H3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,cholesterol efflux,0,1,0.0,0.08333333333333333,0.0,0.9166666666666666
