,abnormal cranial ganglia morphology:-log(OR_p),abnormal cranial ganglia morphology:log_OR,abnormal cranial ganglia morphology:num_genes,abnormal cranial ganglia morphology:gene_ids,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,abnormal miniature inhibitory postsynaptic current amplitude:-log(OR_p),abnormal miniature inhibitory postsynaptic current amplitude:log_OR,abnormal miniature inhibitory postsynaptic current amplitude:num_genes,abnormal miniature inhibitory postsynaptic current amplitude:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,decreased sensory neuron number:-log(OR_p),decreased sensory neuron number:log_OR,decreased sensory neuron number:num_genes,decreased sensory neuron number:gene_ids,decreased neuron number:-log(OR_p),decreased neuron number:log_OR,decreased neuron number:num_genes,decreased neuron number:gene_ids,decreased miniature inhibitory postsynaptic current amplitude:-log(OR_p),decreased miniature inhibitory postsynaptic current amplitude:log_OR,decreased miniature inhibitory postsynaptic current amplitude:num_genes,decreased miniature inhibitory postsynaptic current amplitude:gene_ids,increased excitatory postsynaptic current amplitude:-log(OR_p),increased excitatory postsynaptic current amplitude:log_OR,increased excitatory postsynaptic current amplitude:num_genes,increased excitatory postsynaptic current amplitude:gene_ids,abnormal neuron number:-log(OR_p),abnormal neuron number:log_OR,abnormal neuron number:num_genes,abnormal neuron number:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C256,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C256,0,1,0.0,0.25,0.0,0.75
C270,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C270,0,1,0.0,0.25,0.0,0.75
C244,2.130244075854994,2.899749352890387,1,NTRK1,-0.0,0.0,0,,-0.0,0.0,0,,0.20519836781428574,0.5304531657076126,1,NTRK1,1.9404585070008777,2.7364974356774088,1,NTRK1,1.1140635331975535,1.9125424798619015,1,NTRK1,-0.0,0.0,0,,-0.0,0.0,0,,0.9650552749326993,1.7355864389462425,1,NTRK1,-0.0,0.0,0,,C244,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C251,-0.0,0.0,0,,2.8120024745597108,3.55112808246976,1,PFN2,-0.0,0.0,0,,0.3951320402014821,0.9360350007915148,1,PFN2,-0.0,0.0,0,,1.416673598415424,2.3181165085670568,1,PFN2,-0.0,0.0,0,,-0.0,0.0,0,,1.254414485785562,2.141160974203392,1,PFN2,-0.0,0.0,0,,C251,0,1,0.0,0.2,0.0,0.8
C232,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.025935126795044196,-0.07597451492615725,1,NSF,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,COPII-mediated vesicle transport,0,1,0.0,0.08333333333333333,0.0,0.9166666666666666
C238,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.8729621609162215,1.224195761587323,2,SLC19A3 SLC23A2,-0.0,0.0,0,,0.9984700850884405,1.758337335286937,1,SLC19A3,-0.0,0.0,0,,-0.0,0.0,0,,0.8557192479613205,1.5813810410538025,1,SLC19A3,-0.0,0.0,0,,C238,1,0,0.125,0.0,0.0,0.875
C234,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,vesicle tethering complex,0,1,0.0,0.09090909090909091,0.0,0.9090909090909091
C236,1.8525208075969917,2.611959990057086,1,SOD1,-0.0,0.0,0,,-0.0,0.0,0,,0.0866662034754491,0.24265435265331803,1,SOD1,1.6726505622487964,2.448707899897384,1,SOD1,0.8998186880733059,1.6247514749481375,1,SOD1,-0.0,0.0,0,,-0.0,0.0,0,,0.7629083233523697,1.4477949273698663,1,SOD1,0.945147460798356,1.6806168662212393,1,SOD1,alcohol dehydrogenase [NAD(P)+] activity,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C258,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5385849367819804,1.2237754316221157,1,NSF,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,syntaxin binding,0,1,0.0,0.25,0.0,0.75
C249,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C249,1,1,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666667
C272,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C272,0,1,0.0,0.25,0.0,0.75
