,abnormal microglial cell activation:-log(OR_p),abnormal microglial cell activation:log_OR,abnormal microglial cell activation:num_genes,abnormal microglial cell activation:gene_ids,decreased excitatory postsynaptic current frequency:-log(OR_p),decreased excitatory postsynaptic current frequency:log_OR,decreased excitatory postsynaptic current frequency:num_genes,decreased excitatory postsynaptic current frequency:gene_ids,abnormal microglial cell physiology:-log(OR_p),abnormal microglial cell physiology:log_OR,abnormal microglial cell physiology:num_genes,abnormal microglial cell physiology:gene_ids,decreased neuron apoptosis:-log(OR_p),decreased neuron apoptosis:log_OR,decreased neuron apoptosis:num_genes,decreased neuron apoptosis:gene_ids,increased microglial cell activation:-log(OR_p),increased microglial cell activation:log_OR,increased microglial cell activation:num_genes,increased microglial cell activation:gene_ids,impaired neuronal migration:-log(OR_p),impaired neuronal migration:log_OR,impaired neuronal migration:num_genes,impaired neuronal migration:gene_ids,abnormal excitatory postsynaptic current frequency:-log(OR_p),abnormal excitatory postsynaptic current frequency:log_OR,abnormal excitatory postsynaptic current frequency:num_genes,abnormal excitatory postsynaptic current frequency:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal NMDA-mediated synaptic currents:-log(OR_p),abnormal NMDA-mediated synaptic currents:log_OR,abnormal NMDA-mediated synaptic currents:num_genes,abnormal NMDA-mediated synaptic currents:gene_ids,abnormal retina neuronal layer morphology:-log(OR_p),abnormal retina neuronal layer morphology:log_OR,abnormal retina neuronal layer morphology:num_genes,abnormal retina neuronal layer morphology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C88,3.96483398764299,2.859600099229411,2,CLN3 MAN2C1,2.7002418173409994,3.2509722588589725,1,CLSTN1,2.6478270356473024,2.227422929185394,2,CLN3 MAN2C1,2.472472809040535,2.1347285474077857,2,APAF1 PANX1,1.9929158211605673,2.6526549378806425,1,CLN3,1.9929158211605673,2.6526549378806425,1,APAF1,1.9375173195259023,2.6038113905535845,1,CLSTN1,1.922733223397192,0.8034911728550522,12,ABCD2 APAF1 C3AR1 CLN3 CLSTN1 GAS7 MAN2C1 PANX1 PLXNA3 PPFIA3 RDX SORBS2,1.885163552682791,2.557237988911151,1,CLSTN1,1.8526320654940964,1.1476715620548426,5,APAF1 C3AR1 CLN3 IRF3 PANX1,CD_1F_perox-AD systems map,1,2,0.014925373134328358,0.029850746268656716,0.0,0.9552238805970149
C89,5.417334198652789,3.452016377280305,2,CLN3 MAN2C1,3.5365554049004873,3.8312552192238787,1,CLSTN1,3.880531610231456,2.8198416070903267,2,CLN3 MAN2C1,1.2927451514560295,1.9919493312363041,1,APAF1,2.7354744855499162,3.2329386404876805,1,CLN3,2.7354744855499162,3.2329386404876805,1,APAF1,2.6715665345773214,3.184095175675963,1,CLSTN1,2.5996734770182837,1.1555713205913367,9,ABCD2 APAF1 C3AR1 CLN3 CLSTN1 MAN2C1 PLXNA3 PPFIA3 RDX,2.6110079792214593,3.137521856557676,1,CLSTN1,2.391137691969404,1.5246975371983993,4,APAF1 C3AR1 CLN3 IRF3,C89,0,1,0.0,0.02631578947368421,0.0,0.9736842105263158
C90,2.367142974433336,2.9456126256068416,1,CLN3,-0.0,0.0,0,,1.6352343778661982,2.327291055382503,1,CLN3,1.5371995188730587,2.235998832824535,1,PANX1,3.074879602505978,3.4769870260400904,1,CLN3,-0.0,0.0,0,,-0.0,0.0,0,,0.8370952685847508,0.7140489275018709,5,CLN3 GAS7 PANX1 RDX SORBS2,-0.0,0.0,0,,0.7863138880864993,1.0217786279537844,2,CLN3 PANX1,C90,1,1,0.03333333333333333,0.03333333333333333,0.0,0.9333333333333333
C91,2.4116700704117613,2.9807572602689767,1,CLN3,-0.0,0.0,0,,1.6728583291483896,2.3624357726040106,1,CLN3,1.5737766808829192,2.2711435671592266,1,PANX1,3.1248521434781864,3.5121316209372786,1,CLN3,-0.0,0.0,0,,-0.0,0.0,0,,0.10252960336635478,0.1627515511969282,3,CLN3 PANX1 RDX,-0.0,0.0,0,,0.8251761298222454,1.0582008587673215,2,CLN3 PANX1,C91,1,1,0.034482758620689655,0.034482758620689655,0.0,0.9310344827586207
C94,3.2415028520624842,3.605604403862184,1,CLN3,-0.0,0.0,0,,2.388187562025314,2.9872839886679365,1,CLN3,2.271563560506222,2.895992005528319,1,APAF1,4.04347617844192,4.136978247971623,1,CLN3,4.04347617844192,4.136978247971623,1,APAF1,-0.0,0.0,0,,0.7413117906442321,0.8566580997655606,3,APAF1 CLN3 RDX,-0.0,0.0,0,,1.6290739458007726,1.7156897504912951,2,APAF1 CLN3,C94,0,1,0.0,0.0625,0.0,0.9375
C99,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.8729621609162215,1.224195761587323,2,GAS7 SORBS2,-0.0,0.0,0,,-0.0,0.0,0,,C99,0,1,0.0,0.125,0.0,0.875
C93,2.993435945721221,3.4231230047789474,1,CLN3,-0.0,0.0,0,,2.171607573870565,2.804802342223436,1,CLN3,2.059845462406279,2.713510307810008,1,PANX1,3.7713157827866093,3.9544969680307815,1,CLN3,-0.0,0.0,0,,-0.0,0.0,0,,0.09277500549556364,0.18209964472861984,2,CLN3 PANX1,-0.0,0.0,0,,1.3743318373692113,1.521370083321063,2,CLN3 PANX1,C93,1,0,0.05263157894736842,0.0,0.0,0.9473684210526316
C97,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C97,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C101,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C101,1,0,0.125,0.0,0.0,0.875
C105,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C105,0,1,0.0,0.2,0.0,0.8
C109,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C109,1,0,0.25,0.0,0.0,0.75
