GENE
RUNX3
PSMB2
INPP5B
PGM1
NOTCH2
PTPRC
BATF3
2p24
BCL11A
SEPT2
IRF2
CAMK4
IRF1
IRF4
ITGB8
CFTR
TOX
COLEC10
AGO2
CEL
GATA3
PRF1
CDKN1C
EMSY
FLI1
KLRG1
AKAP11
GP2
16q23
NEURL4
PRR15L
17q24
AIRE
