Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C278,PELI3 WDR45 SQSTM1 WASHC1 CHDH SEZ6 PLD4 EPDR1 TRIM50 TSPAN7 ABTB2,C278,,,,0,0,0,0.0,0.0,0.09090909090909091,0.9090909090909091
C283,THRAP3 ATRN MEGF8 ATXN7 KLC1 RNF31 APBB2 TXNDC11 USF1,C283,,,,1,0,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C285,CHFR DMXL2 ATRN MEGF8 C1QTNF2 USP3 ATXN7 RNF31 TXNDC11,C285,,,,1,0,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C326,KIFAP3 CHN1 SERPINI1 LMBRD1,C326,,,,1,0,0,0.25,0.0,0.0,0.75
C268,XKR4 KCNB2 KCNJ6 OLIG1 KCNC2 KCNF1 PGBD3 SLC4A10 GRIA2 C2orf40 NELL2 KCNQ3 DGKB SOWAHD DOCK5 SLC12A5 PLCH1 KCNA2 HEPN1 DGKI OPALIN ASTN1 NTRK2 ATP1B2 SYT4 KCND2 GRIA1 VSNL1 KCNV1 GRIK5 FXYD7 ERCC2 GABBR2 KCNA1 SLC1A2 CHN1 TMEM144 CREG2 KLHL32 KCNB1 GPR158 RBFOX1 HPCAL4 KCNH2 AMER2 KCNJ10,Potassium Channels,3.134786537298706e-17,0.1262135922330097,13.0,2,0,0,0.043478260869565216,0.0,0.0,0.9565217391304348
C302,SCAMP5 LHFPL3 UNC13A SYT4 GPR158,C302,,,,0,1,1,0.0,0.2,0.0,0.8
C272,DCP1B DMXL2 HINFP FKBP7 IRF2BP1 ETV6 DOCK10 ARHGEF3 CASP8 CHFR USP3 KHNYN IRF2BP2 IRF2BPL ARRDC3 IRF2 PTPRS C1QTNF2 MAFB,C272,,,,1,1,1,0.05263157894736842,0.05263157894736842,0.0,0.8947368421052632
C291,OPALIN OLIG1 TMEM144 DOCK5 HEPN1 PGBD3 ERCC2,C291,,,,1,0,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C318,XKR4 GABBR2 SYT4 GPR158,C318,,,,1,0,0,0.25,0.0,0.0,0.75
C274,CHCHD10 MCRIP2 PHPT1 MIEN1 NAXE ABHD14B TRAPPC1 PRADC1 TRPT1 AC011448.1 FIZ1 HINT2 MPND NDUFA11,C274,,,,1,1,1,0.07142857142857142,0.07142857142857142,0.0,0.8571428571428572
C282,IRF2BP2 IRF2 DCP1B CASP8 HINFP IRF2BP1 ETV6 KHNYN IRF2BPL,C282,,,,1,1,1,0.1111111111111111,0.1111111111111111,0.0,0.7777777777777778
C298,WDR45 SQSTM1 WASHC1 EPDR1 ABTB2,C298,,,,0,0,0,0.0,0.0,0.2,0.8
C287,CHCHD10 NAXE ABHD14B FIZ1 TRPT1 AC011448.1 PRADC1 HINT2,C287,,,,1,1,1,0.125,0.125,0.0,0.75
C284,RAB6C LGI3 OLIG1 RAB40B TMEM144 DOCK5 PGBD3 KIAA0930 ERCC2,C284,,,,1,0,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C312,IRF2BP1 IRF2BP2 DCP1B IRF2BPL,C312,,,,1,0,0,0.25,0.0,0.0,0.75
C297,ATRN MEGF8 ATXN7 RNF31 TXNDC11,C297,,,,1,0,0,0.2,0.0,0.0,0.8
C303,OLIG1 TMEM144 DOCK5 PGBD3 ERCC2,C303,,,,1,0,0,0.2,0.0,0.0,0.8
