,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal sphingomyelin level:-log(OR_p),abnormal sphingomyelin level:log_OR,abnormal sphingomyelin level:num_genes,abnormal sphingomyelin level:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,loss of dopaminergic neurons:-log(OR_p),loss of dopaminergic neurons:log_OR,loss of dopaminergic neurons:num_genes,loss of dopaminergic neurons:gene_ids,dysmyelination:-log(OR_p),dysmyelination:log_OR,dysmyelination:num_genes,dysmyelination:gene_ids,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C241,1.6742721532302467,1.3963122360592184,3,CERS1 CLN8 ELOVL4,-0.0,0.0,0,,13.259690859875747,5.0752093259669495,3,CERS4 ELOVL1 SPTLC2,0.3268183490976021,-0.7314375882973092,1,ELOVL4,0.3306519388411958,-0.738281743227061,1,ELOVL4,1.0327296262519559,1.7140494846021497,1,CERS6,0.27791956706680093,-0.6416497408379609,1,ELOVL4,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,ceramide biosynthetic process,0,2,0.0,0.05714285714285714,0.0,0.9428571428571428
C258,0.945147460798356,1.6806168662212393,1,POLG,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C258,0,2,0.0,0.2222222222222222,0.0,0.7777777777777778
C244,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.29612858012843957,0.4940529989671827,2,FMR1 GDNF,0.2910773471209564,0.48720321036694614,2,FMR1 GDNF,-0.0,0.0,0,,0.05722361356177503,-0.15908121424425303,1,FMR1,-0.0,0.0,0,,-0.0,0.0,0,,1.183820767632715,1.8919895760269316,1,FMR1,C244,0,1,0.0,0.045454545454545456,0.0,0.9545454545454546
C259,-0.0,0.0,0,,3.259523322628966,3.7184915996462413,1,TMEM175,-0.0,0.0,0,,4.116237098774549,2.799392624234345,4,AAK1 CLTB HIP1R TMEM175,4.098689498079302,2.7925312668044624,4,AAK1 CLTB HIP1R TMEM175,-0.0,0.0,0,,4.350010058509171,2.8894182818431116,4,AAK1 CLTB HIP1R TMEM175,5.411402735895349,5.062222662886749,1,TMEM175,-0.0,0.0,0,,-0.0,0.0,0,,clathrin binding,0,3,0.0,0.375,0.0,0.625
C296,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.286557132609024,2.7976535495685146,2,ADAP1 HIP1R,2.2773772502968024,2.7908041621311224,2,ADAP1 HIP1R,-0.0,0.0,0,,2.4087170320411935,2.8875143729786776,2,ADAP1 HIP1R,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C296,0,1,0.0,0.25,0.0,0.75
C271,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5548645451098926,1.187121824024418,1,MAPK3,0.5505551201242932,1.1802783160332666,1,MAPK3,-0.0,0.0,0,,0.6126706052621221,1.2769015819341263,1,MAPK3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C271,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C243,2.57726657654493,1.8669692821536845,3,CTSD GRN STUB1,5.033659954997232,3.3277836129379086,2,GRN STUB1,-0.0,0.0,0,,0.834559629200118,0.9004436045962905,3,GRN PTPRA TMEM222,0.8254737618180329,0.8935878587697879,3,GRN PTPRA TMEM222,7.084762159370205,3.3644478394534136,3,ACP2 CTSD GRN,0.9579201528829959,0.9903915035411242,3,GRN PTPRA TMEM222,3.7122050113512923,3.916291955347721,1,GRN,-0.0,0.0,0,,-0.0,0.0,0,,C243,0,3,0.0,0.13043478260869565,0.0,0.8695652173913043
C254,0.7821834493055984,1.4573645128179216,1,DCTN1,-0.0,0.0,0,,-0.0,0.0,0,,3.445224318640171,2.239607645874697,4,PIP5K1C PTPRA SBF1 TMEM222,3.4271725618828297,2.2327462216258356,4,PIP5K1C PTPRA SBF1 TMEM222,-0.0,0.0,0,,3.686542919880276,2.3296341390151785,4,PIP5K1C PTPRA SBF1 TMEM222,-0.0,0.0,0,,-0.0,0.0,0,,1.9100407666044508,2.6345161170560605,1,PIP5K1C,C254,0,2,0.0,0.18181818181818182,0.0,0.8181818181818181
C295,1.6721112022995561,2.661718072676212,1,ELOVL4,-0.0,0.0,0,,-0.0,0.0,0,,0.8490730354928262,1.6980602318654157,1,ELOVL4,0.8441595679343491,1.6912167684127137,1,ELOVL4,-0.0,0.0,0,,0.9147272087259011,1.7878394328479814,1,ELOVL4,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,fatty acid derivative biosynthetic process,0,1,0.0,0.25,0.0,0.75
C247,1.9984603953777362,1.9704205050087946,2,CERS1 CLN8,-0.0,0.0,0,,4.937428266128063,4.711341024133527,1,CERS4,-0.0,0.0,0,,-0.0,0.0,0,,1.9891092810372402,2.676583856752778,1,CERS6,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Sphingolipid metabolism,0,2,0.0,0.14285714285714285,0.0,0.8571428571428572
C245,-0.0,0.0,0,,2.1997630127250516,2.830654843646659,1,ATP13A2,-0.0,0.0,0,,2.188941495140151,1.5460655763016362,4,ATP1A2 CCKBR NRN1 NRXN1,2.17311857183267,1.5392039960538408,4,ATP1A2 CCKBR NRN1 NRXN1,-0.0,0.0,0,,1.3611944032764904,1.2783543565647353,3,CCKBR NRN1 NRXN1,-0.0,0.0,0,,-0.0,0.0,0,,3.829591865698985,2.8648290033357373,2,NRN1 NRXN1,C245,0,0,0.0,0.0,0.05555555555555555,0.9444444444444444
C255,0.8582080149483561,1.5627794310000382,1,ATP8A2,-0.0,0.0,0,,-0.0,0.0,0,,1.1277353374346508,1.411020817139283,2,ATP1A2 ATP9A,1.1195504251562225,1.4041712960714694,2,ATP1A2 ATP9A,-0.0,0.0,0,,0.289366405216782,0.688890424944411,1,ATP9A,-0.0,0.0,0,,-0.0,0.0,0,,2.0185677348802176,2.7399301788036983,1,ATP9A,Ion transport by P-type ATPases,0,1,0.0,0.1,0.0,0.9
C246,1.8858182376624724,1.890323385930614,2,CTSD GRN,2.4302780308662606,3.0249709562815177,1,GRN,-0.0,0.0,0,,0.05576371335180078,0.15699472103345435,1,GRN,0.053196202348783944,0.15015101249487017,1,GRN,8.521060386014582,3.875701179222503,3,ACP2 CTSD GRN,0.0906283713171377,0.24677698666695314,1,GRN,4.401127238945982,4.368702973475411,1,GRN,-0.0,0.0,0,,-0.0,0.0,0,,Lysosome,0,2,0.0,0.13333333333333333,0.0,0.8666666666666667
C278,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.0544731539165912,2.3921320541925795,2,PTPRA TMEM222,2.044949651096076,2.385282644489732,2,PTPRA TMEM222,-0.0,0.0,0,,2.1814715997962058,2.4819931560193282,2,PTPRA TMEM222,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C278,0,1,0.0,0.2,0.0,0.8
C262,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C262,0,1,0.0,0.125,0.0,0.875
C257,2.7490438649233284,2.5096890183645444,2,CTSD GRN,3.1033988724576824,3.584906863730959,1,GRN,-0.0,0.0,0,,0.30167159305222824,0.7169489948121193,1,GRN,0.2981166644465131,0.7101054199944521,1,GRN,9.79679135336585,4.56916902677253,3,ACP2 CTSD GRN,0.3495805335182578,0.8067295883475598,1,GRN,5.228742401556114,4.928638063206959,1,GRN,-0.0,0.0,0,,-0.0,0.0,0,,melanosome,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C307,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C307,0,1,0.0,0.25,0.0,0.75
C308,1.6721112022995561,2.661718072676212,1,GRN,4.073710476857645,4.566002804745972,1,GRN,-0.0,0.0,0,,0.8490730354928262,1.6980602318654157,1,GRN,0.8441595679343491,1.6912167684127137,1,GRN,3.4552360482273556,4.143455341976196,1,GRN,0.9147272087259011,1.7878394328479814,1,GRN,6.26098037155307,5.909733323189636,1,GRN,-0.0,0.0,0,,-0.0,0.0,0,,C308,0,1,0.0,0.25,0.0,0.75
C283,-0.0,0.0,0,,-0.0,0.0,0,,6.499990649044635,5.890474807557069,1,CERS4,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Sphingolipid metabolism,0,1,0.0,0.2,0.0,0.8
C256,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C256,0,2,0.0,0.2,0.0,0.8
C260,1.0456305008427367,1.8142026554514281,1,GRID1,-0.0,0.0,0,,-0.0,0.0,0,,0.37012127812968254,0.8505367906065153,1,GRID1,0.3663396129193256,0.8436932380668658,1,GRID1,-0.0,0.0,0,,0.42101148153471,0.9403171055687025,1,GRID1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,mitochondrial matrix,0,1,0.0,0.125,0.0,0.875
C293,1.6721112022995561,2.661718072676212,1,POLG,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C293,0,1,0.0,0.25,0.0,0.75
C263,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C263,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C269,1.3025238422911496,2.150783676407803,1,GRN,3.6290953771853465,4.055070514313213,1,GRN,-0.0,0.0,0,,0.5548645451098926,1.187121824024418,1,GRN,0.5505551201242932,1.1802783160332666,1,GRN,3.017865663577169,3.632522857769839,1,GRN,0.6126706052621221,1.2769015819341263,1,GRN,5.8250912046122005,5.398801305126279,1,GRN,-0.0,0.0,0,,-0.0,0.0,0,,C269,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C286,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C286,0,1,0.0,0.2,0.0,0.8
C281,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.3450061825532478,3.2040441551976215,3,AAK1 CLTB HIP1R,3.3327864945592016,3.197188810533965,3,AAK1 CLTB HIP1R,-0.0,0.0,0,,3.5074392953301814,3.2939870378471428,3,AAK1 CLTB HIP1R,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Clathrin-mediated endocytosis,0,2,0.0,0.4,0.0,0.6
C292,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,acyl-CoA metabolic process,0,1,0.0,0.25,0.0,0.75
C306,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C306,0,1,0.0,0.25,0.0,0.75
C280,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C280,0,1,0.0,0.2,0.0,0.8
C276,-0.0,0.0,0,,3.8451277768683387,4.2782674003830286,1,ATP13A2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C276,0,0,0.0,0.0,0.2,0.8
C304,1.6721112022995561,2.661718072676212,1,PARK7,-0.0,0.0,0,,-0.0,0.0,0,,0.8490730354928262,1.6980602318654157,1,PARK7,0.8441595679343491,1.6912167684127137,1,PARK7,-0.0,0.0,0,,0.9147272087259011,1.7878394328479814,1,PARK7,6.26098037155307,5.909733323189636,1,PARK7,-0.0,0.0,0,,-0.0,0.0,0,,C304,0,2,0.0,0.5,0.0,0.5
