Cluster,genes,Top.pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds,comparison
C312,STX4 FTH1 TAX1BP1 TMED10 GOLGA7 RAB7A GABARAPL2 DLST MICU1 HLA-DQA1 OR2T6 ZFAND3 TAFA3 VAMP2 SUSD4 PRSS56 PTPRN AC129492.3 TRIOBP LTBR CHKB CTSL TMEM147 CD63 P4HB TXNDC11 YPEL5 OSBPL1A NIF3L1 TGOLN2 ERGIC3 SLC12A4 C5orf15 ERP27 VAMP3 ALDOA CERS5 CERS3 GSTK1 TSPAN31 SLC26A6 TMCO3 SGCB MOSPD3 APOE ATOX1 CTSS PLD3 NPC2 LGALS8 KLC1 CD59 SLC7A7 CCDC28A SLC31A1 YIF1A YIPF5 C8orf58 CERS4 FKBP2 B3GALNT1 STX10 SLC25A1 MAN2B2 GORAB ENC1 GCH1 CHCHD5 GLMP SFXN1 CLIC1 PKD2L1 TP53I3 PLIN3 HRNR SND1 TRADD GNPTG NAGA TMEM132E AGA CERS6 SNAPIN SCAMP2 GPR137B TMEM59 OS9 DAZAP2 NUCB1 GLRX FTL LRP10 CLEC4G DST PFKL SKAP2 MCOLN3 ZDHHC24 SLC24A4 TMEM115 ANXA5 GOT2 HPSE DUSP3 CEBPB MAP7D1 PSEN1 LGALS3 OSBPL2 NME2P1 FBXO3 TET2 DNPEP TBCC SPTLC2 ATP13A2 ANXA6 MAGED2 COG5 AREL1 BAX INPP5A TMED9 SPNS1 MVP TOM1 TPD52L2 SLC8B1 ANXA3 RFNG NDRG2 KDELR2 ATP6V1G1 GLG1 THEMIS2 HS1BP3 DEFA1A3 SRI YIF1B ATG3 INPP1 ARF3 ZFP92 SLC12A6 FNDC3B VAMP8 ODAPH STARD3NL RRBP1 SLC22A18 PRXL2A PCBP2 RELCH BCAP29 ITM2B TCIRG1 SLC12A9 PINK1 IMMT CERS2 ETHE1 GPX1 MICOS13 ATP2B1 ANXA11 NADSYN1 P2RX5-TAX1BP3 FAM20C ZBTB43 ARSG CLIP1 MAN2A1 SEC61A1 CKAP4 SLC4A2 PIGV VPS9D1 KLRA1P AGRN FAM102A TRPM4 SEC22B TCTA DERL1 MAN1A1 PDIA6 RTN3 GANAB GYG1 NFKBIL1 TRIP13 TMBIM1 CALR AP1B1 RNASEH1P1 CASP7 PDIA4 PDIA5 FES CDK5 ATP6AP2 STXBP2 ZDHHC7 MGST2 WDTC1 SLC18A1 DHRS3 TCN2 FPGT IGDCC4 FBXO45 WBP1L MPZL1 ALPL SPATA31A7 IL17RC KIAA0319L MFSD1 RER1 PKD1L3 SLC4A8 PHYH CD151 KCNIP3 DPH1 UAP1L1 ACCS IFI30 GSN KDELR1 CHMP2B ATP8B2 AMPD3 BLVRB A4GALT SLC25A13 FLOT2 ATP6V1B1 WIPI1 SLC16A7 ECE1 ORAI3 SGPL1 TMEM165 CFB OR8D2 PLTP DDOST GRN PCBD1 ANXA7 TMEM127 MPPE1 SERINC3 COLQ CTSD ANXA2 ATP6V1B2 ATL3 LITAF MAN1C1 ATP5F1A AOC2 SDF2 GLIPR2 BLOC1S1 GPR21 ABHD14B OSTF1 CD55 HOMER2 ATG7 B3GALT4 TBCK CST3 PLOD3 AIF1 IKBKB ARF1 IGFBP4 PORCN TMEM136 CDC23 TLR1 RNPEP NPTN GNS SLC20A2 CMTM6 SELENOM GOLT1B TESK1 ACSS2 ZBTB22 ARSA RIN2 SELENOK RTN4 TAPBP ERC2 CORO1B STX8 CNTNAP3B P2RX4 CMAS,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",3.612323448525377e-6,0.16666666666666666,9,7,4,4,0.022950819672131147,0.013114754098360656,0,0.9639344262295082,CD_1A_lyso_ALS
C321,SPATA31A7 SLC25A13 AMPD3 OR8D2 CHKB AGA CFB SPNS1 OR2T6 IGDCC4,C321,NA,NA,NA,1,0,0,0.1,0,0,0.9,CD_1A_lyso_ALS
C329,CERS6 CERS3 CERS5 CERS4 TMEM136 SPTLC2,Sphingolipid metabolism,3.457656405878377e-11,0.0925925925925926,5,0,1,1,0,0.16666666666666666,0,0.8333333333333334,CD_1A_lyso_ALS
C359,DEFA1A3 STARD3NL NME2P1 NPC2,C359,NA,NA,NA,1,0,0,0.25,0,0,0.75,CD_1A_lyso_ALS
C313,STX4 DLST MICU1 ZFAND3 TAFA3 VAMP2 SUSD4 PTPRN TRIOBP LTBR TMEM147 P4HB TXNDC11 NIF3L1 TGOLN2 ERGIC3 SLC12A4 ERP27 ALDOA GSTK1 SLC26A6 TMCO3 SGCB MOSPD3 ATOX1 PLD3 YIF1A C8orf58 FKBP2 B3GALNT1 STX10 SLC25A1 MAN2B2 CHCHD5 GLMP SFXN1 CLIC1 TP53I3 PLIN3 SND1 GNPTG NAGA SNAPIN SCAMP2 OS9 NUCB1 TMEM132E LRP10 ZDHHC24 PFKL MCOLN3 TMEM115 GOT2 DUSP3 MAP7D1 ATP13A2 DNPEP ANXA6 MAGED2 INPP5A BAX TMED9 MVP TOM1 TPD52L2 SLC8B1 RFNG NDRG2 KDELR2 GLG1 HS1BP3 YIF1B ZFP92 ARF3 SLC12A6 ODAPH RRBP1 SLC22A18 PRXL2A PCBP2 TCIRG1 SLC12A9 PINK1 CERS2 ETHE1 GPX1 MICOS13 ANXA11 NADSYN1 FAM20C SEC61A1 CKAP4 SLC4A2 PIGV AGRN FAM102A TRPM4 TCTA PDIA6 RTN3 GANAB TRIP13 NFKBIL1 CALR AP1B1 RNASEH1P1 PDIA4 PDIA5 CDK5 STXBP2 ZDHHC7 MGST2 WDTC1 SLC18A1 WBP1L ALPL IL17RC KIAA0319L RER1 SLC4A8 CD151 UAP1L1 KDELR1 ATP8B2 PCBD1 BLVRB A4GALT FLOT2 ATP6V1B1 ECE1 ORAI3 SGPL1 DDOST GRN TMEM127 CTSD ANXA2 AOC2 SDF2 BLOC1S1 GPR21 ABHD14B B3GALT4 PLOD3 IKBKB ARF1 IGFBP4 PORCN RNPEP ZBTB22 TESK1 SELENOM ARSA TAPBP CORO1B VPS9D1 ACSS2,endoplasmic reticulum-Golgi intermediate compartment,5.416027536724286e-8,0.07913669064748201,11,4,2,2,0.025477707006369428,0.012738853503184714,0,0.961783439490446,CD_1A_lyso_ALS
C314,DEFA1A3 SRI TAX1BP1 ATG3 TMED10 GORAB ENC1 GCH1 GOLGA7 FNDC3B RAB7A GABARAPL2 MFSD1 PHYH RELCH KCNIP3 BCAP29 ITM2B CHMP2B AC129492.3 WIPI1 TMEM165 GPR137B TMEM59 ANXA7 DAZAP2 GLRX YPEL5 ATP2B1 SERINC3 SKAP2 TGOLN2 ATP6V1B2 CLIP1 MAN1C1 C5orf15 MAN2A1 ANXA5 VAMP3 TSPAN31 SEC22B CD55 PSEN1 HOMER2 MAN1A1 SGCB ATG7 TBCK FBXO3 TET2 GYG1 CDC23 NPTN GNS CASP7 SLC20A2 CD59 CMTM6 AREL1 GOLT1B CCDC28A COG5 ATP6AP2 RTN4 YIPF5 ERC2 ATP6V1G1 FPGT CMAS,autophagosome membrane,9.627341170465708e-6,0.08620689655172414,5,1,1,1,0.014492753623188406,0.014492753623188406,0,0.9710144927536232,CD_1A_lyso_ALS
C318,SLC4A2 MCOLN3 SLC12A6 GPR21 SLC26A6 SLC8B1 TMCO3 LGALS8 ATP2B1 ATL3 SLC4A8 SLC24A4 PRSS56 ATP13A2 SLC12A4 SLC12A9 ATP8B2,Transport of inorganic cations/anions and amino acids/oligopeptides,3.0158614579407666e-11,0.06542056074766354,7,1,0,0,0.05882352941176471,0,0,0.9411764705882352,CD_1A_lyso_ALS
C320,SLC4A2 SLC12A6 GPR21 SLC26A6 SLC4A8 TMCO3 ATP13A2 MCOLN3 SLC12A4 SLC12A9 ATP8B2,chloride transmembrane transport,8.616775622523434e-10,0.05504587155963303,6,1,0,0,0.09090909090909093,0,0,0.9090909090909092,CD_1A_lyso_ALS
C322,A4GALT IL17RC ARSA B3GALT4 MOSPD3 VPS9D1 RFNG B3GALNT1 NFKBIL1,Glycosphingolipid metabolism,5.843131081785912e-8,0.07272727272727272,4,1,0,0,0.1111111111111111,0,0,0.8888888888888888,CD_1A_lyso_ALS
C360,GNS TMEM165 SGCB BCAP29,C360,NA,NA,NA,1,0,0,0.25,0,0,0.75,CD_1A_lyso_ALS
