Cluster,genes,Top.pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds,comparison
C275,DCTN1 FBRS TMEM270 BAG3 ZNF3 DPP10 ATN1,C275,NA,NA,NA,0,2,2,0,0.2857142857142857,0,0.7142857142857143,CD_1B_otherlipid_PD
C308,FAM131C SLC39A1 GRN SFI1,C308,NA,NA,NA,0,1,1,0,0.25,0,0.75,CD_1B_otherlipid_PD
C248,EPHA10 ZNF135 DOC2A USP6 ASIC1 PICK1 SNTA1 TBC1D10B CDH10 ATP2A1 KCNV2 FLRT1 HEXD RASL11B GP1BA MAGEC2 RET MAPK12 PYGM IQSEC3 ZNF219 CALB2 CACNB4 DYNC1I1 OMG PLA2G6 GSTM1 ACHE SIM2 FAM151B CACNA1D MAP3K9 GNAZ HPCAL4 PHYHIP SOX11 ADGRL1 MYO7A FAM131C SPTB EPHB3 MPP2 RPH3A PRKN INPP5J CACNA1B CDK19 DNAH3 NF1 WDTC1 ANKEF1 RAB26 AC138696.1 NEIL1 AAK1 TNK1 KIF1A PTPRN TMEM74B MATK PCSK2 GLIS1 SNCAIP ZNF236 STX1A,signal release,9.085825040984211e-6,0.023952095808383235,12,0,7,7,0,0.1076923076923077,0.015384615384615384,0.8769230769230769,CD_1B_otherlipid_PD
C253,CXXC1 PLD3 MTCH1 VAMP3 AP2A2 GLG1 TMEM222 CTSF NR1H2 CTSD NPC1 CTSB CTNS VAMP2 PRAF2 AP2S1 AC138894.1 DCTN1 DNAJC13 FYB2 GRN SLC39A1,clathrin-coated endocytic vesicle membrane,8.710540147445031e-6,0.05555555555555555,4,0,4,4,0,0.18181818181818185,0,0.8181818181818181,CD_1B_otherlipid_PD
C287,RALGDS ZNF843 CYSRT1 SLC39A1 GRN,C287,NA,NA,NA,0,1,1,0,0.2,0,0.8,CD_1B_otherlipid_PD
C256,FAM131C ASIC1 KIF1A SOX11 CALB2 DYNC1I1 PTPRN CDH10 OMG FLRT1 GNAZ HPCAL4 PHYHIP ADGRL1,C256,NA,NA,NA,0,2,2,0,0.14285714285714285,0,0.8571428571428572,CD_1B_otherlipid_PD
C259,GP1BA SPTB PYGM CACNB4 ATP2A1 ACHE CACNA1B FAM151B CACNA1D PCSK2 WDTC1 MYO7A,C259,NA,NA,NA,0,3,3,0,0.25,0,0.75,CD_1B_otherlipid_PD
C266,RPH3A ZNF135 DOC2A IQSEC3 RAB26 PLA2G6 TMEM74B ANKEF1 AC138696.1,C266,NA,NA,NA,0,0,0,0,0,0.1111111111111111,0.8888888888888888,CD_1B_otherlipid_PD
C286,MAGEC2 PYGM SNTA1 GSTM1 FAM151B,C286,NA,NA,NA,0,1,1,0,0.2,0,0.8,CD_1B_otherlipid_PD
C252,ASB16-AS1 SRD5A2 LSS CYB5B STAR CASP3 CD47 GSTM1 SC5D HSD11B2 HMGCR SHBG FDX1 ZBTB7C GSTA3 CYP11A1 GAS2 HSD17B3 CYP17A1 ABCG1 LDLR SREBF1,secondary alcohol biosynthetic process,1.9808007769964493e-7,0.08196721311475409,5,0,3,3,0,0.13636363636363635,0,0.8636363636363636,CD_1B_otherlipid_PD
