Cluster,genes,Top.pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds,comparison
C210,SOD1 TMED2 RAB7A PGRMC2 ATP6V1B2 PRR12 TMED10,C210,NA,NA,NA,0,1,1,0,0.14285714285714285,0,0.8571428571428572,CD_3_NBIA_ALS
C186,RASSF3 SEC31A AC048338.1 STX2 NEMP2 OSBPL6 SEC22B PCYT1B STX10 MIGA2 MSANTD1 RAB7A VAMP2 SNAP29 SCFD2 NAPSB STX3 VAPB STXBP2,SNARE complex,2.535172515668472e-10,0.1176470588235294,6,0,1,1,0,0.05263157894736842,0,0.9473684210526316,CD_3_NBIA_ALS
C187,DCTN3 CEP41 COG2 COG1 TMCO3 ATPSCKMT SPTAN1 TMEM115 MAP9 KIF13B TMED9 DCTN1 SDCCAG8 COG4 TUBGCP2 OSBPL6,COPI-mediated anterograde transport,4.086538884314272e-12,0.0784313725490196,8,0,1,1,0,0.0625,0,0.9375,CD_3_NBIA_ALS
C189,COA3 CERS2 ZFP92 HINT2 CDK5 TRPT1 FAM131C ATOX1 GRN YIF1A SFXN1 SNX11 HIGD2A RNPEP,C189,NA,NA,NA,0,1,1,0,0.07142857142857142,0,0.9285714285714286,CD_3_NBIA_ALS
C232,FA2H PHPT1 PRXL2B BCAS1,C232,NA,NA,NA,1,0,0,0.25,0,0,0.75,CD_3_NBIA_ALS
C205,NADSYN1 SLC5A6 DNPEP DUS1L TMEM129 SLC52A2 VNN3,C205,NA,NA,NA,0,1,1,0,0.14285714285714285,0,0.8571428571428572,CD_3_NBIA_ALS
C184,CERS5 WDTC1 ORMDL1 AACS HACD1 CPT1B SPTLC2 KDSR ACSS2 FA2H GADL1 CERS4 POLL CERS6 QPRT CERS2 BCKDHA CERS3 SLC27A4 SGPP2 SMIM12 SGPL1 BCAS1 TMEM136 CPT1C MCCC1 ORMDL3 SLC22A5,Sphingolipid metabolism,8.265767688516094e-14,0.16666666666666666,9,1,1,1,0.03571428571428571,0.03571428571428571,0,0.9285714285714286,CD_3_NBIA_ALS
C190,CERS6 CERS5 CERS3 ORMDL1 TMEM136 GADL1 SGPP2 HACD1 CERS4 SPTLC2 KDSR ORMDL3 SGPL1,Sphingolipid metabolism,6.988579741554828e-16,0.14814814814814814,8,0,1,1,0,0.07692307692307693,0,0.9230769230769232,CD_3_NBIA_ALS
C204,MSANTD1 RASSF3 OSBPL6 MIGA2 VAPB NEMP2 PCYT1B,C204,NA,NA,NA,0,1,1,0,0.14285714285714285,0,0.8571428571428572,CD_3_NBIA_ALS
C215,DCTN3 CEP41 MAP9 DCTN1 SDCCAG8 TUBGCP2,Recruitment of mitotic centrosome proteins and complexes,2.6403022691936786e-7,0.05,4,0,1,1,0,0.16666666666666666,0,0.8333333333333334,CD_3_NBIA_ALS
C225,CERS2 GRN FAM131C RNPEP,C225,NA,NA,NA,0,1,1,0,0.25,0,0.75,CD_3_NBIA_ALS
C209,ORMDL1 GADL1 SGPP2 HACD1 SPTLC2 ORMDL3 SGPL1,Sphingolipid metabolism,2.0528507375704415e-8,0.04901960784313725,5,0,1,1,0,0.14285714285714285,0,0.8571428571428572,CD_3_NBIA_ALS
C211,QPRT CERS2 FAM131C GRN CTSD RNF167 RNPEP,C211,NA,NA,NA,0,1,1,0,0.14285714285714285,0,0.8571428571428572,CD_3_NBIA_ALS
C217,FA2H GSTM1 ADRB2 PHPT1 PRXL2B BCAS1,C217,NA,NA,NA,1,0,0,0.16666666666666666,0,0,0.8333333333333334,CD_3_NBIA_ALS
C228,ATP6V1B2 PRR12 SOD1 TMED10,C228,NA,NA,NA,0,1,1,0,0.25,0,0.75,CD_3_NBIA_ALS
