GENE
ATP6
COX1
COX2
COX3
CYTB
LRPPRC
MT-ATP6
MT-ND
MT-TF
MT-TI
MT-TK
MT-TL1
MT-TP
ND1
ND4
ND5
ND6
POLG
RRM2B
SERAC1
SURF1
TRNC
TRNF
TRNK
TRNL1
TRNQ
TRNS1
TRNS2
TRNV
TRNW
TYMP
