GENE
AGA
ARSA
ASAH1
ATP13A2
CLN3
CLN5
CLN6
CLN8
CTSA
CTSD
FUCA1
GALC
GBA
GLB1
GM2A
GNPTAB
GNS
GUSB
HEXA
HEXB
HGSNAT
IDS
IDUA
KCTD7
MAN2B1
MANBA
MCOLN1
MFSD8
NAGA
NAGLU
NEU1
NPC1
NPC2
PPT1
PSAP
SGSH
SLC17A5
SMPD1
SUMF1
TPP1
