GENE	DLB	AD	FTLD	ALS	PD
DLAT	0.67398	0.61318	0.4182	0.49629	0.32882
DLD	0.43725	0.81058	0.28769	0.10776	0.57154
DNAJC6	0.57405	0.36179	0.63726	0.70099	0.33697
DPAGT1	0.38914	0.14597	0.58326	0.34395	0.023121
DPM1	0.86844	0.42415	0.57685	0.48761	0.6234
EIF2B1	0.14676	0.83339	0.086366	0.46295	0.25007
EIF2B2	0.81641	0.10477	0.81726	0.05137	0.88529
EIF2B3	0.9268	0.0018504	0.63169	0.49862	0.96636
EIF2B4	0.15401	0.93571	0.146	0.46822	0.20199
EIF2B5	0.33622	0.19039	0.76307	0.15256	0.55931
EPM2A	0.70646	0.2523	0.1559	0.17009	0.035826
EPRS1	0.25403	0.75276	0.65072	0.13549	0.33486
ERCC2	0.79657	0.00044504	0.030587	0.047779	0.17224
ERCC5	0.83204	0.98154	0.96014	0.75269	0.24809
ERCC6	0.28786	0.26505	0.10161	0.23663	0.14514
ERCC8	0.41619	0.076985	0.57592	0.081102	5.429e-14
FA2H	0.089853	0.29501	0.26089	0.16613	0.13031
FAH	0.22868	0.15069	0.82538	0.32673	0.44933
FAR1	0.054097	0.062253	0.42196	0.97471	0.071571
FOLR1	0.90039	0.066234	0.6283	0.6349	0.26767
FUCA1	0.34358	0.20335	0.40744	0.35292	0.56231
GABBR2	0.75546	0.298	0.63047	0.25486	0.39037
GALC	0.43259	0.22974	0.93999	0.66491	0.00022289
GAN	0.3849	0.54618	0.9897	0.80259	0.2668
GBA	0.035031	0.66935	0.1922	0.0063275	8.6534e-05
GBA2	0.52306	0.5311	0.1792	0.91511	0.11974
GCDH	0.042288	0.56898	0.33306	0.45025	0.99777
GCH1	0.39465	0.32472	0.62815	0.3338	3.1253e-14
GCSH	0.51078	0.69818	0.5317	0.11892	0.10958
GFAP	0.60869	0.39825	0.19304	0.13165	8.4329e-06
GLB1	0.88055	0.21429	0.35208	0.077255	0.61625
GLDC	0.66048	0.56603	0.288	0.24011	0.002658
GM2A	0.14659	0.91141	0.05169	0.76494	0.51846
GNPTAB	0.39155	0.70148	0.4452	0.9374	0.04192
GNS	0.11556	0.017385	0.84511	0.00091041	0.86247
GPHN	0.6748	0.31411	0.81475	0.42254	0.24173
GSS	0.83751	0.10754	0.56961	0.058166	0.14844
GUSB	0.8181	0.44226	0.79157	0.48396	0.087099
HEPACAM	0.49299	0.1119	0.63344	0.11621	0.14593
HEXA	0.58473	0.9632	0.25887	0.29106	0.016463
