GENE	DLB	AD	FTLD	ALS	PD
ACER3	0.6125	0.092497	0.19724	0.75775	0.3718
ACOX1	0.15175	0.78254	0.63351	0.12021	0.27964
ADAR	0.099646	0.072471	0.48749	0.88174	0.71377
ADPRS	0.95777	0.69928	0.76374	0.48941	0.97033
AGA	0.090406	0.48507	0.68953	0.32008	0.33731
AMT	0.6385	0.52402	0.61017	0.41685	0.37249
ARG1	0.21292	0.229	0.38299	0.58383	0.58277
ARSA	0.15379	0.43674	0.85899	0.32131	0.69159
ASAH1	0.26975	0.8893	0.015109	0.79915	0.023168
ASL	0.72029	0.24624	0.51435	0.86441	0.76049
ASPA	0.78714	0.86538	0.28289	0.98673	0.3252
ASS1	0.35216	0.27459	0.16075	0.55275	0.19216
ATM	0.25206	0.61616	0.31743	0.12103	0.64333
ATN1	0.7654	0.11569	0.72393	0.88317	0.0083491
ATP13A2	0.78842	0.10801	0.41046	0.00066625	0.1598
ATP1A2	0.52523	0.88025	0.25955	0.34839	0.084886
ATP1A3	0.73583	0.12457	0.32692	0.81089	0.096013
ATP7B	0.11978	0.28097	0.69259	0.29703	0.49136
ATXN7	0.24209	0.64256	0.37544	0.0058946	0.48735
BCKDHA	0.86486	0.86747	0.71018	0.56227	0.32666
BCKDHB	0.5095	0.6156	0.50726	0.42664	0.28803
BSCL2	0.51792	0.15246	0.90418	0.91395	0.17165
BTD	0.47908	0.018864	0.89789	0.58436	0.070451
C12orf57	0.15949	0.08379	0.86731	0.92999	0.026761
C19orf12	0.88045	0.22488	0.77523	0.19642	0.43536
CACNA1A	0.59117	0.71848	0.0026985	0.031397	0.30095
CLN3	0.81711	0.50101	0.050172	0.0065635	0.11399
CLN5	0.8184	0.38111	0.6219	0.25719	0.81514
CLN6	0.62333	0.14713	0.62389	0.29872	0.024812
CLN8	0.17794	0.55029	0.482	0.17142	7.1208e-09
CLPB	0.33285	0.72424	0.45992	0.26617	0.36075
CNP	0.36012	0.30547	0.96453	0.033572	0.84914
COASY	0.56282	0.62012	0.10378	0.85725	3.3308e-08
CPS1	0.61005	0.18355	0.56175	0.54773	0.86928
CSF1R	0.71367	0.85486	0.81591	0.35641	0.34218
CTC1	0.57778	0.45817	0.093959	0.0081237	0.078591
CTSA	0.11021	0.6662	0.45767	0.6388	0.0083461
