,abnormal glial cell physiology:-log(OR_p),abnormal glial cell physiology:log_OR,abnormal glial cell physiology:num_genes,abnormal glial cell physiology:gene_ids,hypermyelination:-log(OR_p),hypermyelination:log_OR,hypermyelination:num_genes,hypermyelination:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,abnormal oligodendrocyte physiology:-log(OR_p),abnormal oligodendrocyte physiology:log_OR,abnormal oligodendrocyte physiology:num_genes,abnormal oligodendrocyte physiology:gene_ids,abnormal microglial cell activation:-log(OR_p),abnormal microglial cell activation:log_OR,abnormal microglial cell activation:num_genes,abnormal microglial cell activation:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,abnormal retina neuronal layer morphology:-log(OR_p),abnormal retina neuronal layer morphology:log_OR,abnormal retina neuronal layer morphology:num_genes,abnormal retina neuronal layer morphology:gene_ids,abnormal ventral interneuron 3 morphology:-log(OR_p),abnormal ventral interneuron 3 morphology:log_OR,abnormal ventral interneuron 3 morphology:num_genes,abnormal ventral interneuron 3 morphology:gene_ids,abnormal parasympathetic nervous system physiology:-log(OR_p),abnormal parasympathetic nervous system physiology:log_OR,abnormal parasympathetic nervous system physiology:num_genes,abnormal parasympathetic nervous system physiology:gene_ids,increased oligodendrocyte number:-log(OR_p),increased oligodendrocyte number:log_OR,increased oligodendrocyte number:num_genes,increased oligodendrocyte number:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C95,5.114980832807421,2.3462043484944237,4,APOE CP ITGA7 MAN2C1,2.8579224356133577,3.377214152816295,1,ITGA7,1.9059248368194937,1.2977915595435903,4,APOE CP ITGB8 WASL,1.8237325571392384,2.5009982705882745,1,MAN2C1,1.4525663187882327,2.1521575594324354,1,MAN2C1,1.3861803207689571,1.0590649637576242,4,APOE CP ITGB8 WASL,1.1543300303538304,0.9387087472246716,4,ABCB5 APOE CP ITGB8,-0.0,0,0,,-0.0,0,0,,-0.0,0,0,,CD_1C_aminoacids-AD systems map,2,1,0.03076923076923077,0.015384615384615385,0.0,0.9538461538461538
C96,5.284000666536192,2.7953050707517377,3,APOE CP ITGA7,3.9394903387487226,4.103868953339301,1,ITGA7,2.396972420777544,1.7523970646118645,3,APOE CP ITGB8,-0.0,0.0,0,,-0.0,0.0,0,,1.8919828957717615,1.514309204366052,3,APOE CP ITGB8,1.6595515286452684,1.3942232259404648,3,APOE CP ITGB8,-0.0,0,0,,-0.0,0,0,,-0.0,0,0,,C96,1,1,0.03125,0.03125,0.0,0.9375
C97,1.2056291124491958,1.912008597379633,1,APOE,-0.0,0.0,0,,1.5426785678809511,1.6205479275929662,2,APOE WASL,-0.0,0.0,0,,-0.0,0.0,0,,1.209802471316832,1.383088968974917,2,APOE WASL,1.0564597074695776,1.2632681599400648,2,ABCB5 APOE,-0.0,0,0,,-0.0,0,0,,-0.0,0,0,,ATPase-coupled transmembrane transporter activity,0,1,0.0,0.041666666666666664,0.0,0.9583333333333334
C102,2.416318778754707,3.1024490119829577,1,MAN2C1,-0.0,0.0,0,,-0.0,0.0,0,,4.834312463279683,4.717009667743627,1,MAN2C1,4.261630344178954,4.368170577147018,1,MAN2C1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0,0,,-0.0,0,0,,-0.0,0,0,,C102,1,0,0.125,0.0,0.0,0.875
C110,2.960207300033971,3.662225283509277,1,APOE,-0.0,0.0,0,,1.7259616680242813,2.630115713347651,1,APOE,-0.0,0.0,0,,-0.0,0.0,0,,1.488475200487928,2.3932850951415707,1,APOE,1.3750817265887547,2.273729962608906,1,APOE,-0.0,0,0,,-0.0,0,0,,-0.0,0,0,,C110,0,1,0.0,0.2,0.0,0.8
C105,2.5747978681828836,3.256653189202231,1,APOE,-0.0,0.0,0,,1.4011843828098949,2.224542385987176,1,APOE,-0.0,0.0,0,,-0.0,0.0,0,,1.1803801708616328,1.987711255925328,1,APOE,1.0757515607887655,1.8681558151374222,1,APOE,-0.0,0,0,,-0.0,0,0,,-0.0,0,0,,C105,1,1,0.14285714285714285,0.14285714285714285,0.0,0.7142857142857143
C98,1.689539777478585,2.4089272695222803,1,CP,-0.0,0.0,0,,0.7349432859262658,1.3768115314386282,1,CP,-0.0,0.0,0,,-0.0,0.0,0,,0.5665505370156636,1.1399783528427,1,CP,0.48850280077968955,1.0204216783622115,1,CP,-0.0,0,0,,-0.0,0,0,,-0.0,0,0,,C98,1,0,0.06666666666666667,0.0,0.0,0.9333333333333333
C99,1.7657654210763636,2.483088759109318,1,APOE,-0.0,0.0,0,,2.4398772212920385,2.2272251790080126,2,APOE WASL,-0.0,0.0,0,,-0.0,0.0,0,,2.030201314075843,1.9897687830036492,2,APOE WASL,0.5345904415378265,1.0945841954746296,1,APOE,-0.0,0,0,,-0.0,0,0,,-0.0,0,0,,C99,0,1,0.0,0.07142857142857142,0.0,0.9285714285714286
C114,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0,0,,-0.0,0,0,,-0.0,0,0,,C114,1,0,0.25,0.0,0.0,0.75
