,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal glial cell physiology:-log(OR_p),abnormal glial cell physiology:log_OR,abnormal glial cell physiology:num_genes,abnormal glial cell physiology:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,abnormal microglial cell physiology:-log(OR_p),abnormal microglial cell physiology:log_OR,abnormal microglial cell physiology:num_genes,abnormal microglial cell physiology:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,increased susceptibility to neuronal excitotoxicity:-log(OR_p),increased susceptibility to neuronal excitotoxicity:log_OR,increased susceptibility to neuronal excitotoxicity:num_genes,increased susceptibility to neuronal excitotoxicity:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal microglial cell activation:-log(OR_p),abnormal microglial cell activation:log_OR,abnormal microglial cell activation:num_genes,abnormal microglial cell activation:gene_ids,abnormal neuron apoptosis:-log(OR_p),abnormal neuron apoptosis:log_OR,abnormal neuron apoptosis:num_genes,abnormal neuron apoptosis:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C241,11.574885945259862,2.5517581103612024,9,APOE GRN KLC1 PINK1 PRNP PSEN1 TMEM175 TNFRSF1A TREM2,6.959274893012356,1.8733372906660044,9,APOE DOCK10 GRN PHYH PLP1 SUSD4 TLR2 TNFRSF1A TREM2,6.782893480222419,1.3104408338644493,18,ACP2 APOE ATG7 ATRN CLN6 CTSB CTSF FUCA1 GRN LAMC1 MAN2B1 NOTCH3 PLP1 PRNP PSEN1 SUSD4 TLR2 TNFRSF1A,6.70857536110098,1.9489703672835414,8,ACP2 APOE GRN PLP1 PRNP PSEN1 SUSD4 TNFRSF1A,5.965315412921801,2.1157751983241315,6,DOCK10 GRN SUSD4 TLR2 TNFRSF1A TREM2,5.245408022437297,1.2761969965534092,14,ACP2 APOE ATG7 ATRN CLN6 FUCA1 GRN LAMC1 PLP1 PRNP PSEN1 SUSD4 TLR2 TNFRSF1A,5.198072024138884,2.4315459708736844,4,GRN PSEN1 TMEM175 TNFRSF1A,5.04042385964626,0.7706159348136552,41,ACP2 APOE ATG7 ATRN B2M BAX CDK5 CHMP2B CLCN6 CLDN11 CMTM6 CTSB CTSF DNM2 ERC2 FBXO45 FOS FUCA1 GM2A GPM6B GRN KLC1 LAMC1 MAN2B1 MAP3K12 MICU1 MITF MVP NAGLU NPC2 PHYH PINK1 PLP1 PRNP PSEN1 SUSD4 TLR2 TMEM175 TREM2 VAMP2 VLDLR,4.869026775118056,2.329601582004411,4,SUSD4 TLR2 TNFRSF1A TREM2,4.760351053966057,1.3568292924613594,11,BAX CTSB GRN MAP3K12 PINK1 PRNP PSEN1 REL TLR2 TMEM175 TNFRSF1A,CD_1A_lyso-FTLD systems map,8,4,0.03375527426160337,0.016877637130801686,0.0,0.9493670886075949
C259,3.6290953771853465,4.055070514313213,1,TMEM175,2.7551894577354403,3.4390282405263832,1,DOCK10,1.3204291473345586,2.1700871797511283,1,ACP2,3.017865663577169,3.632522857769839,1,ACP2,3.676408064092567,4.086429724484086,1,DOCK10,1.5496615859742036,2.4069180538712116,1,ACP2,4.809757356149397,4.797282367494173,1,TMEM175,1.2221359400720981,1.6297775966712233,2,ACP2 TMEM175,-0.0,0.0,0,,1.9014545220807806,2.739441196559861,1,TMEM175,C259,1,0,0.16666666666666666,0.0,0.0,0.8333333333333334
C292,-0.0,0.0,0,,-0.0,0.0,0,,3.800153958291454,3.782071966903646,2,ATG7 MAN2B1,-0.0,0.0,0,,-0.0,0.0,0,,1.935489248385824,2.9178518910341262,1,ATG7,-0.0,0.0,0,,1.6942673830633477,2.323041490583309,2,ATG7 MAN2B1,-0.0,0.0,0,,-0.0,0.0,0,,C292,1,0,0.25,0.0,0.0,0.75
C293,4.073710476857645,4.566002804745972,1,APOE,3.18742775665587,3.9499608447685386,1,APOE,1.691301457306355,2.6810215287142913,1,APOE,3.4552360482273556,4.143455341976196,1,APOE,-0.0,0.0,0,,1.935489248385824,2.9178518910341262,1,APOE,-0.0,0.0,0,,1.6942673830633477,2.323041490583309,2,APOE VLDLR,-0.0,0.0,0,,-0.0,0.0,0,,C293,0,1,0.0,0.25,0.0,0.75
C242,6.670870062119726,2.4555193799911432,5,GRN PINK1 PRNP PSEN1 TMEM175,2.6317678413006655,1.5704595941432355,4,GRN PHYH PLP1 SUSD4,3.829760830813572,1.2608898110509283,10,ATG7 ATRN CLN6 GRN LAMC1 NOTCH3 PLP1 PRNP PSEN1 SUSD4,4.775973926011278,2.010688984539552,5,GRN PLP1 PRNP PSEN1 SUSD4,1.4185149125291407,1.500271952012417,2,GRN SUSD4,4.142206060963488,1.3870875050080969,9,ATG7 ATRN CLN6 GRN LAMC1 PLP1 PRNP PSEN1 SUSD4,4.8972259524261785,2.67483681611514,3,GRN PSEN1 TMEM175,5.372471475180029,0.9825166770687961,28,ATG7 ATRN BAX CDK5 CHMP2B CLCN6 CLDN11 CMTM6 DNM2 ERC2 FOS GPM6B GRN LAMC1 MAP3K12 MICU1 MVP NAGLU NPC2 PHYH PINK1 PLP1 PRNP PSEN1 SUSD4 TMEM175 VAMP2 VLDLR,0.7732190819756004,1.4019661220173703,1,SUSD4,4.80327721502195,1.5992466727364008,8,BAX GRN MAP3K12 PINK1 PRNP PSEN1 REL TMEM175,lysosome organization,5,2,0.03676470588235294,0.014705882352941176,0.0,0.9485294117647058
C243,2.1388347757283563,1.9501502863690119,2,APOE TREM2,2.4924752529862237,1.7530388377100898,3,APOE TLR2 TREM2,2.3421771694257165,1.209781734758458,6,ACP2 APOE CTSB CTSF FUCA1 TLR2,1.453732117812387,1.5222432251734404,2,ACP2 APOE,2.1944766221875276,1.9820060969373356,2,TLR2 TREM2,1.3076559616751937,1.0131301978000469,4,ACP2 APOE FUCA1 TLR2,-0.0,0.0,0,,0.4429400363853725,0.3086457110135292,10,ACP2 APOE B2M CTSB CTSF DNM2 FUCA1 GM2A TLR2 TREM2,3.4135532791904923,2.614184760292259,2,TLR2 TREM2,0.4136381447771108,0.6231527923039408,2,CTSB TLR2,antigen processing and presentation of peptide antigen,2,2,0.023529411764705882,0.023529411764705882,0.0,0.9529411764705882
C244,1.3519560448177566,2.0518822982390343,1,PRNP,0.8007250020164457,1.4358349943676973,1,PLP1,0.6542572826088429,0.8898503717008772,2,PLP1 PRNP,2.8883959784352387,2.3600835850552615,2,PLP1 PRNP,-0.0,0.0,0,,0.9143437226062218,1.1273129226560208,2,PLP1 PRNP,-0.0,0.0,0,,0.4384956449829554,0.43594962806631976,5,CHMP2B CMTM6 ERC2 PLP1 PRNP,-0.0,0.0,0,,0.32933304820739323,0.7362368721807115,1,PRNP,lytic vacuole,0,1,0.0,0.02631578947368421,0.0,0.9736842105263158
C247,1.9030082185185693,2.5725588470494793,1,KLC1,-0.0,0.0,0,,0.29947091834732054,0.6875579970596952,1,CTSF,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.4050331741260815,1.0429619327007256,5,CLCN6 CTSF DNM2 KLC1 VAMP2,-0.0,0.0,0,,-0.0,0.0,0,,antigen processing and presentation of peptide antigen,0,1,0.0,0.043478260869565216,0.0,0.9565217391304348
C296,-0.0,0.0,0,,3.18742775665587,3.9499608447685386,1,SUSD4,3.800153958291454,3.782071966903646,2,CLN6 SUSD4,3.4552360482273556,4.143455341976196,1,SUSD4,4.12134721691183,4.59736200354028,1,SUSD4,4.222892163308524,4.019525803073669,2,CLN6 SUSD4,-0.0,0.0,0,,1.6942673830633477,2.323041490583309,2,NAGLU SUSD4,5.102250304635713,5.215681430080288,1,SUSD4,-0.0,0.0,0,,C296,2,0,0.5,0.0,0.0,0.5
C277,4.073710476857645,4.566002804745972,1,GRN,3.18742775665587,3.9499608447685386,1,GRN,1.691301457306355,2.6810215287142913,1,GRN,3.4552360482273556,4.143455341976196,1,GRN,4.12134721691183,4.59736200354028,1,GRN,1.935489248385824,2.9178518910341262,1,GRN,5.254665203711798,5.308214464854814,1,GRN,0.5385849367819804,1.2237754316221157,1,GRN,-0.0,0.0,0,,2.305654733892398,3.2503744919275714,1,GRN,C277,0,1,0.0,0.25,0.0,0.75
C246,1.8059629246604447,2.4854406951945514,1,PRNP,1.1668067177168484,1.8693954368710255,1,PLP1,1.1546788688163783,1.3385827890775932,2,PLP1 PRNP,3.795149711058869,2.808803848125498,2,PLP1 PRNP,-0.0,0.0,0,,1.4812251789299538,1.5760420041100502,2,PLP1 PRNP,-0.0,0.0,0,,1.2137097983647875,0.9374845946128598,5,CHMP2B CMTM6 ERC2 PLP1 PRNP,-0.0,0.0,0,,0.5974205542132531,1.1698018198047606,1,PRNP,C246,0,1,0.0,0.04,0.0,0.96
C252,-0.0,0.0,0,,-0.0,0.0,0,,0.873518405252238,1.5820830289847336,1,CTSF,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.6262119454665809,0.9363969485330266,2,CTSF DNM2,-0.0,0.0,0,,-0.0,0.0,0,,antigen processing and presentation of peptide antigen,0,1,0.0,0.1,0.0,0.9
C248,2.2712151126333637,2.8913328343757154,1,KLC1,-0.0,0.0,0,,0.4821792169277065,1.0063381699656766,1,CTSF,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.6593657709962164,0.7824917351561265,3,CTSF DNM2 KLC1,-0.0,0.0,0,,-0.0,0.0,0,,antigen processing and presentation of peptide antigen,0,1,0.0,0.058823529411764705,0.0,0.9411764705882353
C249,2.3478344730649097,2.9559247215778193,1,KLC1,-0.0,0.0,0,,0.5224126831972545,1.0709310877089138,1,CTSF,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.3516006114611727,1.5358471888632206,5,CLCN6 CTSF DNM2 KLC1 VAMP2,-0.0,0.0,0,,-0.0,0.0,0,,MHC class II antigen presentation,0,1,0.0,0.0625,0.0,0.9375
C264,-0.0,0.0,0,,-0.0,0.0,0,,1.488475200487928,2.3932850951415707,1,CTSF,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.3951320402014821,0.9360350007915148,1,CTSF,-0.0,0.0,0,,-0.0,0.0,0,,MHC class II antigen presentation,0,1,0.0,0.2,0.0,0.8
C282,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C282,0,1,0.0,0.25,0.0,0.75
