,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,increased synaptic depression:-log(OR_p),increased synaptic depression:log_OR,increased synaptic depression:num_genes,increased synaptic depression:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,abnormal somatic nervous system morphology:-log(OR_p),abnormal somatic nervous system morphology:log_OR,abnormal somatic nervous system morphology:num_genes,abnormal somatic nervous system morphology:gene_ids,increased oligodendrocyte number:-log(OR_p),increased oligodendrocyte number:log_OR,increased oligodendrocyte number:num_genes,increased oligodendrocyte number:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,neuronal intranuclear inclusions:-log(OR_p),neuronal intranuclear inclusions:log_OR,neuronal intranuclear inclusions:num_genes,neuronal intranuclear inclusions:gene_ids,impaired synaptic plasticity:-log(OR_p),impaired synaptic plasticity:log_OR,impaired synaptic plasticity:num_genes,impaired synaptic plasticity:gene_ids,impaired synaptic physiology:-log(OR_p),impaired synaptic physiology:log_OR,impaired synaptic physiology:num_genes,impaired synaptic physiology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C170,10.044324381916036,1.79701777737181,15,ACVR1 ASS1 ATP2B1 ATRN BACE1 BPTF CLCN3 IGF1R KMT2A LTN1 MAP2K1 NF1 PRNP PSEN1 SNCA,9.869486169408628,3.7851015288453382,4,PCLO PSEN1 SYNJ1 SYT1,8.849614990834615,1.625178444645492,16,ACVR1 AFF1 ASS1 ATP2B1 ATRN BACE1 BPTF CLCN3 IGF1R KMT2A LTN1 MAP2K1 NF1 PRNP PSEN1 SNCA,8.458910081758976,1.2628532324350399,27,ABCB5 ATP11A ATP2B1 ATP7A ATP8A2 BACE1 BDNF CASP3 CDC14A CLCN3 DNM2 EPHB3 FMR1 HSP90AA1 IGF1R KMT2A MARVELD2 MED23 NF1 PRNP PSEN1 RET SLC12A2 SLC19A2 SPTLC3 THRA TYR,7.637794929674718,3.8095615093558353,3,ACVR1 MAP2K1 NF1,7.622901420298162,1.0789696817600554,35,ABCB5 AFF1 ATP2B1 ATP7A ATP8A2 ATP9A ATRN ATRX BACE1 BDNF BPTF CASP3 CDC14A CLCN3 DNM2 EPHB3 ERBIN FMR1 HSP90AA1 IGF1R KMT2A LTN1 MARVELD2 NF1 PCLO PRNP PSEN1 RET SLC12A2 SLC19A2 SLC7A5 SNCA SORL1 TYR VAMP7,7.542457877062097,1.5311503609812132,15,AFF1 ATP7A ATP8A2 BACE1 CASP3 CDC14A CLCN3 HSP90AA1 LTN1 MARVELD2 NF1 PRNP PSEN1 SLC19A2 SORL1,7.414300355612365,3.691724864457206,3,FMR1 PRNP SNCA,6.904605007737756,2.5187952332293717,5,BDNF CLCN3 FMR1 MBNL2 PSEN1,6.727815939642712,2.478682441061303,5,BDNF CLCN3 FMR1 MBNL2 PSEN1,CD_1E_mineral_abs-PD systems map,1,17,0.006329113924050633,0.10759493670886076,0.0,0.8860759493670886
C198,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,peptide metabolic process,0,1,0.0,0.25,0.0,0.75
C171,5.407421142116025,1.7309495030380493,8,ASS1 ATP2B1 IGF1R MAP2K1 NF1 PRNP PSEN1 SNCA,9.038528571786959,4.008402132421375,3,PCLO PSEN1 SYT1,4.164663363851915,1.489661365630381,8,ASS1 ATP2B1 IGF1R MAP2K1 NF1 PRNP PSEN1 SNCA,10.570501306855745,1.6798466810913784,21,ABCB5 ATP11A ATP2B1 ATP8A2 BDNF CASP3 CDC14A DNM2 EPHB3 HSP90AA1 IGF1R MARVELD2 NF1 PRNP PSEN1 RET SLC12A2 SLC19A2 SPTLC3 THRA TYR,6.052523911709486,3.87908330057237,2,MAP2K1 NF1,6.196729559889344,1.2326709684126804,22,ABCB5 ATP2B1 ATP8A2 ATP9A BDNF CASP3 CDC14A DNM2 EPHB3 HSP90AA1 IGF1R MARVELD2 NF1 PCLO PRNP PSEN1 RET SLC12A2 SLC19A2 SLC7A5 SNCA TYR,5.1919375713969576,1.6028338752241869,9,ATP8A2 CASP3 CDC14A HSP90AA1 MARVELD2 NF1 PRNP PSEN1 SLC19A2,5.853956740619566,3.773669373244082,2,PRNP SNCA,2.446614746352204,2.1227648775078443,2,BDNF PSEN1,2.377543014249798,2.0849174774118264,2,BDNF PSEN1,Ion transport by P-type ATPases,0,7,0.0,0.07954545454545454,0.0,0.9204545454545454
C172,6.305836559432698,2.0461306561019796,7,ACVR1 ATP2B1 BACE1 BPTF CLCN3 KMT2A LTN1,2.604375974627622,3.156733761592788,1,SYNJ1,6.48552391499627,1.9613012993756103,8,ACVR1 AFF1 ATP2B1 BACE1 BPTF CLCN3 KMT2A LTN1,1.427165065455145,0.8415562178195284,7,ATP2B1 ATP7A BACE1 CLCN3 FMR1 KMT2A MED23,3.021636841595788,3.493419331548143,1,ACVR1,3.228365244293643,1.0853890884984878,13,AFF1 ATP2B1 ATP7A ATRX BACE1 BPTF CLCN3 ERBIN FMR1 KMT2A LTN1 SORL1 VAMP7,3.6833265245324576,1.6099287902971842,6,AFF1 ATP7A BACE1 CLCN3 LTN1 SORL1,2.90346301484966,3.398055822676798,1,FMR1,6.05856409788688,2.996320335905544,3,CLCN3 FMR1 MBNL2,5.929596044884559,2.9577471603689354,3,CLCN3 FMR1 MBNL2,C172,1,8,0.017241379310344827,0.13793103448275862,0.0,0.8448275862068966
C206,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C206,0,1,0.0,0.25,0.0,0.75
C207,-0.0,0.0,0,,-0.0,0.0,0,,1.691301457306355,2.6810215287142913,1,AFF1,0.8691626431750878,1.7258566050490316,1,ABCB5,-0.0,0.0,0,,2.5163004155466853,3.422307900870022,3,ABCB5 AFF1 SORL1,3.766689433008742,3.762723925512229,2,AFF1 SORL1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C207,0,1,0.0,0.25,0.0,0.75
C209,4.222892163308524,4.019525803073669,2,ACVR1 ATRN,-0.0,0.0,0,,3.800153958291454,3.782071966903646,2,ACVR1 ATRN,0.8691626431750878,1.7258566050490316,1,SPTLC3,7.127072304392954,6.440733865174867,1,ACVR1,0.5385849367819804,1.2237754316221157,1,ATRN,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C209,0,1,0.0,0.25,0.0,0.75
C180,3.04918020757572,2.6329067841943132,2,ACVR1 ATRN,-0.0,0.0,0,,2.603196497921813,2.3954514124569535,2,ACVR1 ATRN,-0.0,0.0,0,,5.916899870081686,5.341802478487775,1,ACVR1,0.042981105783598476,0.12481294158464173,1,ATRN,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C180,0,1,0.0,0.1,0.0,0.9
C212,1.935489248385824,2.9178518910341262,1,CLCN3,-0.0,0.0,0,,1.691301457306355,2.6810215287142913,1,CLCN3,2.3240352651716076,2.8254744090659107,2,CLCN3 SLC12A2,-0.0,0.0,0,,1.6942673830633477,2.323041490583309,2,CLCN3 SLC12A2,1.6721112022995561,2.661718072676212,1,CLCN3,-0.0,0.0,0,,4.38872223519586,4.770737922267143,1,CLCN3,4.330877843671897,4.733590052143029,1,CLCN3,C212,0,1,0.0,0.25,0.0,0.75
C193,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.7021924188390212,1.4381182310461273,1,SPTLC3,-0.0,0.0,0,,0.3951320402014821,0.9360350007915148,1,SLC7A5,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C193,0,1,0.0,0.2,0.0,0.8
