,decreased oligodendrocyte number:-log(OR_p),decreased oligodendrocyte number:log_OR,decreased oligodendrocyte number:num_genes,decreased oligodendrocyte number:gene_ids,abnormal oligodendrocyte morphology:-log(OR_p),abnormal oligodendrocyte morphology:log_OR,abnormal oligodendrocyte morphology:num_genes,abnormal oligodendrocyte morphology:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,abnormal glial cell physiology:-log(OR_p),abnormal glial cell physiology:log_OR,abnormal glial cell physiology:num_genes,abnormal glial cell physiology:gene_ids,loss of GABAergic neurons:-log(OR_p),loss of GABAergic neurons:log_OR,loss of GABAergic neurons:num_genes,loss of GABAergic neurons:gene_ids,abnormal microglial cell activation:-log(OR_p),abnormal microglial cell activation:log_OR,abnormal microglial cell activation:num_genes,abnormal microglial cell activation:gene_ids,abnormal sphingomyelin level:-log(OR_p),abnormal sphingomyelin level:log_OR,abnormal sphingomyelin level:num_genes,abnormal sphingomyelin level:gene_ids,abnormal microglial cell physiology:-log(OR_p),abnormal microglial cell physiology:log_OR,abnormal microglial cell physiology:num_genes,abnormal microglial cell physiology:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal myelin sheath morphology:-log(OR_p),abnormal myelin sheath morphology:log_OR,abnormal myelin sheath morphology:num_genes,abnormal myelin sheath morphology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C196,7.042585375215354,2.9420101813003257,4,GALC NR1H2 PRKAB1 TUBB4A,5.58515158138141,2.2242790617425845,5,GALC NR1H2 PEX5 PRKAB1 TUBB4A,4.081670989587562,1.2422702526302274,11,ACP2 ATP13A2 CLCN3 CLN3 GALC HSD17B4 NR1H2 PDCD6IP PEX5 PRKAB1 TUBB4A,3.993067051851874,1.6527539974136367,6,ACSL6 CLCN3 CLN3 GALC NR1H2 TUBB4A,3.89426318305281,2.9807529162023085,2,CLCN3 CLN5,3.6011007636464676,2.227189979408463,3,ACSL6 CLN3 NR1H2,3.5765607519146303,2.7983239364842003,2,ELOVL1 GALC,3.5368555750079715,1.890089984643799,4,ACSL6 CLCN3 CLN3 NR1H2,3.43754930805727,1.857192449627684,4,ATP13A2 NR1H2 PINK1 STUB1,2.9986987940384995,1.7071219805935876,4,CERS2 GALC NR1H2 TUBB4A,CD_1F_perox-PD systems map,4,19,0.020942408376963352,0.09947643979057591,0.0,0.8795811518324608
C197,6.721223455689556,3.2485148613938986,3,NR1H2 PRKAB1 TUBB4A,3.922005444434953,2.3123853975923385,3,NR1H2 PRKAB1 TUBB4A,3.4869207022952167,1.4216897800565,7,ACP2 ATP13A2 CLN3 HSD17B4 NR1H2 PRKAB1 TUBB4A,3.509055909146022,1.8701235693485128,4,ACSL6 CLN3 NR1H2 TUBB4A,-0.0,0.0,0,,5.571362782068693,2.8732863950866943,3,ACSL6 CLN3 NR1H2,1.9653196826861066,2.65647627247945,1,ELOVL1,3.6862375121881765,2.226595264132208,3,ACSL6 CLN3 NR1H2,5.736320975124002,2.508115586554445,4,ATP13A2 NR1H2 PINK1 STUB1,3.2096938588492545,2.0463662899980513,3,CERS2 NR1H2 TUBB4A,Fatty acid metabolism,2,8,0.0196078431372549,0.0784313725490196,0.0,0.9019607843137255
C198,1.7714520501833586,2.4550285594318346,1,GALC,0.913364026343465,1.5708222658051447,1,GALC,0.9518505976040388,0.9433532405476281,3,CLCN3 GALC PDCD6IP,1.5028871425248846,1.5570584266494016,2,CLCN3 GALC,6.584295405389573,4.039429619223243,2,CLCN3 CLN5,-0.0,0.0,0,,2.4792780375588084,3.068720215723163,1,GALC,0.8452600107842714,1.4878630486878048,1,CLCN3,-0.0,0.0,0,,0.7089979898458052,1.3128673663863317,1,GALC,C198,0,10,0.0,0.14705882352941177,0.0,0.8529411764705882
C231,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C231,1,0,0.25,0.0,0.0,0.75
C250,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C250,0,1,0.0,0.25,0.0,0.75
C203,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,positive regulation of transcription initiation by RNA polymerase II,0,1,0.0,0.06666666666666667,0.0,0.9333333333333333
C204,-0.0,0.0,0,,2.6723600453017533,3.21344999103464,1,PEX5,0.7887448218074253,1.4509736381166576,1,PEX5,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C204,1,1,0.07142857142857142,0.07142857142857142,0.0,0.8571428571428572
C215,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,positive regulation of transcription initiation by RNA polymerase II,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C223,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C223,0,1,0.0,0.2,0.0,0.8
C200,-0.0,0.0,0,,-0.0,0.0,0,,0.1052280467046697,0.276682285062785,1,HSD17B4,0.7040767977363924,1.3088153287065847,1,ACSL6,-0.0,0.0,0,,1.9164473957592232,2.5745454854594545,1,ACSL6,3.125961522376012,3.5370764437034437,1,ELOVL1,1.2592391442058593,1.9562228411609563,1,ACSL6,-0.0,0.0,0,,-0.0,0.0,0,,Fatty acid metabolism,1,3,0.023255813953488372,0.06976744186046512,0.0,0.9069767441860466
