,abnormal excitatory postsynaptic currents:-log(OR_p),abnormal excitatory postsynaptic currents:log_OR,abnormal excitatory postsynaptic currents:num_genes,abnormal excitatory postsynaptic currents:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,abnormal synaptic vesicle morphology:-log(OR_p),abnormal synaptic vesicle morphology:log_OR,abnormal synaptic vesicle morphology:num_genes,abnormal synaptic vesicle morphology:gene_ids,abnormal synaptic vesicle number:-log(OR_p),abnormal synaptic vesicle number:log_OR,abnormal synaptic vesicle number:num_genes,abnormal synaptic vesicle number:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,abnormal motor neuron morphology:-log(OR_p),abnormal motor neuron morphology:log_OR,abnormal motor neuron morphology:num_genes,abnormal motor neuron morphology:gene_ids,abnormal excitatory postsynaptic current amplitude:-log(OR_p),abnormal excitatory postsynaptic current amplitude:log_OR,abnormal excitatory postsynaptic current amplitude:num_genes,abnormal excitatory postsynaptic current amplitude:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C586,-0.0,0.0,0,,0.06643648141455487,0.10832960065057229,3,PITRM1 SPAST VCP,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.6702357451397465,1.2665503243075804,1,VCP,-0.0,0.0,0,,C586,0,0,0.0,0.0,0.030303030303030304,0.9696969696969697
C587,-0.0,0.0,0,,0.46016820168409167,-0.9576151232274928,1,CHCHD10,-0.0,0.0,0,,0.14266150212381296,-0.36478120931018765,1,NDUFB9,-0.0,0.0,0,,-0.0,0.0,0,,0.1866586098107858,-0.4608549246918052,1,NDUFB9,0.18921474050081516,-0.4662559495781995,1,NDUFB9,0.7427525886284128,1.365151475270931,1,CHCHD10,-0.0,0.0,0,,Mitochondrial protein import,0,0,0.0,0.0,0.03333333333333333,0.9666666666666667
C582,-0.0,0.0,0,,0.2341979176447189,0.2596918068550629,5,AGTPBP1 CMTM6 CPEB4 MYD88 NAMPT,-0.0,0.0,0,,0.3965100251401288,-0.8486390173359286,1,GPCPD1,-0.0,0.0,0,,-0.0,0.0,0,,0.4557659147606711,-0.9447175349357853,1,GPCPD1,0.4591892064562851,-0.9501188437337333,1,GPCPD1,0.4150138494904535,0.881332845224188,1,CPEB4,-0.0,0.0,0,,C582,0,0,0.0,0.0,0.020833333333333332,0.9791666666666666
C654,2.7730900623359376,3.521500053036511,1,LRRK2,1.5524570577514438,2.0063682821545923,2,FGD4 LRRK2,-0.0,0.0,0,,0.829347521683647,1.6176158552835123,1,LRRK2,-0.0,0.0,0,,-0.0,0.0,0,,0.7601328926533046,1.5215487936122774,1,LRRK2,0.7563214139250647,1.5161481620969663,1,LRRK2,-0.0,0.0,0,,-0.0,0.0,0,,C654,0,1,0.0,0.2,0.0,0.8
C598,1.77898963208442,2.5095242785801917,1,DGKG,0.5217481156271088,0.801989998053644,2,APOE DGKG,-0.0,0.0,0,,0.2500835278191452,0.6056243730881405,1,DGKG,2.979969646088568,3.4522830226169248,1,APOE,-0.0,0.0,0,,0.2035513703477284,0.5095554502539184,1,DGKG,0.20101526582405846,0.5041547087058902,1,DGKG,-0.0,0.0,0,,3.6657162007881703,3.915972415482405,1,DGKG,C598,0,1,0.0,0.08333333333333333,0.0,0.9166666666666666
C588,-0.0,0.0,0,,0.028701812033187297,0.059415138451479166,2,MYD88 NAMPT,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,activation of innate immune response,0,0,0.0,0.0,0.043478260869565216,0.9565217391304348
C596,-0.0,0.0,0,,1.939003930121737,1.496430003615897,4,ATXN1L FUS NEFM PRPH,-0.0,0.0,0,,0.1720997091272526,0.43845866882445783,1,FUS,-0.0,0.0,0,,-0.0,0.0,0,,0.12984510040642117,0.34238921396163313,1,FUS,0.12754759688999603,0.3369884409598143,1,FUS,3.908479975747182,2.9477163494606433,2,FUS NEFM,-0.0,0.0,0,,C596,0,0,0.0,0.0,0.07142857142857142,0.9285714285714286
C589,-0.0,0.0,0,,0.05354324235702348,0.10826327531578883,2,MATR3 TARDBP,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.9998756785067703,1.6883542824627487,1,TARDBP,-0.0,0.0,0,,C589,1,0,0.045454545454545456,0.0,0.045454545454545456,0.9090909090909091
C608,-0.0,0.0,0,,0.9666219003780916,1.3130473446801343,2,KIF26A KIF3B,-0.0,0.0,0,,0.49125140578108156,1.057832698662379,1,KIF3B,-0.0,0.0,0,,-0.0,0.0,0,,0.4335224182936257,0.9617648395283034,1,KIF3B,0.4303591671192936,0.9563641608666895,1,KIF3B,-0.0,0.0,0,,-0.0,0.0,0,,Kinesins,0,1,0.0,0.125,0.0,0.875
C600,-0.0,0.0,0,,0.03722322044059724,0.10819703122650459,1,VCP,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.6815983330823017,2.4308817717946773,1,VCP,-0.0,0.0,0,,C600,0,0,0.0,0.0,0.09090909090909091,0.9090909090909091
C657,-0.0,0.0,0,,0.444341964558784,1.0248353272587085,1,CHCHD10,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.5498123255882885,3.347494253993358,1,CHCHD10,-0.0,0.0,0,,C657,0,0,0.0,0.0,0.2,0.8
C599,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C599,0,0,0.0,0.0,0.08333333333333333,0.9166666666666666
C653,-0.0,0.0,0,,1.5524570577514438,2.0063682821545923,2,MATR3 TARDBP,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.5498123255882885,3.347494253993358,1,TARDBP,-0.0,0.0,0,,C653,1,0,0.2,0.0,0.2,0.6
C601,-0.0,0.0,0,,0.6090454541861287,0.9074084494607426,2,MAVS WHRN,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,regulation of interferon-beta production,0,0,0.0,0.0,0.09090909090909091,0.9090909090909091
C606,-0.0,0.0,0,,0.8280148298178881,1.1588387391715074,2,OPTN SEMA4A,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C606,0,0,0.0,0.0,0.1111111111111111,0.8888888888888888
C605,-0.0,0.0,0,,1.8205139887771236,1.7191586563649057,3,FUS NEFM PRPH,-0.0,0.0,0,,0.4159037409852475,0.9242455102504241,1,FUS,-0.0,0.0,0,,-0.0,0.0,0,,0.3613776661095656,0.8281773852359322,1,FUS,0.3583942061326237,0.822776690855358,1,FUS,4.823036478712817,3.486981011413463,2,FUS NEFM,-0.0,0.0,0,,C605,0,0,0.0,0.0,0.1111111111111111,0.8888888888888888
C611,-0.0,0.0,0,,0.178059620695543,0.46504577234436617,1,VCP,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.0313361112170716,2.7877176038360814,1,VCP,-0.0,0.0,0,,C611,0,0,0.0,0.0,0.125,0.875
C617,-0.0,0.0,0,,0.24676461653487464,0.6192543778529931,1,WHRN,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C617,0,0,0.0,0.0,0.14285714285714285,0.8571428571428572
C634,-0.0,0.0,0,,0.33308092757312613,0.8016338569731243,1,FUS,-0.0,0.0,0,,0.6919314817375931,1.3944165175198169,1,FUS,-0.0,0.0,0,,-0.0,0.0,0,,0.6268310152960626,1.2983491900573654,1,FUS,0.6232525294319131,1.2929485428283822,1,FUS,2.3522300527390865,3.124297084813662,1,FUS,-0.0,0.0,0,,C634,0,0,0.0,0.0,0.16666666666666666,0.8333333333333334
C645,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C645,0,0,0.0,0.0,0.2,0.8
