,abnormal excitatory postsynaptic currents:-log(OR_p),abnormal excitatory postsynaptic currents:log_OR,abnormal excitatory postsynaptic currents:num_genes,abnormal excitatory postsynaptic currents:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,abnormal synaptic vesicle morphology:-log(OR_p),abnormal synaptic vesicle morphology:log_OR,abnormal synaptic vesicle morphology:num_genes,abnormal synaptic vesicle morphology:gene_ids,abnormal synaptic vesicle number:-log(OR_p),abnormal synaptic vesicle number:log_OR,abnormal synaptic vesicle number:num_genes,abnormal synaptic vesicle number:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,abnormal motor neuron morphology:-log(OR_p),abnormal motor neuron morphology:log_OR,abnormal motor neuron morphology:num_genes,abnormal motor neuron morphology:gene_ids,abnormal excitatory postsynaptic current amplitude:-log(OR_p),abnormal excitatory postsynaptic current amplitude:log_OR,abnormal excitatory postsynaptic current amplitude:num_genes,abnormal excitatory postsynaptic current amplitude:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C668,-0.0,0.0,0,,1.798412314363572,2.411891302525696,2,GRN WDR81,-0.0,0.0,0,,1.0040359136514818,1.9053537110728245,1,GRN,-0.0,0.0,0,,-0.0,0.0,0,,0.9307409065092185,1.8092869151630842,1,GRN,0.9266965523216507,1.8038862993596831,1,GRN,-0.0,0.0,0,,-0.0,0.0,0,,C668,0,0,0.0,0.0,0.25,0.75
C581,1.0938540449776877,1.2604927232221232,2,DGKG LRRK2,1.5654300879939809,0.6948149465284832,12,AGTPBP1 APOE CMTM6 CPEB4 DGKG EPB41L3 FGD4 LRRK2 MYD88 NAMPT RNF19A SPAST,0.2865710457807127,0.6548400284772686,1,RNF19A,0.051357713971874205,0.07212815700704844,4,DGKG GPCPD1 LRRK2 RNF19A,0.8465973621268282,1.4898905006683876,1,APOE,-0.0,0.0,0,,0.016652800649736836,-0.024253299559047647,4,DGKG GPCPD1 LRRK2 RNF19A,0.020457826637132262,-0.029670830374383783,4,DGKG GPCPD1 LRRK2 RNF19A,0.14772154560657208,0.37310428087761416,1,CPEB4,1.2543136676831113,1.9535837130431517,1,DGKG,lytic vacuole,0,2,0.0,0.02531645569620253,0.012658227848101266,0.9620253164556962
C615,-0.0,0.0,0,,0.24676461653487464,0.6192543778529931,1,SQSTM1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C615,0,0,0.0,0.0,0.14285714285714285,0.8571428571428572
C592,-0.0,0.0,0,,0.14437316893446522,0.2709561027359211,2,MAVS WHRN,-0.0,0.0,0,,0.03969266238595615,0.11275716486852083,1,APBA3,-0.0,0.0,0,,-0.0,0.0,0,,0.00566150516634724,0.0166863794131622,1,APBA3,0.0038210660440388326,0.01128552774599001,1,APBA3,-0.0,0.0,0,,-0.0,0.0,0,,regulation of interferon-beta production,0,0,0.0,0.0,0.05263157894736842,0.9473684210526316
C595,-0.0,0.0,0,,1.939003930121737,1.496430003615897,4,OPTN PHYH PINK1 SEMA4A,-0.0,0.0,0,,0.1720997091272526,0.43845866882445783,1,PINK1,-0.0,0.0,0,,-0.0,0.0,0,,0.12984510040642117,0.34238921396163313,1,PINK1,0.12754759688999603,0.3369884409598143,1,PINK1,1.4294320453898683,2.168356593335366,1,PINK1,-0.0,0.0,0,,C595,0,0,0.0,0.0,0.07142857142857142,0.9285714285714286
C604,-0.0,0.0,0,,0.122205699635487,0.3314564506828983,1,CHMP2B,-0.0,0.0,0,,0.4159037409852475,0.9242455102504241,1,VPS37D,-0.0,0.0,0,,-0.0,0.0,0,,0.3613776661095656,0.8281773852359322,1,VPS37D,0.3583942061326237,0.822776690855358,1,VPS37D,-0.0,0.0,0,,-0.0,0.0,0,,multivesicular body sorting pathway,0,0,0.0,0.0,0.1111111111111111,0.8888888888888888
C580,-0.0,0.0,0,,0.19492899840997885,0.14306497016641373,12,ATXN1L CHCHD10 FUS MATR3 NEFM PITRM1 PRPH SOD1 SPAST STUB1 TARDBP VCP,-0.0,0.0,0,,0.6734986946052004,-0.7303118352318929,3,FUS NDUFB9 ZDHHC24,-0.0,0.0,0,,-0.0,0.0,0,,0.8019709382083052,-0.8266080289355582,3,FUS NDUFB9 ZDHHC24,0.8094866717294976,-0.8320210833774002,3,FUS NDUFB9 ZDHHC24,4.38759183527649,1.7461424280718774,6,CHCHD10 FUS NEFM SOD1 TARDBP VCP,-0.0,0.0,0,,Mitochondrial protein import,3,0,0.0234375,0.0,0.03125,0.9453125
C591,1.2470576795205612,1.9625519854703226,1,SEZ6,0.21987727417904132,-0.5341784277895645,1,SEZ6,-0.0,0.0,0,,0.020246069852995832,0.058634113544913546,1,SEZ6,-0.0,0.0,0,,-0.0,0.0,0,,0.012822192712472685,-0.03743693811831328,1,SEZ6,0.014702654755569982,-0.04283780552385075,1,SEZ6,-0.0,0.0,0,,-0.0,0.0,0,,C591,0,0,0.0,0.0,0.05,0.95
C621,-0.0,0.0,0,,0.24676461653487464,0.6192543778529931,1,CHGB,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C621,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C584,-0.0,0.0,0,,0.9534096443046637,0.7079336923312436,6,ATXN1L FUS MATR3 NEFM PRPH TARDBP,-0.0,0.0,0,,0.275191005584154,-0.6355744306875515,1,FUS,-0.0,0.0,0,,-0.0,0.0,0,,0.3275329281710981,-0.7316505459676055,1,FUS,0.33056375880230077,-0.737051712738019,1,FUS,3.7143003601972877,2.259434858675668,3,FUS NEFM TARDBP,-0.0,0.0,0,,C584,2,0,0.05128205128205128,0.0,0.05128205128205128,0.8974358974358975
