category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,comparison
Organismal Systems,Excretory system,hsa04962,Vasopressin-regulated water reabsorption,12/119,40/7783,0.3,19.621008403361344,14.71193874594876,3.622352697266697e-13,5.433529045900045e-11,4.804383577427408e-11,51143/79659/1783/10540/1781/84516/140735/51164/1780/51626/1778/4905,12,CD_1D_vitaminreposn_ALS
Human Diseases,Infectious disease: bacterial,hsa05132,Salmonella infection,19/119,239/7783,0.0794979079497908,5.199430399774973,8.216367277183354,2.8280584833403932e-9,2.121043862505295e-7,1.875449310004682e-7,5216/7277/5217/9475/51143/79659/1783/10540/1781/84516/140735/51164/1780/26999/51626/1778/11258/10640/375,19,CD_1D_vitaminreposn_ALS
Genetic Information Processing,"Folding, sorting and degradation",hsa04130,SNARE interactions in vesicular transport,7/119,32/7783,0.21875,14.306985294117647,9.398686065116001,4.012757971636349e-7,2.0063789858181747e-5,1.774061419039228e-5,6811/51272/9527/9554/10282/9570/9341,7,CD_1D_vitaminreposn_ALS
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,18/119,336/7783,0.05357142857142857,3.5037515006002398,5.846036603549795,2.9595582736593014e-6,1.0317197055490103e-4,9.122574238538619e-5,5216/7277/6647/4723/5217/10540/374291/4698/84516/498/51164/539/493869/509/11258/4696/2890/5861,18,CD_1D_vitaminreposn_ALS
Cellular Processes,Cell motility,hsa04814,Motor proteins,13/119,181/7783,0.0718232044198895,4.697478991596639,6.271514284481163,3.439065685163368e-6,1.0317197055490103e-4,9.122574238538619e-5,7277/51143/79659/1783/10540/1781/84516/140735/51164/1780/51626/1778/11258,13,CD_1D_vitaminreposn_ALS
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,13/119,202/7783,0.06435643564356436,4.209127215242533,5.758252646969027,1.1465314516185322e-5,2.8663286290463305e-4,2.534437945683071e-4,6647/4723/2948/374291/4257/4698/498/1646/539/1645/509/4696/8644,13,CD_1D_vitaminreposn_ALS
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,15/119,278/7783,0.0539568345323741,3.528958345928299,5.35032386878048,1.9700339061285326e-5,4.2215012274182835e-4,3.732695822138272e-4,7277/6647/4723/10540/374291/4698/84516/498/51164/539/493869/509/11258/4696/2890,15,CD_1D_vitaminreposn_ALS
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,17/119,440/7783,0.038636363636363635,2.5269480519480516,4.108707097536378,3.498132828025622e-4,0.00565188366013335,0.00499745502580212,7277/6647/4723/10540/374291/4698/84516/498/51164/539/6712/493869/509/11258/4696/2890/5861,17,CD_1D_vitaminreposn_ALS
Organismal Systems,Digestive system,hsa04977,Vitamin digestion and absorption,4/119,23/7783,0.17391304347826086,11.37449762513701,6.2085685252981575,3.6744575057681196e-4,0.00565188366013335,0.00499745502580212,8884/113278/80704/6573,4,CD_1D_vitaminreposn_ALS
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,9/119,146/7783,0.06164383561643835,4.031714055485208,4.607810559682527,3.7679224400889e-4,0.00565188366013335,0.00499745502580212,7277/51143/79659/1783/1781/9554/1780/1778/9341,9,CD_1D_vitaminreposn_ALS
Human Diseases,Infectious disease: bacterial,hsa05110,Vibrio cholerae infection,5/119,49/7783,0.10204081632653061,6.673812382095696,4.964348627615906,8.558511195597264e-4,0.011451025527069966,0.010125117308146074,11014/10945/11015/6558/375,5,CD_1D_vitaminreposn_ALS
Genetic Information Processing,"Folding, sorting and degradation",hsa04141,Protein processing in endoplasmic reticulum,9/119,165/7783,0.05454545454545454,3.567456073338426,4.153515694369842,9.160820421655972e-4,0.011451025527069966,0.010125117308146074,22872/2923/10134/9871/10802/10970/3998/9632/10484,9,CD_1D_vitaminreposn_ALS
Human Diseases,Infectious disease: bacterial,hsa05130,Pathogenic Escherichia coli infection,9/119,187/7783,0.0481283422459893,3.147755358828023,3.704285762777844,0.0021933571253069384,0.025103379542630054,0.022196672437693944,7277/9475/9871/26999/10802/10972/5861/9632/375,9,CD_1D_vitaminreposn_ALS
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,7/119,120/7783,0.058333333333333334,3.8151960784313723,3.8724980255120225,0.002342982090645472,0.025103379542630054,0.022196672437693944,4723/374291/4698/498/539/509/4696,7,CD_1D_vitaminreposn_ALS
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,7/119,136/7783,0.051470588235294115,3.3663494809688577,3.4689188476229647,0.004706893676364465,0.047068936763644646,0.04161884934890685,4723/374291/2560/4698/2562/4696/2890,7,CD_1D_vitaminreposn_ALS
