category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,comparison
Organismal Systems,Digestive system,hsa04972,Pancreatic secretion,7/100,97/7783,0.07216494845360824,5.61659793814433,5.219608467376106,2.3371636826824717e-4,0.032864692220664085,0.02850698399081773,487/490/476/3709/6558/480/477,7,CD_1E_mineral_abs_PD
Organismal Systems,Excretory system,hsa04961,Endocrine and other factor-regulated calcium reabsorption,5/100,52/7783,0.09615384615384616,7.483653846153846,5.351602552418349,5.10091105246362e-4,0.032864692220664085,0.02850698399081773,490/476/480/477/1785,5,CD_1E_mineral_abs_PD
Organismal Systems,Endocrine system,hsa04919,Thyroid hormone signaling pathway,7/100,116/7783,0.0603448275862069,4.696637931034483,4.576182912336011,6.956463536896622e-4,0.032864692220664085,0.02850698399081773,487/5295/7067/476/480/477/5604,7,CD_1E_mineral_abs_PD
Genetic Information Processing,"Folding, sorting and degradation",hsa04130,SNARE interactions in vesicular transport,4/100,32/7783,0.125,9.72875,5.644537626645927,6.999528125016583e-4,0.032864692220664085,0.02850698399081773,8674/8773/6845/9570,4,CD_1E_mineral_abs_PD
Organismal Systems,Digestive system,hsa04970,Salivary secretion,6/100,86/7783,0.06976744186046512,5.43,4.71272833075101,7.938197558950729e-4,0.032864692220664085,0.02850698399081773,490/476/3709/6558/480/477,6,CD_1E_mineral_abs_PD
Organismal Systems,Digestive system,hsa04978,Mineral absorption,5/100,58/7783,0.08620689655172414,6.709482758620689,4.978995287116026,8.463010872274013e-4,0.032864692220664085,0.02850698399081773,538/490/476/480/477,5,CD_1E_mineral_abs_PD
Organismal Systems,Excretory system,hsa04960,Aldosterone-regulated sodium reabsorption,4/100,35/7783,0.11428571428571428,8.894857142857143,5.340275822131313,9.895640082239485e-4,0.03293834484516857,0.028570870613383172,5295/476/480/477,4,CD_1E_mineral_abs_PD
