category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,comparison
Organismal Systems,Digestive system,hsa04979,Cholesterol metabolism,15/148,48/7783,0.3125,16.433699324324323,14.932497306415389,4.791672654425463e-15,1.2075015089152166e-12,1.074343447781709e-12,348/64241/4864/64240/19/10948/341/6770/3949/1071/6646/335/949/27141/255738,15,CD_1B_otherlipid_AD
Organismal Systems,Digestive system,hsa04975,Fat digestion and absorption,9/148,41/7783,0.21951219512195122,11.543671720500988,9.423867487529447,5.315507061178578e-8,6.697538897085009e-6,5.958963179110722e-6,64241/64240/50487/19/8513/26279/335/949/2169,9,CD_1B_otherlipid_AD
Environmental Information Processing,Membrane transport,hsa02010,ABC transporters,9/148,43/7783,0.20930232558139536,11.006756756756756,9.160708014757702,8.283320560363197e-8,6.957989270705085e-6,6.190692208271442e-6,64241/64240/9619/8714/19/5244/21/1080/1244,9,CD_1B_otherlipid_AD
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,10/148,83/7783,0.12048192771084337,6.3358840768479325,6.804120866788105,3.383620361189708e-6,2.1316808275495162e-4,1.8966082550879153e-4,1191/3687/3684/5265/719/5340/2152/735/728/3078,10,CD_1B_otherlipid_AD
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,10/148,97/7783,0.10309278350515463,5.421426581220396,6.100564808586994,1.3939989960046604e-5,7.025754939863488e-4,6.25098497155774e-4,3590/1436/1438/1435/3684/929/947/3673/2811/2322,10,CD_1B_otherlipid_AD
Cellular Processes,Cell growth and death,hsa04210,Apoptosis,11/148,131/7783,0.08396946564885496,4.41577264287188,5.4892002355421665,3.638095238663631e-5,0.0013788349621338405,0.0012267829863596826,3710/823/1509/836/1508/2081/55367/1513/4803/5293/8743,11,CD_1B_otherlipid_AD
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,14/148,208/7783,0.0673076923076923,3.539566008316008,5.168586686950683,3.830097117038446e-5,0.0013788349621338405,0.0012267829863596826,9619/7436/19/3949/4318/836/335/2081/958/929/414062/7412/5293/8743,14,CD_1B_otherlipid_AD
Metabolism,Lipid metabolism,hsa00590,Arachidonic acid metabolism,7/148,60/7783,0.11666666666666667,6.135247747747748,5.5592468516715465,1.296084863186148e-4,0.003737239641933005,0.00332511296462711,6916/50487/11145/26279/5730/240/5742,7,CD_1B_otherlipid_AD
Cellular Processes,Transport and catabolism,hsa04142,Lysosome,10/148,126/7783,0.07936507936507936,4.173637923637924,5.000175828999819,1.3347284435475017e-4,0.003737239641933005,0.00332511296462711,4864/2760/54/26088/968/1509/1508/6556/1513/1777,10,CD_1B_otherlipid_AD
Organismal Systems,Digestive system,hsa04976,Bile secretion,8/148,85/7783,0.09411764705882353,4.949443561208267,5.097161236985905,1.9762777415542252e-4,0.004980219908716647,0.004431022725800525,64241/64240/8714/3949/5244/1080/949/1244,8,CD_1B_otherlipid_AD
Metabolism,Lipid metabolism,hsa00565,Ether lipid metabolism,6/148,48/7783,0.125,6.57347972972973,5.392483636141689,2.713428182708571e-4,0.006216217291295999,0.005530719645138044,122618/23646/50487/11145/26279/5338,6,CD_1B_otherlipid_AD
Metabolism,Lipid metabolism,hsa00564,Glycerophospholipid metabolism,8/148,97/7783,0.08247422680412371,4.337141264976316,4.604497256353558,4.89927840027037e-4,0.010288484640567776,0.009153914905768322,122618/23646/50487/11145/5130/26279/5338/10908,8,CD_1B_otherlipid_AD
Organismal Systems,Immune system,hsa04650,Natural killer cell mediated cytotoxicity,8/148,122/7783,0.06557377049180328,3.448382809038547,3.7947961902708918,0.002191761853435456,0.03785157470593134,0.03367746621705671,3384/836/3808/7305/2207/5293/3105/8743,8,CD_1B_otherlipid_AD
Organismal Systems,Immune system,hsa04611,Platelet activation,8/148,123/7783,0.06504065040650407,3.4203471764447375,3.7669320577076126,0.0023072597666317692,0.03785157470593134,0.03367746621705671,6916/3710/6786/2207/3673/2811/5742/5293,8,CD_1B_otherlipid_AD
NA,NA,hsa04981,Folate transport and metabolism,4/148,30/7783,0.13333333333333333,7.011711711711712,4.592993509191266,0.0023417958564749147,0.03785157470593134,0.03367746621705671,8714/11309/1244/4524,4,CD_1B_otherlipid_AD
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,7/148,97/7783,0.07216494845360824,3.794998606854277,3.85646348023684,0.002403274584503577,0.03785157470593134,0.03367746621705671,53833/4283/1436/1435/414062/3561/8743,7,CD_1B_otherlipid_AD
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,13/148,288/7783,0.04513888888888889,2.373756569069069,3.30744139557751,0.0032308105144745226,0.04789201468515175,0.04261068975746585,8741/53833/4283/3590/1436/958/1438/1435/414062/3561/4803/10663/8743,13,CD_1B_otherlipid_AD
