,z
B4GALT1,1.342925609099668
B4GALT3,11.725818491115655
PJA2,0.4441107051577698
RIC8A,-0.7559909600560994
HERC1,2.2018991595468966
HERC3,0.3202866156618876
HERC2,-0.5091995368375103
HERC5,-0.029011733694437585
HERC4,-0.8110878784308864
HERC6,-0.8663479488902783
MRPL9,-0.8227107565469881
UBE2I,-1.3665624485739427
UBE2H,-0.7396873945153716
UBE2K,-1.7195498042859265
UBE2M,-1.9221928753967263
UBE2O,-1.4200786782028054
UBE2N,-0.8925615382197551
UBE2A,-1.1486120842164806
UBE2C,-1.946934733768475
UBE2B,-1.1015024123532782
UBE2F,-1.2742418397202617
UBA5,1.076081484090604
RBCK1,0.6010787118487152
UBE2S,-0.4530669242207212
UBE2U,-1.6934357312531134
UBE2T,-1.6865964957714692
UBE2W,-0.6034720151292295
DPF2,-0.9649076943634126
UBA1,-1.2989135359405484
FBXO2,-0.06701985767142825
FBXO4,-0.9390425780978078
FBXO6,0.4609269283792751
FBXO7,1.7762932543568422
FBXO9,-1.083289572799732
HACE1,-1.1908977835776902
SRPRB,-0.5698194996606073
ASB11,1.0395522197253622
FHL3,1.6402378717917534
FBXO44,-1.0409711959043682
FBXO41,-0.8737481243594574
FBXO40,-0.36272533599363577
NDUFA8,0.8066468039780947
DET1,-0.8855065987386023
TP53,-0.658657186593224
MAEA,-0.553340085634624
TRIM71,-0.9751336527373786
BIRC6,0.904208032169233
PEX19,0.9731011229838942
MAP2K1,-0.7323441422858419
ADPGK,-0.26177329926593745
ANGEL2,-0.6360825154380803
RCHY1,-1.3848172869197202
LYPD3,-0.6142210235437315
NSF,-0.07137060301931591
APEX1,-2.6671889894897234
UBE2Z,-1.0383586189786551
MAD2L1BP,-1.375115241874504
POGK,-0.5565772649404532
PPP1CA,-0.8867081093726582
MYLIP,-0.9365818530107514
M6PR,1.299799316254258
HECTD2,-1.0668504215499706
HECTD3,-0.32696144775983793
ASB12,1.0258939877644946
HECTD1,-0.3997946612142627
ASB14,1.2204942336325881
ASB15,-0.9690220275828084
ASB16,-0.7898915684531276
UBE2QL1,-0.4954753665368781
ASB18,-0.7876369982981388
DHX16,0.7723584944600352
AC022826.2,-0.7928954158210759
STUB1,-0.07768413925276148
ANAPC11,-1.3856841742746853
ANAPC10,-0.45833438962411643
ANAPC13,1.752269993090023
CSNK1D,-0.20281395974078176
UBR4,2.8285652208565337
WSB1,0.42511517702417473
SCAMP3,1.86091063230803
CHTOP,-1.9946340669319578
KLHL5,-0.41546284145654494
KLHL2,-0.44394421118572586
KLHL3,-0.9684011338253267
UBR2,1.1366866883805147
UBR1,-0.37974106228631943
FBXO22,-1.4316394691665502
KLHL9,-1.246296206414581
FBXL8,-0.8999073618648133
SOCS1,0.898210822034597
SOCS3,1.0976607122287716
FBXL3,-0.47074411513160924
FZR1,0.24096972703496708
FBXL5,0.06610552918515702
FBXL4,-0.06319321241756864
FBXL7,-0.551106939377487
SUPT4H1,-0.7671651321742456
TMEM189-UBE2V1,-0.8997705193983189
UBB,-0.04364131895670122
UBC,0.3267678748441782
RNF6,-0.6940700300544322
RNF7,-1.8115565293876137
RNF4,-1.2195065252684891
TRIM39,-0.5180304438646556
TRIM32,-1.1605102683875785
TRIM37,-0.46463183514404777
TRIM36,-1.1411163495477994
UBE2L6,0.5001472646639759
UBE2L3,-1.8489567142541508
KBTBD7,-0.9781766461135646
KBTBD6,-1.054866808872854
UBE3B,-0.691705379498399
UBE3C,-0.7394294932354172
UBE3A,-1.1460039698498954
CCNF,-1.2653859015253128
UBE3D,-0.742368585706986
KBTBD8,-0.9661532822460278
NGRN,-1.4701236498579182
HTR2C,-0.9970188819694269
PCBP1,-1.7730944727641116
RNF220,-0.44487455218199745
ECPAS,-1.2988614852631692
ARPC5,0.8523242694243641
TRIM41,-0.16882526811596582
TAF7,-1.3803326455658655
SLC25A44,2.03617125717569
CDC27,-1.5420968165209252
CDC26,-1.2218383044889742
CDC23,-1.9657690310842941
CDC20,-0.6813525625390067
KLHL42,-1.071835419357198
KLHL41,-0.9429231767408964
HECW2,-0.8502540392818975
RNF126,-1.2345275096484534
BTBD6,-0.8153371965049607
RNF123,-0.01887811128903519
DTX3L,-0.060467090049685895
COP1,0.3203018919756731
NEDD4,-0.8613224628183915
PFDN2,-1.1965779471686464
SIAH1,-0.572655927337982
SIAH2,-1.3119710282229238
