,abnormal synaptic vesicle recycling:-log(OR_p),abnormal synaptic vesicle recycling:log_OR,abnormal synaptic vesicle recycling:num_genes,abnormal synaptic vesicle recycling:gene_ids,abnormal neuron physiology:-log(OR_p),abnormal neuron physiology:log_OR,abnormal neuron physiology:num_genes,abnormal neuron physiology:gene_ids,abnormal synaptic vesicle morphology:-log(OR_p),abnormal synaptic vesicle morphology:log_OR,abnormal synaptic vesicle morphology:num_genes,abnormal synaptic vesicle morphology:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,abnormal synaptic vesicle number:-log(OR_p),abnormal synaptic vesicle number:log_OR,abnormal synaptic vesicle number:num_genes,abnormal synaptic vesicle number:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,increased synaptic depression:-log(OR_p),increased synaptic depression:log_OR,increased synaptic depression:num_genes,increased synaptic depression:gene_ids,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C360,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5203675178520026,1.1159715778806785,1,NPC1,0.5170061499822973,1.1105709149362593,1,NPC1,-0.0,0.0,0,,1.130640660154093,1.4954268238002655,2,GALC NPC1,0.5816185746602527,1.212039171164074,1,NPC1,-0.0,0.0,0,,-0.0,0.0,0,,Sphingolipid metabolism,1,1,0.14285714285714285,0.14285714285714285,0.0,0.7142857142857143
C347,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.8205139887771236,1.7191586563649057,3,GALC HEXA NEU1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Sphingolipid metabolism,1,1,0.1111111111111111,0.1111111111111111,0.0,0.7777777777777778
C341,-0.0,0.0,0,,0.3983106672618201,0.87728586843952,1,TMEM175,-0.0,0.0,0,,0.16433781830047012,0.4224879990219783,1,TMEM175,0.16192600421275716,0.4170872417479359,1,TMEM175,-0.0,0.0,0,,0.02541682115551958,-0.07424040713661562,1,TMEM175,0.20864297607943846,0.5185571878556186,1,TMEM175,-0.0,0.0,0,,-0.0,0.0,0,,C341,0,0,0.0,0.0,0.07692307692307693,0.9230769230769231
C342,-0.0,0.0,0,,0.3983106672618201,0.87728586843952,1,SCARB2,-0.0,0.0,0,,0.16433781830047012,0.4224879990219783,1,SYNJ1,0.16192600421275716,0.4170872417479359,1,SYNJ1,-0.0,0.0,0,,0.44580337915623247,0.7066218791433059,2,SCARB2 VAMP7,0.20864297607943846,0.5185571878556186,1,SYNJ1,4.944980723237375,4.717275759653342,1,SYNJ1,-0.0,0.0,0,,clathrin coat,3,0,0.23076923076923078,0.0,0.0,0.7692307692307692
C343,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.24850045103937474,0.6049217011564121,1,DGKB,0.24582872256653857,0.5995209753326289,1,DGKB,-0.0,0.0,0,,0.6090454541861287,0.9074084494607426,2,DGKB PLD2,0.29745968609941126,0.7009903580209702,1,DGKB,-0.0,0.0,0,,-0.0,0.0,0,,Phosphatidylinositol signaling system,1,0,0.09090909090909091,0.0,0.0,0.9090909090909091
C344,4.878361739297888,4.699469754286492,1,AMPH,0.5696589269578944,1.1651329710096707,1,AMPH,-0.0,0.0,0,,0.3005157587780834,0.7103382847686124,1,DNMBP,0.2976955044255683,0.7049375746673157,1,DNMBP,-0.0,0.0,0,,0.07600204056081684,0.21361548263360142,1,ARHGAP44,0.35212940574863794,0.806406675693264,1,DNMBP,-0.0,0.0,0,,-0.0,0.0,0,,C344,1,1,0.1,0.1,0.0,0.8
C346,-0.0,0.0,0,,0.6444096905807073,1.282971010653858,1,SCARB2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.8280148298178881,1.1588387391715074,2,SCARB2 VAMP7,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Cargo recognition for clathrin-mediated endocytosis,2,0,0.2222222222222222,0.0,0.0,0.7777777777777778
C355,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Inositol phosphate metabolism,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C357,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5203675178520026,1.1159715778806785,1,DNMBP,0.5170061499822973,1.1105709149362593,1,DNMBP,-0.0,0.0,0,,0.24676461653487464,0.6192543778529931,1,ARHGAP44,0.5816185746602527,1.212039171164074,1,DNMBP,-0.0,0.0,0,,-0.0,0.0,0,,GTPase regulator activity,1,1,0.14285714285714285,0.14285714285714285,0.0,0.7142857142857143
C368,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.444341964558784,1.0248353272587085,1,GALC,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Sphingolipid metabolism,1,1,0.2,0.2,0.0,0.6
C393,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C393,1,0,0.25,0.0,0.0,0.75
C385,-0.0,0.0,0,,3.1106906119584905,3.364331075426577,2,PINK1 PRKN,-0.0,0.0,0,,3.2839478529700403,4.008679080455826,3,PINK1 PRKN RNF10,3.2763888883436056,4.003267987376596,3,PINK1 PRKN RNF10,-0.0,0.0,0,,1.798412314363572,2.411891302525696,2,PINK1 PRKN,2.573480589793146,3.0051472724885935,2,PINK1 RNF10,-0.0,0.0,0,,-0.0,0.0,0,,regulation of autophagy of mitochondrion,3,0,0.75,0.0,0.0,0.25
C374,6.074304422640084,5.798401293782045,1,DNAJC6,1.300599809064762,2.264075238232169,1,DNAJC6,4.359496086424491,4.751992491453511,1,DNAJC6,-0.0,0.0,0,,-0.0,0.0,0,,4.612510974943555,4.91276144442335,1,DNAJC6,0.5921347132503711,1.312575315327452,1,DNAJC6,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C374,1,0,0.25,0.0,0.0,0.75
