,abnormal cranial ganglia morphology:-log(OR_p),abnormal cranial ganglia morphology:log_OR,abnormal cranial ganglia morphology:num_genes,abnormal cranial ganglia morphology:gene_ids,abnormal somatic nervous system morphology:-log(OR_p),abnormal somatic nervous system morphology:log_OR,abnormal somatic nervous system morphology:num_genes,abnormal somatic nervous system morphology:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,decreased neuron number:-log(OR_p),decreased neuron number:log_OR,decreased neuron number:num_genes,decreased neuron number:gene_ids,abnormal proprioceptive neuron morphology:-log(OR_p),abnormal proprioceptive neuron morphology:log_OR,abnormal proprioceptive neuron morphology:num_genes,abnormal proprioceptive neuron morphology:gene_ids,abnormal neuron number:-log(OR_p),abnormal neuron number:log_OR,abnormal neuron number:num_genes,abnormal neuron number:gene_ids,decreased sensory neuron number:-log(OR_p),decreased sensory neuron number:log_OR,decreased sensory neuron number:num_genes,decreased sensory neuron number:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C181,6.870417456011119,1.8531777132498473,9,APOE DST FOLR1 NTRK1 SLC12A2 SLC12A6 SLC12A7 SLC4A7 SOD1,4.308334579588375,0.937063783129684,22,ADRB2 APOE ATP2B1 BAX CFH COG6 DST FOLR1 NAMPT NEMF NTRK1 NUMB PSEN1 SLC12A2 SLC12A6 SLC12A7 SLC20A2 SLC4A7 SLC7A11 SLC7A14 SOD1 SPTLC3,4.152080371749124,1.2066178847857394,12,APOE ARCN1 DST LTN1 NAMPT NEMF PSEN1 SLC12A6 SLC12A7 SLC33A1 SLC4A7 SOD1,3.8977257790189546,1.784243058880996,5,APOE PSEN1 SLC20A2 SLC33A1 SOD1,3.842283167556086,1.9835397890813624,4,APOE ARCN1 CFH PSEN1,3.8198517207301186,1.1493421417145004,12,ADRB2 ARCN1 NTRK1 NUMB PSEN1 SLC12A2 SLC12A7 SLC4A7 SLC7A14 SNCA SOD1 ZDHHC17,3.570877361059752,2.7690001696085975,2,BAX NTRK1,3.528328522127245,1.0567977382351028,13,ADRB2 ARCN1 BAX NTRK1 NUMB PSEN1 SLC12A2 SLC12A7 SLC4A7 SLC7A14 SNCA SOD1 ZDHHC17,3.4749553833237403,1.4084590551127718,7,ADRB2 NTRK1 SLC12A2 SLC12A7 SLC4A7 SLC7A14 SOD1,3.054023052489063,1.1543016752978144,9,ADRB2 APOE ATP2B1 LTN1 PSEN1 SLC20A2 SLC33A1 SNCA SOD1,CD_1E_mineral_abs-ALS systems map,0,6,0.0,0.03550295857988166,0.0,0.9644970414201184
C193,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C193,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C194,1.8525208075969917,2.611959990057086,1,APOE,2.588038276369148,2.133052134796996,3,ADRB2 APOE CFH,0.945147460798356,1.6806168662212393,1,APOE,2.523440068165378,3.1623589164495893,1,APOE,7.311248204576187,4.427142966742152,2,APOE CFH,0.8998186880733059,1.6247514749481375,1,ADRB2,-0.0,0.0,0,,0.7629083233523697,1.4477949273698663,1,ADRB2,1.6726505622487964,2.448707899897384,1,ADRB2,3.238858308545929,2.7664922937655687,2,ADRB2 APOE,C194,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C182,1.3588150985560805,1.1916606332682953,3,FOLR1 NTRK1 SOD1,1.132641094095164,0.5979501805418312,10,ADRB2 BAX COG6 FOLR1 NAMPT NTRK1 PSEN1 SLC7A11 SOD1 SPTLC3,1.0601981417554267,0.7890107305228682,5,ARCN1 NAMPT PSEN1 SLC33A1 SOD1,2.48911525365677,1.750722675007692,3,PSEN1 SLC33A1 SOD1,1.80659358671862,1.752905850403577,2,ARCN1 PSEN1,1.5454611941786425,0.9275055454831556,6,ADRB2 ARCN1 NTRK1 PSEN1 SNCA SOD1,4.759101059581385,3.2754085518864287,2,BAX NTRK1,1.6951438297089056,0.9152072826313962,7,ADRB2 ARCN1 BAX NTRK1 PSEN1 SNCA SOD1,1.0862630405907976,1.0266357889635191,3,ADRB2 NTRK1 SOD1,1.6331043056334893,1.047866239924275,5,ADRB2 PSEN1 SLC33A1 SNCA SOD1,COPI-mediated anterograde transport,0,5,0.0,0.04854368932038835,0.0,0.9514563106796117
C185,-0.0,0.0,0,,0.6032797311494666,0.7048653263658231,3,ATP2B1 NEMF NUMB,0.9839731596631518,1.196468587563606,2,LTN1 NEMF,-0.0,0.0,0,,-0.0,0.0,0,,0.9175165299390413,1.140477572986816,2,NUMB ZDHHC17,-0.0,0.0,0,,0.720983597263092,0.9631655535695174,2,NUMB ZDHHC17,-0.0,0.0,0,,1.3162046821028783,1.4532771816788177,2,ATP2B1 LTN1,C185,0,1,0.0,0.03571428571428571,0.0,0.9642857142857143
C186,1.0940176401806858,1.800493149196809,1,FOLR1,0.4434193090977068,0.6845634368685545,2,COG6 FOLR1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,COPI-mediated anterograde transport,0,1,0.0,0.05263157894736842,0.0,0.9473684210526316
C183,0.20642922831915053,0.49863035067217254,1,SOD1,1.0440189355370884,0.6785290864982301,7,ADRB2 BAX NAMPT PSEN1 SLC7A11 SOD1 SPTLC3,1.285543535402601,1.0072556899372724,4,NAMPT PSEN1 SLC33A1 SOD1,3.6124158563364936,2.198941315955274,3,PSEN1 SLC33A1 SOD1,0.8321727303688036,1.4715948737058913,1,PSEN1,1.1786015636963367,0.9510116411656284,4,ADRB2 PSEN1 SNCA SOD1,2.3282303859262994,2.9406038833824972,1,BAX,1.5245045819708805,1.014057274037114,5,ADRB2 BAX PSEN1 SNCA SOD1,0.8356845428340862,1.0488293241431492,2,ADRB2 SOD1,2.8921806789589573,1.5076552181241567,5,ADRB2 PSEN1 SLC33A1 SNCA SOD1,"oxidoreductase activity, acting on a sulfur group of donors",0,4,0.0,0.05970149253731343,0.0,0.9402985074626866
C184,0.7368792247388203,1.358123484153193,1,SOD1,1.1836157651115782,0.9934984212383089,4,BAX NAMPT SLC7A11 SOD1,0.9405827660919366,1.1586738066961058,2,NAMPT SOD1,1.2075204960262065,1.9085265435105239,1,SOD1,-0.0,0.0,0,,0.8754288824288032,1.1026827208633918,2,SNCA SOD1,3.5294735960963752,3.800080026253446,1,BAX,1.6025594042637588,1.3704980758524776,3,BAX SNCA SOD1,0.6170842394981417,1.19486966248121,1,SOD1,1.2668115328654836,1.4154826810477275,2,SNCA SOD1,cellular detoxification,0,1,0.0,0.034482758620689655,0.0,0.9655172413793104
C190,-0.0,0.0,0,,0.12800417213683385,0.33905541581749077,1,ADRB2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.6161970550310127,1.2190684663107039,1,ADRB2,-0.0,0.0,0,,0.4987428355313869,1.0421109050751873,1,ADRB2,1.2993792184021071,2.043027830481428,1,ADRB2,0.8481683355282319,1.5310704773841124,1,ADRB2,C190,0,2,0.0,0.15384615384615385,0.0,0.8461538461538461
C196,1.9821897451458057,2.7455450293112715,1,SOD1,0.38562289957122214,0.8783335194356514,1,SOD1,1.0456305008427367,1.8142026554514281,1,SOD1,2.6686918377795688,3.2959437492878854,1,SOD1,-0.0,0.0,0,,2.844758904114811,2.607904500751399,2,SNCA SOD1,-0.0,0.0,0,,2.529729498970688,2.430597552944251,2,SNCA SOD1,1.7974289918023816,2.582293025629575,1,SOD1,3.4455494953351185,2.9206970876110763,2,SNCA SOD1,C196,0,1,0.0,0.125,0.0,0.875
C187,-0.0,0.0,0,,0.0032206048938855413,-0.009532960658722445,1,NEMF,1.5989079826754256,1.6825207691725765,2,LTN1 NEMF,-0.0,0.0,0,,-0.0,0.0,0,,0.40003220063678213,0.8704893295942693,1,ZDHHC17,-0.0,0.0,0,,0.30041824675021817,0.693530500664302,1,ZDHHC17,-0.0,0.0,0,,0.6000387425963989,1.182493095839252,1,LTN1,C187,0,1,0.0,0.05555555555555555,0.0,0.9444444444444444
C192,1.7379969486588964,2.4941233048929234,1,FOLR1,1.161270797781472,1.4388422101049692,2,COG6 FOLR1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,COPI-mediated anterograde transport,0,1,0.0,0.1,0.0,0.9
C189,-0.0,0.0,0,,0.12800417213683385,0.33905541581749077,1,NEMF,0.6553810856661022,1.2749341420956775,1,NEMF,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C189,0,1,0.0,0.07692307692307693,0.0,0.9230769230769231
C207,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C207,0,1,0.0,0.25,0.0,0.75
C191,-0.0,0.0,0,,0.2579036846874821,0.6269064595163982,1,ADRB2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.8145853247528139,1.5069139686105846,1,ADRB2,-0.0,0.0,0,,0.6830962735383013,1.3299571676595097,1,ADRB2,1.5628044841440953,2.3308711282459313,1,ADRB2,1.071340881611501,1.81891492703849,1,ADRB2,C191,0,1,0.0,0.1,0.0,0.9
