,impaired synaptic plasticity:-log(OR_p),impaired synaptic plasticity:log_OR,impaired synaptic plasticity:num_genes,impaired synaptic plasticity:gene_ids,abnormal synaptic plasticity:-log(OR_p),abnormal synaptic plasticity:log_OR,abnormal synaptic plasticity:num_genes,abnormal synaptic plasticity:gene_ids,impaired synaptic physiology:-log(OR_p),impaired synaptic physiology:log_OR,impaired synaptic physiology:num_genes,impaired synaptic physiology:gene_ids,abnormal excitatory postsynaptic potential:-log(OR_p),abnormal excitatory postsynaptic potential:log_OR,abnormal excitatory postsynaptic potential:num_genes,abnormal excitatory postsynaptic potential:gene_ids,dysmyelination:-log(OR_p),dysmyelination:log_OR,dysmyelination:num_genes,dysmyelination:gene_ids,decreased oligodendrocyte number:-log(OR_p),decreased oligodendrocyte number:log_OR,decreased oligodendrocyte number:num_genes,decreased oligodendrocyte number:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal myelin sheath morphology:-log(OR_p),abnormal myelin sheath morphology:log_OR,abnormal myelin sheath morphology:num_genes,abnormal myelin sheath morphology:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C182,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.025935126795044196,-0.07597451492615725,1,MAVS,-0.0,0.0,0,,-0.0,0.0,0,,negative regulation of viral genome replication,1,3,0.08333333333333333,0.25,0.0,0.6666666666666667
C174,1.1853327993259315,1.8776443481476175,1,CALN1,0.8465973621268282,1.4898905006683876,1,CALN1,1.1507516011167502,1.8404961874713903,1,CALN1,0.612903146398952,1.1816607417209077,1,CALN1,2.2392268404703084,2.8539660090517476,1,TUBB4A,2.023432012856303,2.671431039249459,1,TUBB4A,0.231943470294533,-0.39249593298155006,2,ADARB1 CALN1,0.1763099746773762,-0.22416129166772336,4,CALN1 CHCHD2 POLG TUBB4A,0.8787361777053175,1.5292717403490244,1,TUBB4A,0.29801818712093875,-0.4823709956852511,2,ADARB1 CALN1,C174,1,4,0.01818181818181818,0.07272727272727272,0.0,0.9090909090909091
C215,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.9147272087259011,1.7878394328479814,1,NELL2,1.6942673830633477,2.323041490583309,2,LAMP5 NFIA,-0.0,0.0,0,,0.8490730354928262,1.6980602318654157,1,NELL2,C215,0,1,0.0,0.25,0.0,0.75
C179,2.536314348461372,3.096068395606653,1,STX1A,5.31027557421776,3.478959769102886,2,CAMK2A STX1A,2.4872752265130873,3.0589204515703443,1,STX1A,4.520867973043549,3.167308474551474,2,CAMK2A STX1A,-0.0,0.0,0,,-0.0,0.0,0,,6.546365187897961,2.535438436353335,7,CAMK2A CCSAP DGKB SNAP25 STX1A STXBP5L SYT1,1.3424328875823157,1.1449362974212836,4,CAMK2A DGKB DNAJC6 STX1A,-0.0,0.0,0,,6.133273164224524,2.445163495353322,7,CAMK2A CCSAP DGKB SNAP25 STX1A STXBP5L SYT1,calcium-ion regulated exocytosis,0,1,0.0,0.058823529411764705,0.0,0.9411764705882353
C175,12.375216954526284,4.016796682263081,4,GRIA2 NRGN NTRK2 RASGRF1,10.345814449334695,3.6099965674151093,4,GRIA2 NRGN NTRK2 RASGRF1,12.177399563409699,3.977469234132646,4,GRIA2 NRGN NTRK2 RASGRF1,8.815662035888092,3.291258366238827,4,GRIA2 NRGN NTRK2 RASGRF1,12.33877297688921,4.7161044252632145,3,BCAS1 OLIG1 PLP1,6.938517907970638,4.030159135494316,2,OLIG1 PLP1,6.3240313638528844,1.999648030780131,9,BCAS1 CNTNAP4 GPR37 GRIA2 LZTS1 NRGN NTRK2 OLIG1 RASGRF1,8.442925669026627,2.135182568110678,14,BCAS1 CARNS1 CNTN2 CNTNAP4 GPR37 GRIA2 HEPH IGSF3 LZTS1 NTRK2 OLIG1 PLP1 SOX11 SPOCK3,7.067361765747223,3.3130823893306225,3,BCAS1 OLIG1 PLP1,7.053668797210619,2.0620723776830125,10,ATP1A2 BCAS1 CNTNAP4 GPR37 GRIA2 LZTS1 NRGN NTRK2 OLIG1 RASGRF1,C175,1,2,0.03225806451612903,0.06451612903225806,0.0,0.9032258064516129
C195,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5070697616795914,1.0945239068427846,1,ADARB1,-0.0,0.0,0,,-0.0,0.0,0,,0.4528857605849056,1.004743870422507,1,ADARB1,C195,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C177,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.05722361356177503,-0.15908121424425303,1,ADARB1,0.3187788019477446,-0.7231856896791733,1,POLG,-0.0,0.0,0,,0.09259818843482731,-0.24886543208676137,1,ADARB1,C177,0,3,0.0,0.13636363636363635,0.0,0.8636363636363636
C178,2.2627985817427696,2.872711488200318,1,CALN1,1.7975769491494866,2.4849600671646854,1,CALN1,2.2161899918142747,2.83556352140117,1,CALN1,1.46278559030322,2.176733033546274,1,CALN1,3.614887385753392,3.8490299561002255,1,TUBB4A,3.3471458239299605,3.6664953727303997,1,TUBB4A,0.03887641726829249,-0.11023488449868779,1,CALN1,0.03422683557581069,0.07075719401169778,2,CALN1 TUBB4A,1.8426281482835243,2.524341015329661,1,TUBB4A,0.07298453163074288,-0.2000188233599811,1,CALN1,C178,1,0,0.047619047619047616,0.0,0.0,0.9523809523809523
C214,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,5.988061327239887,5.7470547980006055,1,PLP1,5.681625525194724,5.564520407322694,1,PLP1,-0.0,0.0,0,,2.4774496461369866,4.4037916272492,4,HEPH IGSF3 PLP1 SPOCK3,3.8584961642821844,4.422368513957259,1,PLP1,-0.0,0.0,0,,C214,1,0,0.25,0.0,0.0,0.75
C183,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,10.223775114837505,5.287149979592981,2,BCAS1 OLIG1,4.211783136024549,4.264811619481508,1,OLIG1,3.4656939204063044,2.1960466217940358,4,BCAS1 CNTNAP4 GPR37 OLIG1,5.254865778268697,2.662321058095781,7,BCAS1 CARNS1 CNTN2 CNTNAP4 GPR37 OLIG1 SPOCK3,6.264834787095842,3.924592328130805,2,BCAS1 OLIG1,3.2266575558570607,2.106019850080301,4,BCAS1 CNTNAP4 GPR37 OLIG1,C183,0,1,0.0,0.08333333333333333,0.0,0.9166666666666666
C185,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.1919192614726546,2.870415030676888,1,ELOVL4,-0.0,0.0,0,,-0.0,0.0,0,,0.23794047048680014,0.5834737783893154,1,ELOVL4,0.5297191797629537,0.8185555374643503,2,ELOVL4 TECR,-0.0,0.0,0,,0.19518457551701004,0.4936926276133118,1,ELOVL4,fatty acid derivative biosynthetic process,0,1,0.0,0.09090909090909091,0.0,0.9090909090909091
C180,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.934574582413268,1.023828959112107,3,CERS1 CERS2 CLN8,2.3327114310462056,2.955497713298046,1,CERS2,-0.0,0.0,0,,ceramide biosynthetic process,0,1,0.0,0.07142857142857142,0.0,0.9285714285714286
C187,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C187,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C203,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.7450461641897872,1.5001012483966356,1,ADARB1,-0.0,0.0,0,,-0.0,0.0,0,,0.6833335889734622,1.4103217689661633,1,ADARB1,C203,0,1,0.0,0.2,0.0,0.8
C191,3.7432997001105486,4.077430839780039,1,CALN1,3.167124635138297,3.689680415310141,1,CALN1,3.6863697018437684,4.040282952608358,1,CALN1,2.739681628370658,3.3814545010087826,1,CALN1,5.335916753459695,5.053747996274555,1,TUBB4A,5.028478157594601,4.871213571617521,1,TUBB4A,0.5070697616795914,1.0945239068427846,1,CALN1,1.0320752828352369,1.406575683572294,2,CALN1 TUBB4A,3.223749850377579,3.7290612437467683,1,TUBB4A,0.4528857605849056,1.004743870422507,1,CALN1,C191,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
