,z
RNF130,0.4491493707790565
B4GALT1,3.8360125132737912
B4GALT3,1.5791075458496917
PJA2,-0.24122393584545873
RIC8A,0.527690130266047
HERC1,-0.6660080936194369
HERC3,-0.8350007153706458
HERC2,-0.09057310487157012
HERC5,-0.3179191594629795
HERC4,-0.741308045343897
HERC6,0.0656993526574029
MRPL9,-0.5424533811276265
UBE2I,-0.8968462050505596
UBE2H,-0.2186056683490358
UBE2K,-0.5387090205041081
UBE2M,-0.3866558178118833
UBE2O,-0.37522912212778814
UBE2N,-0.5445917508688157
UBE2A,-0.23942894732128014
UBE2C,-0.6950815371666184
UBE2B,-0.3963109882023383
UBE2F,-0.15273921803592322
UBA5,-0.35294407853349585
RBCK1,0.5387816180047682
UBE2S,-0.5201454305881509
UBE2U,-0.3959995102709027
UBE2T,-0.9819020197052544
UBE2W,-0.6595595123814133
DPF2,-0.04350323388502477
UBA1,1.3938835093124824
FBXO2,-0.23737886238137404
FBXO4,-0.6025645546762306
FBXO6,2.743195644694027
FBXO7,-0.3705844713543641
FBXO9,-0.5188500253285988
HACE1,-0.4762942262963071
SRPRB,-0.29839314475423806
ASB11,-0.8481226233395757
FHL3,-0.346538907312658
FBXO44,-0.6343731427915564
FBXO41,-0.16326682588898933
FBXO40,-1.028296774385903
NDUFA8,0.023839558057817227
DET1,0.026498983085379946
TP53,-1.1327240873291549
MAEA,-0.07684919385517915
TRIM71,-0.6199935969245066
BIRC6,-0.7755982707758082
PEX19,0.3892155231519629
MAP2K1,-0.5697611598898498
ADPGK,1.2073561207634123
ANGEL2,-0.4529447673489962
RCHY1,-0.41745242985346576
LYPD3,-0.20849936829995433
NSF,0.9300986712197565
APEX1,-0.6230234511003967
UBE2Z,-0.21906517149279092
MAD2L1BP,-0.47321694108992157
POGK,-0.39371622107015036
PPP1CA,-0.28874718145976935
MYLIP,-0.14868119255870965
M6PR,1.9527275775885504
HECTD2,-0.7412218503769784
HECTD3,0.7151737312645187
ASB12,-0.9051718997029679
HECTD1,-0.651599340079382
ASB14,-0.6507733950332402
ASB15,-0.6105019923324848
ASB16,-0.8272273358470933
UBE2QL1,-0.6562228305935793
ASB18,-0.5971574997050353
DHX16,-0.8146024769503518
AC022826.2,-0.6250213414823806
STUB1,0.838830557922245
ANAPC11,0.17261038363083905
ANAPC10,-0.3620793436600259
ANAPC13,0.637914080518709
CSNK1D,-0.3197751759564757
UBR4,-0.440296971431852
WSB1,-0.5964729818875775
SCAMP3,1.4197908904052365
CHTOP,-0.9240952885971861
KLHL5,0.415113593683382
KLHL2,-0.5292203017160156
KLHL3,-0.1746515512562999
UBR2,-0.54374279167216
UBR1,-0.6281799853837811
FBXO22,-0.7155982529497644
KLHL9,-0.3002882867483541
FBXL8,-0.44328464459251393
SOCS1,0.03749036637537572
SOCS3,-0.2669510241876827
FBXL3,-0.6437934783816673
FZR1,0.4612663422734481
FBXL5,-0.012960151313746792
FBXL4,-0.24849182300084643
FBXL7,-0.2645566785414775
SUPT4H1,0.15265072835707552
TMEM189-UBE2V1,-0.1522437393689481
UBB,-0.764170750547647
UBC,1.0535753836094452
RNF6,-0.46281260429796467
RNF7,-0.7605408928046357
RNF4,-0.8193701543380012
TRIM39,0.08442969642900358
TRIM32,-0.7158282268181653
TRIM37,-0.8561019251161799
TRIM36,-0.9634412843619151
UBE2L6,0.6793944702683433
UBE2L3,-0.4736638618163008
KBTBD7,-0.5375916398813116
KBTBD6,-0.49170843830828165
UBE3B,-0.40476495980835525
UBE3C,-0.632858299360244
UBE3A,-0.6944678122437167
CCNF,-0.9580326129326915
UBE3D,-0.4342687588752103
KBTBD8,-0.7496700640550668
NGRN,-0.07863921080567292
HTR2C,-0.13822845579258797
PCBP1,-0.48616269110485094
RNF220,0.0002325870860757793
ECPAS,3.399277869832874
ARPC5,0.06352091325710907
TRIM41,-0.2316288281413787
TAF7,-0.5497017042771367
SLC25A44,0.11484158781538804
CDC27,-0.6363655414466454
CDC26,5.036015625800919
CDC23,3.357492126590536
CDC20,-0.7628747327070025
KLHL42,-0.650918434081688
KLHL41,-0.8038611491863205
HECW2,-0.5469097533889438
RNF126,-0.40407273695804613
BTBD6,-0.625123278852022
RNF123,-0.02791679752193897
DTX3L,0.8249305499497842
COP1,-0.5200601572801896
NEDD4,-0.8351889849431395
PFDN2,-0.6698009712252744
SIAH1,-0.6179062567421967
SIAH2,-0.397190189817938
TCEAL1,0.2726087017346814
RNF144B,-0.48358846478251405
PSMB4,-0.24999763488151772
KCTD6,-0.1363477846352148
HAX1,-0.2871669008305654
VHL,-0.7962972802866117
UBOX5,0.4503746518277445
LTN1,-0.1332670538824672
UBE2G2,-0.1861951916837659
UBE2G1,-0.36875276578618665
PJA1,-0.2775475210865402
UFL1,1.1701325189268408
RFXANK,0.17102096925408888
RRAGA,0.3319409632250802
TRAF7,-0.6014483567428187
USP11,-0.16910173559444566
C1QTNF2,-0.5274374293832678
NEDD4L,-0.5453452905685424
SCFD1,1.2764640911650391
RNF11,0.08517461475689021
UBL3,0.08823040813349022
HSPA4,0.35337854918760986
SUMO1,-0.7576213337435906
HSPA9,-0.688715299599118
SEC23IP,-0.48853946056745823
ANKIB1,-0.5070272747245194
COMMD8,1.8674158524837103
C6orf120,0.2512265419227424
CDC73,-0.6485440791437405
PIK3CA,-1.1339886995450361
RMND5A,-0.8521361689201076
PRKAG1,1.9868791555458727
FAM114A2,0.29896169755555385
ABCD3,1.477762653292485
HBS1L,-0.6967536984408805
RAB9A,2.4558381992508367
WRB,0.10268968965262022
