,abnormal sensory neuron morphology:-log(OR_p),abnormal sensory neuron morphology:log_OR,abnormal sensory neuron morphology:num_genes,abnormal sensory neuron morphology:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,abnormal somatic nervous system morphology:-log(OR_p),abnormal somatic nervous system morphology:log_OR,abnormal somatic nervous system morphology:num_genes,abnormal somatic nervous system morphology:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal sphingomyelin level:-log(OR_p),abnormal sphingomyelin level:log_OR,abnormal sphingomyelin level:num_genes,abnormal sphingomyelin level:gene_ids,abnormal retina neuronal layer morphology:-log(OR_p),abnormal retina neuronal layer morphology:log_OR,abnormal retina neuronal layer morphology:num_genes,abnormal retina neuronal layer morphology:gene_ids,abnormal excitatory postsynaptic potential:-log(OR_p),abnormal excitatory postsynaptic potential:log_OR,abnormal excitatory postsynaptic potential:num_genes,abnormal excitatory postsynaptic potential:gene_ids,decreased sensory neuron number:-log(OR_p),decreased sensory neuron number:log_OR,decreased sensory neuron number:num_genes,decreased sensory neuron number:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C275,-0.0,0.0,0,,1.163177374269582,1.96840772892552,1,DCTN1,0.46940706985678093,1.0325405103252336,1,DCTN1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C275,0,2,0.0,0.2857142857142857,0.0,0.7142857142857143
C308,1.5177360348319178,2.5023098866866844,1,GRN,1.6721112022995561,2.661718072676212,1,GRN,0.8691626431750878,1.7258566050490316,1,GRN,4.073710476857645,4.566002804745972,1,GRN,-0.0,0.0,0,,1.5741725492944325,2.5614665502840746,1,GRN,3.359013341269883,4.074762036487959,1,GRN,-0.0,0.0,0,,0.8490730354928262,1.6980602318654157,1,GRN,0.8441595679343491,1.6912167684127137,1,GRN,C308,0,1,0.0,0.25,0.0,0.75
C248,4.835657352453803,1.648458776978881,8,CACNA1D EPHB3 FAM151B KCNV2 MYO7A NF1 RET SOX11,4.4027252237168915,1.6569198180359077,7,CACNA1D FAM151B KIF1A MYO7A NF1 PLA2G6 PRKN,3.720232557754963,1.2400376522481444,11,CACNA1D CACNB4 EPHB3 FAM151B KCNV2 MYO7A NF1 PLA2G6 RET SNTA1 SOX11,2.646906706268491,2.2269267743749186,2,PLA2G6 PRKN,-0.0,0.0,0,,5.148458975797522,1.7084626096428401,8,AAK1 FAM151B IQSEC3 KCNV2 MPP2 MYO7A NF1 SOX11,3.5066180966868563,2.1607420474190935,3,ASIC1 CACNA1B STX1A,1.9434268299650317,1.5067215447701603,3,KCNV2 MYO7A SOX11,5.274542031709173,1.4187638130637392,13,AAK1 ADGRL1 ASIC1 CACNA1B CACNB4 CALB2 DOC2A IQSEC3 PICK1 PRKN RET RPH3A STX1A,5.229114847771501,1.4118471693446146,13,AAK1 ADGRL1 ASIC1 CACNA1B CACNB4 CALB2 DOC2A IQSEC3 PICK1 PRKN RET RPH3A STX1A,signal release,0,7,0.0,0.1076923076923077,0.015384615384615385,0.8769230769230769
C253,3.8219412755873075,2.1020435592723796,4,CTSD GRN NPC1 NR1H2,8.175126487158957,2.790544892023032,6,CTSB CTSD DCTN1 GRN NPC1 NR1H2,2.781362926045795,1.603707237725116,5,CTSD DCTN1 GRN NPC1 NR1H2,5.146366524119396,3.376627157415358,2,GRN NR1H2,4.180093580614576,4.23134216282311,1,NPC1,2.45236757483682,1.8176258389308968,3,CTSD GRN NR1H2,3.9261921158933486,2.879358958060763,2,GRN VAMP2,0.8286994627515729,1.4829282105875308,1,NR1H2,1.7126300307346245,1.2945254271236628,4,GRN NPC1 TMEM222 VAMP2,1.6982839238367413,1.2876637576782635,4,GRN NPC1 TMEM222 VAMP2,clathrin-coated endocytic vesicle membrane,0,4,0.0,0.18181818181818182,0.0,0.8181818181818181
C287,1.3205786886054103,2.214573215670832,1,GRN,1.4698723129178655,2.3739816154521547,1,GRN,0.7021924188390212,1.4381182310461273,1,GRN,3.8451277768683387,4.2782674003830286,1,GRN,-0.0,0.0,0,,1.3750817265887547,2.273729962608906,1,GRN,3.130964206023004,3.7870265152534612,1,GRN,-0.0,0.0,0,,0.6833335889734622,1.4103217689661633,1,GRN,0.6787245490305899,1.4034782832454926,1,GRN,C287,0,1,0.0,0.2,0.0,0.8
C256,0.49640551314462583,1.0354266980609967,1,SOX11,0.6018800807712559,1.194837023017497,1,KIF1A,0.09526513243867538,0.2589563780495858,1,SOX11,-0.0,0.0,0,,-0.0,0.0,0,,0.5345904415378265,1.0945841954746296,1,SOX11,1.90839003882603,2.6078903512690736,1,ASIC1,1.2280948499840656,1.9629313752601103,1,SOX11,1.666806880741258,1.4987884630498165,3,ADGRL1 ASIC1 CALB2,1.6547929800198558,1.491932917906599,3,ADGRL1 ASIC1 CALB2,C256,0,2,0.0,0.14285714285714285,0.0,0.8571428571428572
C259,3.7529403101696035,2.5059902719757954,3,CACNA1D FAM151B MYO7A,4.176955548475685,2.666075568980574,3,CACNA1D FAM151B MYO7A,3.299731914328494,2.1338905319219386,4,CACNA1D CACNB4 FAM151B MYO7A,-0.0,0.0,0,,-0.0,0.0,0,,2.087590203414809,2.0523801490986457,2,FAM151B MYO7A,2.088379325005563,2.7750513820849543,1,CACNA1B,1.3780076154199978,2.1300929521301946,1,MYO7A,0.9014021774986269,1.1877644499404756,2,CACNA1B CACNB4,0.8938788305861419,1.1809148843090842,2,CACNA1B CACNB4,C259,0,3,0.0,0.25,0.0,0.75
C266,-0.0,0.0,0,,0.945147460798356,1.6806168662212393,1,PLA2G6,0.3162514728319702,0.7447458125776905,1,PLA2G6,3.1033988724576824,3.584906863730959,1,PLA2G6,-0.0,0.0,0,,0.8645264142966649,1.580364691431443,1,IQSEC3,-0.0,0.0,0,,-0.0,0.0,0,,2.532145712946572,2.1052062983787785,3,DOC2A IQSEC3 RPH3A,2.518479959230338,2.098350864638226,3,DOC2A IQSEC3 RPH3A,C266,0,0,0.0,0.0,0.1111111111111111,0.8888888888888888
C286,1.3205786886054103,2.214573215670832,1,FAM151B,1.4698723129178655,2.3739816154521547,1,FAM151B,2.093383620162625,2.4199530025763085,2,FAM151B SNTA1,-0.0,0.0,0,,-0.0,0.0,0,,1.3750817265887547,2.273729962608906,1,FAM151B,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C286,0,1,0.0,0.2,0.0,0.8
C252,2.322020504544286,1.758229571306531,3,CASP3 GAS2 LDLR,0.3138745712273716,0.714828544903952,1,CASP3,1.7715158134373015,1.3223969988813398,4,CASP3 CYP11A1 GAS2 LDLR,1.9555845634327873,2.619132245841998,1,LDLR,-0.0,0.0,0,,1.1707997845423819,1.3586874743074127,2,CASP3 LDLR,1.4146705518711848,2.1278893719848266,1,CD47,2.558820501195027,2.2299068674960605,2,CASP3 GAS2,0.09259818843482731,-0.24886543208676137,1,CD47,0.09538801790147061,-0.25570929674758425,1,CD47,secondary alcohol biosynthetic process,0,3,0.0,0.13636363636363635,0.0,0.8636363636363636
