,abnormal Bergmann glial cell morphology:-log(OR_p),abnormal Bergmann glial cell morphology:log_OR,abnormal Bergmann glial cell morphology:num_genes,abnormal Bergmann glial cell morphology:gene_ids,loss of dopaminergic neurons:-log(OR_p),loss of dopaminergic neurons:log_OR,loss of dopaminergic neurons:num_genes,loss of dopaminergic neurons:gene_ids,abnormal sensory neuron morphology:-log(OR_p),abnormal sensory neuron morphology:log_OR,abnormal sensory neuron morphology:num_genes,abnormal sensory neuron morphology:gene_ids,abnormal neuron differentiation:-log(OR_p),abnormal neuron differentiation:log_OR,abnormal neuron differentiation:num_genes,abnormal neuron differentiation:gene_ids,abnormal somatic nervous system morphology:-log(OR_p),abnormal somatic nervous system morphology:log_OR,abnormal somatic nervous system morphology:num_genes,abnormal somatic nervous system morphology:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal neuron number:-log(OR_p),abnormal neuron number:log_OR,abnormal neuron number:num_genes,abnormal neuron number:gene_ids,decreased dopaminergic neuron number:-log(OR_p),decreased dopaminergic neuron number:log_OR,decreased dopaminergic neuron number:num_genes,decreased dopaminergic neuron number:gene_ids,abnormal digit morphology:-log(OR_p),abnormal digit morphology:log_OR,abnormal digit morphology:num_genes,abnormal digit morphology:gene_ids,decreased sensory neuron number:-log(OR_p),decreased sensory neuron number:log_OR,decreased sensory neuron number:num_genes,decreased sensory neuron number:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C139,4.712086901782639,4.568133752225405,1,ASS1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.1497095905091342,-0.3863630062346779,1,GPT2,-0.0,0.0,0,,-0.0,0.0,0,,2.1995873357445084,2.0699045745435622,2,HAAO KYNU,-0.0,0.0,0,,non-proteinogenic amino acid metabolic process,0,1,0.0,0.0625,0.0,0.9375
C144,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C144,0,2,0.0,0.18181818181818182,0.0,0.8181818181818181
C149,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C149,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C146,-0.0,0.0,0,,4.90762505041087,4.705388089288487,1,VPS35,0.6649214964532588,1.2979548297963674,1,HSP90AA1,-0.0,0.0,0,,1.0394048545461503,1.321002857043677,2,GRID1 HSP90AA1,2.3084699729316833,1.7643257889766293,4,GRID1 HSP90AA1 STUB1 VPS35,0.6136854503936338,1.2245419249528258,1,VPS35,4.044859553516794,4.170666829781734,1,VPS35,-0.0,0.0,0,,-0.0,0.0,0,,C146,0,3,0.0,0.2727272727272727,0.0,0.7272727272727273
C148,5.671001303236508,5.197114861038875,1,ASS1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,non-proteinogenic amino acid metabolic process,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C165,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,4.217300445791667,4.016464179702236,2,HAAO KYNU,-0.0,0.0,0,,L-amino acid catabolic process,0,1,0.0,0.25,0.0,0.75
C152,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C152,0,2,0.0,0.2857142857142857,0.0,0.7142857142857143
C153,-0.0,0.0,0,,-0.0,0.0,0,,1.0256660392346848,1.8089989014907033,1,HSP90AA1,-0.0,0.0,0,,0.46940706985678093,1.0325405103252336,1,HSP90AA1,1.0320752828352369,1.406575683572294,2,HSP90AA1 STUB1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C153,0,2,0.0,0.2857142857142857,0.0,0.7142857142857143
C151,-0.0,0.0,0,,5.610387279257282,5.216426546938434,1,SLC6A3,-0.0,0.0,0,,3.513574310373946,3.0262668971892444,2,GPR37L1 SLC6A3,-0.0,0.0,0,,1.0320752828352369,1.406575683572294,2,GPR37L1 SLC6A3,0.9650552749326993,1.7355864389462425,1,SLC6A3,4.712132123507361,4.681705423413295,1,SLC6A3,-0.0,0.0,0,,-0.0,0.0,0,,C151,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C170,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C170,0,1,0.0,0.25,0.0,0.75
